title,artist,Hit
Someday,Nickelback,True
Naughty Girl,Beyonce,True
My Immortal,Evanescence,True
Sunshine,Lil' Flip,True
TiK ToK,Ke$ha,True
Need You Now,Lady Antebellum,True
"Hey, Soul Sister",Train,True
California Gurls,Katy Perry,True
OMG,Usher,True
Love The Way You Lie,Eminem,True
Bad Romance,Lady Gaga,True
Dynamite,Taio Cruz,True
Break Your Heart,Taio Cruz,True
I Like It,Enrique Iglesias,True
In My Head,Jason Derulo,True
Rude Boy,Rihanna,True
Telephone,Lady Gaga,True
Teenage Dream,Katy Perry,True
Just The Way You Are,Bruno Mars,True
Cooler Than Me,Mike Posner,True
Imma Be,Black Eyed Peas,True
Party Rock Anthem,LMFAO,True
Firework,Katy Perry,True
E.T.,Katy Perry,True
Give Me Everything,Pitbull,True
Grenade,Bruno Mars,True
F**K You,Cee Lo Green,True
Super Bass,Nicki Minaj,True
Moves Like Jagger,Maroon 5,True
Just Can't Get Enough,Black Eyed Peas,True
On The Floor,Jennifer Lopez,True
S&M,Rihanna,True
Pumped Up Kicks,Foster The People,True
Last Friday Night,Katy Perry,True
Just The Way You Are,Bruno Mars,True
Tonight,Enrique Iglesias,True
Born This Way,Lady Gaga,True
What's My Name?,Rihanna,True
We Belong Together,Mariah Carey,True
Hollaback Girl,Gwen Stefani,True
Since U Been Gone,Kelly Clarkson,True
"1, 2 Step",Ciara,True
Gold Digger,Kanye West,True
Boulevard Of Broken Dreams,Green Day,True
Candy Shop,50 Cent,True
Don't Cha,Pussycat Dolls,True
Behind These Hazel Eyes,Kelly Clarkson,True
Disco Inferno,50 Cent,True
You And Me,Lifehouse,True
Don't Phunk With My Heart,Black Eyed Peas,True
Lose Control,Missy Elliott,True
Shake It Off,Mariah Carey,True
Mr. Brightside,Killers,True
Just A Lil Bit,50 Cent,True
Pon de Replay,Rihanna,True
How We Do,Game,True
Beverly Hills,Weezer,True
The First Time Ever I Saw Your Face,Roberta Flack,True
Alone Again,Gilbert O'Sullivan,True
American Pie,Don McLean,True
Candy Man,Sammy Davis Jr.,True
Lean On Me,Bill Withers,True
Baby Don't Get Hooked On Me,Mac Davis,True
Daddy Don't You Walk So Fast,Wayne Newton,True
Let's Stay Together,Al Green,True
Oh Girl,Chi-Lites,True
My Ding-A-Ling,Chuck Berry,True
Heart Of Gold,Neil Young,True
Ben,Michael Jackson,True
Cherish,Association,True
Reach Out I'll Be There,Four Tops,True
Last Train To Clarksville,Monkees,True
You Can't Hurry Love,Supremes,True
Summer In The City,Lovin' Spoonful,True
These Boots Are Made For Walkin',Nancy Sinatra,True
What Becomes Of The Brokenhearted,Jimmy Ruffin,True
Strangers In The Night,Frank Sinatra,True
We Can Work It Out,Beatles,True
Good Lovin',Young Rascals,True
Hanky Panky,Tommy James and The Shondells,True
When A Man Loves A Woman,Percy Sledge,True
Believe,Cher,True
Heartbreak Hotel,Whitney Houston,True
...Baby One More Time,Britney Spears,True
Kiss Me,Sixpence None The Richer,True
Genie In A Bottle,Christina Aguilera,True
Every Morning,Sugar Ray,True
Livin' La Vida Loca,Ricky Martin,True
Where My Girls At?,702,True
If You Had My Love,Jennifer Lopez,True
Slide,Goo Goo Dolls,True
Have You Ever?,Brandy,True
I Want It That Way,Backstreet Boys,True
I'm Your Angel,R. Kelly,True
All Star,Smash Mouth,True
Angel,Sarah McLachlan,True
The Boy Is Mine,Brandy,True
You're Still The One,Shania Twain,True
Truly Madly Deeply,Savage Garden,True
How Do I Live,LeAnn Rimes,True
I Don't Want To Wait,Paula Cole,True
How's It Going To Be,Third Eye Blind,True
"No, No, No",Destiny's Child,True
My Heart Will Go On,Celine Dion,True
Gettin' Jiggy Wit It,Will Smith,True
You Make Me Wanna...,Usher,True
My Way,Usher,True
My All,Mariah Carey,True
Been Around The World,Puff Daddy,True
Adia,Sarah McLachlan,True
To Sir With Love,Lulu,True
The Letter,Box Tops,True
Ode To Billie Joe,Bobby Gentry,True
Windy,Association,True
I'm A Believer,Monkees,True
Light My Fire,Doors,True
