title,artist,Hit
Runaway,Janet Jackson,False
Hit Me Off,New Edition,False
No One Else,Total,False
Get Money,Junior M.A.F.I.A.,False
That Girl,Maxi Priest,False
Until It Sleeps,Metallica,False
Beautiful Life,Ace Of Base,False
Back For Good,Take That,False
Soon As I Get Home,Faith Evans,False
Only Wanna Be With You,Hootie and The Blowfish,False
No Time,Lil' Kim,False
Naked Eye,Luscious Jackson,False
I Shot The Sheriff,Warren G,False
You Should Be Mine,Brian McKnight,False
Don't Cry For Me Argentina,Madonna,False
Someone,SWV,False
Go The Distance,Michael Bolton,False
Coco Jamboo,Mr. President,False
Twisted,Keith Sweat,False
You Must Love Me,Madonna,False
Let It Go,Ray J,False
Heartbreaker,Dionne Warwick,False
Faithfully,Journey,False
Steppin' Out,Joe Jackson,False
(She's) Sexy + 17,Stray Cats,False
Dead Giveaway,Shalamar,False
Lawyers In Love,Jackson Browne,False
What About Me,Moving Pictures,False
Human Nature,Michael Jackson,False
Photograph,Def Leppard,False
Pass The Dutchie,Musical Youth,False
TRUE,Spandau Ballet,False
I've Got A Rock 'N' Roll Heart,Eric Clapton,False
Tonight I Celebrate My Love,Peabo Bryson,False
You Got Lucky,Tom Petty and The Heartbreakers,False
Breaking Us In Two,Joe Jackson,False
Fall In Love With Me,"Earth, Wind and Fire",False
Baby I Need Your Lovin',Johnny Rivers,False
You're All I Need To Get By,Marvin Gaye and Tammi Terrell,False
Do You Know The Way To San Jose,Dionne Warwick,False
The Mighty Quinn,Manfred Mann,False
I Say A Little Prayer,Aretha Franklin,False
Think,Aretha Franklin,False
Sealed With A Kiss,Gary Lewis and The Playboys,False
Piece Of My Heart,Big Brother and The Holding Company,False
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,False
Good,Better Than Ezra,False
Turn The Beat Around,Gloria Estefan,False
1st Of Tha Month,Bone Thugs-N-Harmony,False
I Live My Life For You,Firehouse,False
Cotton Eye Joe,Rednex,False
Thank You,Boyz II Men,False
I'll Stand By You,Pretenders,False
Best Friend,Brandy,False
Misery,Soul Asylum,False
Can't Stop Lovin' You,Van Halen,False
It's Now Or Never,John Schneider,False
Treat Me Right,Pat Benatar,False
What Kind Of Fool,Barbra Streisand,False
Watching The Wheels,John Lennon,False
Tell It Like It Is,Heart,False
Smoky Mountain Rain,Ronnie Milsap,False
I Made It Through The Rain,Barry Manilow,False
