"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1oHClQEgDmmbcEx12Kc5nZ","4 Minutes (feat. Justin Timberlake & Timbaland)","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW, spotify:artist:31TPClRtHm23RisEBtV3X7, spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ","Madonna, Justin Timberlake, Timbaland","spotify:album:43lok9zd7BW5CoYkXZs7S0","Celebration (double disc version)","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","2009-09-18","https://i.scdn.co/image/ab67616d0000b2731fc9fd5d701ee05cb39b7b19","1","4","189693","https://p.scdn.co/mp3-preview/57e975c1cc003797ed03390474ce9e345e20e031?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USWB10903601","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:6Qb7gtV6Q4MnUjSbkFcopl","50 Ways to Leave Your Lover","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","spotify:album:4A366gjTrYQwmRtkTezF2W","Still Crazy After All These Years","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","1975-10-25","https://i.scdn.co/image/ab67616d0000b2733879ef4375b97d2b58bf0768","1","4","217346","https://p.scdn.co/mp3-preview/41aa0ddb2632aa1939ecbaa3bed10b28c47c5a0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM11002304","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:5NQbUaeTEOGdD6hHcre0dZ","679 (feat. Remy Boyz)","spotify:artist:6PXS4YHDkKvl1wkIl4V8DL, spotify:artist:2s0yxtiHiyGe6CY4mbDYFi","Fetty Wap, Remy Boyz","spotify:album:0TyDTzG2zt2tg0wONT9wSU","679 (feat. Remy Boyz)","spotify:artist:6PXS4YHDkKvl1wkIl4V8DL","Fetty Wap","2015-06-29","https://i.scdn.co/image/ab67616d0000b2731769fa68b9643ca67c4d44ce","1","1","196693","https://p.scdn.co/mp3-preview/a5e4cc1818969ad61ef99074c0dc821493b16b46?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","QMCE31500250","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:4w3tQBXhn5345eUXDGBWZG","9 to 5","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","spotify:album:64Ky1tqKPfwxhJs6msphWd","9 To 5 And Odd Jobs","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","1980","https://i.scdn.co/image/ab67616d0000b273060ccf36ab5b0e0a739799ec","1","1","162466","https://p.scdn.co/mp3-preview/6384764199bf3d44f69085d62e10a076855ac8c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USRN19400384","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:5J2CHimS7dWYMImCHkEFaJ","A Hard Day's Night - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:6wCttLq0ADzkPgtRnUihLV","A Hard Day's Night (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1964-07-10","https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd","1","1","154200","https://p.scdn.co/mp3-preview/b564b172bd88dec2a6919a579ae96b2164666605?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBAYE0601438","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:6IMHEynubZaQrENpv8fh7m","A Little More Love","spotify:artist:4BoRxUdrcgbbq1rxJvvhg9","Olivia Newton-John","spotify:album:2CthmXoSM4yXi3AEVghIOf","Totally Hot","spotify:artist:4BoRxUdrcgbbq1rxJvvhg9","Olivia Newton-John","1978-11-01","https://i.scdn.co/image/ab67616d0000b2737fee9b85b2209cf3ee1a36ac","1","6","209466","https://p.scdn.co/mp3-preview/902019bc3b8ca688fdfc64c3b56592e955c68db4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USONJ0200093","spotify:user:1139977116","2023-03-20T13:43:56Z"
"spotify:track:4w1lzcaoZ1IC2K5TwjalRP","A Thousand Miles","spotify:artist:5ILrArfIV0tMURcHJN8Q07","Vanessa Carlton","spotify:album:5e7T2qUigzt0oIr50KsOld","Be Not Nobody","spotify:artist:5ILrArfIV0tMURcHJN8Q07","Vanessa Carlton","2002-04-30","https://i.scdn.co/image/ab67616d0000b273bc3ada3a19bb4e657f10917e","1","3","237493","https://p.scdn.co/mp3-preview/1dab77144140b38cf360a7e770f002335884954f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USIR10210955","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:4tS8xQfyPGc7f4lJ1JP6BX","A Whole New World (Aladdin's Theme)","spotify:artist:49iKbKGqgn8OESkW5WduX0, spotify:artist:3J9tQvcK0bY3CcVcgRELxH","Peabo Bryson, Regina Belle","spotify:album:3JoYvcDgsinWj0xCb4SaoC","Passion","spotify:artist:3J9tQvcK0bY3CcVcgRELxH","Regina Belle","1993-01-31","https://i.scdn.co/image/ab67616d0000b273a743b88f89ee58a228549c97","1","8","243493","https://p.scdn.co/mp3-preview/630298e0a22617b2c09fa0c84a412065a1a6f50b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USLIC0500071","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:0DEwNI2DgasX1eprqCivJk","A Woman Needs Love (Just Like You Do)","spotify:artist:0NyzfcGDZZ6GM25EBG9BYK, spotify:artist:1VQ7baxc9Okx2YuRnpKMMR","Ray Parker Jr., Raydio","spotify:album:38993ejU6at3J4b0fxIien","A Woman Needs Love (Expanded Edition)","spotify:artist:0NyzfcGDZZ6GM25EBG9BYK, spotify:artist:1VQ7baxc9Okx2YuRnpKMMR","Ray Parker Jr., Raydio","1981","https://i.scdn.co/image/ab67616d0000b27319a38414111ca6288f989589","1","1","249053","https://p.scdn.co/mp3-preview/1365f971df92c7931a01efca0b19483f5d50704f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USAR18100116","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:6D8kc7RO0rqBLSo2YPflJ5","ABC","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","spotify:album:2tukc7pH4qTuXcfaHjLIBc","ABC","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","1970-05-08","https://i.scdn.co/image/ab67616d0000b2739df68560791d0b3dab491867","1","3","174866","https://p.scdn.co/mp3-preview/2004141e76d06857b01a57fd361181f5228d4e7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USMO17082628","spotify:user:1139977116","2023-03-17T09:16:20Z"
