title,artist,Track Name,Artist Name(s)
I Love You,Climax Blues Band,I Love You,Climax Blues Band
I Love You Because,Al Martino,I Love You Because,Al Martino
I Love Your Smile,Shanice,I Love Your Smile,Shanice
I Need To Know,Marc Anthony,I Need to Know,Marc Anthony
I Still Haven't Found What I'm Looking For,U2,I Still Haven't Found What I'm Looking For,U2
I Think We're Alone Now,Tommy James and The Shondells,I Think We're Alone Now - Single Version,Tommy James & The Shondells
I Wanna Dance With Somebody,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
I Wanna Love You,Akon,I Wanna Love You,"Akon, Snoop Dogg"
I Want It That Way,Backstreet Boys,I Want It That Way,Backstreet Boys
I Want To Hold Your Hand,Beatles,I Want To Hold Your Hand - Remastered 2015,The Beatles
I Want To Know What Love Is,Foreigner,I Want to Know What Love Is - 1999 Remaster,Foreigner
I Want You,Savage Garden,I Want You,Savage Garden
I Was Made To Love Her,Stevie Wonder,春風歌聲 - 修復版,李碧華
I Will Always Love You,Whitney Houston,I Will Always Love You,Whitney Houston
I Will Survive,Gloria Gaynor,I Will Survive - Single Version,Gloria Gaynor
I Wish It Would Rain,Temptations,I Wish It Would Rain,The Temptations
I Write Sins not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco
I Write The Songs,Barry Manilow,I Write the Songs,Barry Manilow
I'd Really Love To See You Tonight,England Dan and John Ford Coley,I'd Really Love to See You Tonight - 2012 Remaster,England Dan & John Ford Coley
I'll Always Love You,Taylor Dayne,I'll Always Love You,Taylor Dayne
I'll Be Missing You,Puff Daddy,I'll Be Missing You,"Puff Daddy, 112, Faith Evans"
I'll Be There,Jackson 5,I'll Be There,The Jackson 5
I'll Be There,Mariah Carey,I'll Be There,"Mariah Carey, Cheree Price, Kelly Price, Henry Casper, Peggy Harley, Liz Stewart, Melonie Daniels, Trey Lorenz, Spencer Washington"
I'll Be There For You,Bon Jovi,I'll Be There For You,Bon Jovi
I'll Make Love To You,Boyz II Men,I'll Make Love To You,Boyz II Men
I'll Never Fall In Love Again,Tom Jones,I'll Never Fall In Love Again,Tom Jones
I'll Never Find Another You,Seekers,I'll Never Find Another You,The Seekers
I'll Remember,Madonna,I'll Remember (Theme from the Motion Picture With Honors),Madonna
I'll Take You There,Staple Singers,I'll Take You There,The Staple Singers
I'm A Believer,Monkees,I'm a Believer - 2006 Remaster,The Monkees
I'm Real,Jennifer Lopez,I'm Real (feat. Ja Rule),"Jennifer Lopez, Ja Rule"
I'm So Into You,SWV,I'm So Into You,SWV
I'm Sorry,Brenda Lee,I'm Sorry,Brenda Lee
I'm Too Sexy,Right Said Fred,I'm Too Sexy,Right Said Fred
I'm With You,Avril Lavigne,I'm with You,Avril Lavigne
I'm Your Angel,R. Kelly,I'm Your Angel (with Céline Dion),"R. Kelly, Céline Dion"
I'm Your Boogie Man,K.C. and The Sunshine Band,I'm Your Boogie Man,KC & The Sunshine Band
I'm Yours,Jason Mraz,I'm Yours,"Jason Mraz, St. Martin's Symphony Of Los Angeles, Ferdinand Lang"
If,Janet Jackson,If,Janet Jackson
If I Ain't Got You,Alicia Keys,If I Ain't Got You,Alicia Keys
If I Can't Have You,Yvonne Elliman,If I Can't Have You,Yvonne Elliman
If I Ever Fall In Love,Shai,If I Ever Fall In Love,Shai
If You Go,Jon Secada,If You Go,Jon Secada
If You Had My Love,Jennifer Lopez,If You Had My Love,Jennifer Lopez
If You're Gone,matchbox twenty,If You're Gone,Matchbox Twenty
Ignition,R. Kelly,Ignition - Remix,R. Kelly
Imma Be,Black Eyed Peas,Imma Be,Black Eyed Peas
In Da Club,50 Cent,In Da Club,50 Cent
In My Head,Jason Derulo,In My Head,Jason Derulo
In The Still Of The Nite,Boyz II Men,In The Still Of The Nite (I'll Remember),Boyz II Men
In the End,Linkin Park,In the End,Linkin Park
Incense And Peppermints,Strawberry Alarm Clock,Incense And Peppermints,Strawberry Alarm Clock
Independent Women Part I,Destiny's Child,"Independent Women, Pt. 1",Destiny's Child
Informer,Snow,Informer,Snow
Insensitive,Jann Arden,Insensitive,Jann Arden
Into You,Fabolous,Into You (feat. Tamia) - Main Mix,"Fabolous, Tamia"
Ironic,Alanis Morissette,Ironic - 2015 Remaster,Alanis Morissette
Irreplaceable,Beyonce,Irreplaceable,Beyoncé
Is This Love,Whitesnake,Is This Love - 2018 Remaster,Whitesnake
It Keeps Right On a-Hurtin',Johnny Tillotson,It Keeps Right on a Hurtin' - Remastered,Johnny Tillotson
It Must Have Been Love,Roxette,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette
It Wasn't Me,Shaggy,It Wasnt Me,Shaggy
It's All Coming Back To Me Now,Celine Dion,It's All Coming Back to Me Now,Céline Dion
It's Been Awhile,Staind,It's Been Awhile,Staind
It's Not Over,Daughtry,It's Not Over,Daughtry
It's Now Or Never,Elvis Presley,It's Now or Never,Elvis Presley
It's Still Rock And Roll To Me,Billy Joel,It's Still Rock and Roll to Me,Billy Joel
It's Your Thing,Isley Brothers,It's Your Thing,The Isley Brothers
Jean,Oliver,Jean,Oliver
Jessie's Girl,Rick Springfield,Jessie's Girl,Rick Springfield
Jive Talkin',Bee Gees,Jive Talkin',Bee Gees
Joy To The World,Three Dog Night,Joy To The World,Three Dog Night
Joyride,Roxette,Joyride,Roxette
Jump,Van Halen,Jump - 2015 Remaster,Van Halen
Jump,Pointer Sisters,Jump (For My Love),The Pointer Sisters
Jump,Kris Kross,Jump,Kris Kross
Jungle Boogie,Kool and The Gang,Jungle Boogie,Kool & The Gang
Just A Lil Bit,50 Cent,Just A Lil Bit,50 Cent
Just Another Day,Jon Secada,Just Another Day,Jon Secada
Just Can't Get Enough,Black Eyed Peas,Just Can’t Get Enough,Black Eyed Peas
Just Dance,Lady Gaga,Just Dance,"Lady Gaga, Colby O'Donis"
Just My Imagination,Temptations,Just My Imagination (Running Away With Me),The Temptations
Just The Two Of Us,Grover Washington Jr.,Just the Two of Us,"Grover Washington\, Jr."
Just The Way You Are,Billy Joel,Just the Way You Are,Billy Joel
Just The Way You Are,Bruno Mars,Just the Way You Are,Bruno Mars
Just The Way You Are,Bruno Mars,Just the Way You Are,Bruno Mars
Justify My Love,Madonna,Justify My Love,Madonna
Karma Chameleon,Culture Club,Karma Chameleon - Remastered 2002,Culture Club
Keep On Loving You,REO Speedwagon,Keep on Loving You,REO Speedwagon
Killing Me Softly With His Song,Roberta Flack,"A Town with an Ocean View (From ""Kiki's Delivery Service"")",Julien Ando
Kind Of A Drag,Buckinghams,Kind of a Drag,The Buckinghams
King Of The Road,Roger Miller,King Of The Road,Roger Miller
Kiss And Say Goodbye,Manhattans,Kiss and Say Goodbye,The Manhattans
Kiss Me,Sixpence None The Richer,Kiss Me - Top Ten Edit,Sixpence None The Richer
Kiss On My List,Daryl Hall and John Oates,Kiss on My List,Daryl Hall & John Oates
Kiss You All Over,Exile,Kiss You All Over,Exile
Knock On Wood,Amii Stewart,Knock On Wood,Amii Stewart
Knock Three Times,Dawn,Knock Three Times,The Dawn
Knock You Down,Keri Hilson,Knock You Down,"Keri Hilson, Kanye West, Ne-Yo"
Kryptonite,3 Doors Down,Kryptonite,3 Doors Down
Kung Fu Fighting,Carl Douglas,Kung Fu Fighting,Carl Douglas
Kyrie,Mr. Mister,Kyrie,Mr. Mister
La Bamba,Los Lobos,La Bamba,Los Lobos
La-La Means I Love You,Delfonics,La-La Means I Love You,The Delfonics
Lady,Kenny Rogers,Lady - Remastered 2006,Kenny Rogers
Lady Marmalade,Labelle,Lady Marmalade,LaBelle
Last Friday Night,Katy Perry,Last Friday Night (T.G.I.F.),Katy Perry
Last Kiss,Pearl Jam,Last Kiss,Pearl Jam
Last Train To Clarksville,Monkees,Last Train to Clarksville,The Monkees
Lately,Jodeci,Lately,Jodeci
Laughter In The Rain,Neil Sedaka,Laughter In The Rain,Neil Sedaka
Lay Down Sally,Eric Clapton,Lay Down Sally,Eric Clapton
Le Freak,Chic,Le Freak - 2018 Remaster,CHIC
Lean Back,Terror Squad,Lean Back,"Terror Squad, Fat Joe, Remy Ma"
Lean On,Major Lazer,Lean On - Dillon Francis & Jauz Remix,"Major Lazer, DJ Snake, MØ, Dillon Francis, Jauz"
Lean On Me,Bill Withers,Lean on Me,Bill Withers
Let Her Go,Passenger,Let Her Go,Passenger
Let It Be,Beatles,Let It Be - Remastered 2009,The Beatles
Let's Dance,David Bowie,Cuando Me Ves,"Dani Ribba, Tiago PZK"
Let's Get It On,Marvin Gaye,Let's Get It On,Marvin Gaye
Let's Hear It For The Boy,Deniece Williams,Let's Hear It for the Boy,Deniece Williams
Let's Stay Together,Al Green,Let's Stay Together,Al Green
Life Is A Highway,Tom Cochrane,Life Is A Highway,Tom Cochrane
Light My Fire,Doors,Light My Fire,The Doors
Lightnin' Strikes,Lou Christie,Lightnin' Strikes,Lou Christie
Lights,Ellie Goulding,Lights - Single Version,Ellie Goulding
Like A Virgin,Madonna,Like a Virgin,Madonna
Lips Are Movin,Meghan Trainor,Lips Are Movin,Meghan Trainor
Listen To Your Heart,Roxette,Listen To Your Heart,Roxette
Little Children,Billy J. Kramer and The Dakotas,Little Children,Billy J. Kramer & The Dakotas
Little Jeannie,Elton John,Little Jeannie,"Elton John, Gary Osborne, James Galway, Tom Kochan"
Livin' La Vida Loca,Ricky Martin,Livin' la Vida Loca,Ricky Martin
Livin' On A Prayer,Bon Jovi,"Foxy, Foxy",Rob Zombie
Locked Out Of Heaven,Bruno Mars,Locked out of Heaven,Bruno Mars
Lollipop,Lil Wayne,Lollipop,"Lil Wayne, Static Major"
London Bridge,Fergie,London Bridge,Fergie
Lonely No More,Rob Thomas,Lonely No More,Rob Thomas
Look Away,Chicago,Look Away,Chicago
Looking For A New Love,Jody Watley,Looking For A New Love - Radio Edit,"Jody Watley, Louil Silas Jr."
Lose Control,Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),"Missy Elliott, Ciara, Fatman Scoop"
Lost In Love,Air Supply,終於知道,Jolie Chan
Loungin,LL Cool J,Loungin (Who Do Ya Luv) - Remix,LL COOL J
Love Hangover,Diana Ross,Love Hangover,Diana Ross
Love Hurts,Nazareth,Love Hurts - Single Edit,Nazareth
Love In This Club,Usher,Love in This Club (feat. Young Jeezy),"Usher, Jeezy"
Love Me Do,Beatles,Love Me Do - Remastered 2009,The Beatles
Love Me Like You Do,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding
Love Song,Sara Bareilles,Love Song,Sara Bareilles
Love Story,Taylor Swift,Love Story,Taylor Swift
Love The Way You Lie,Eminem,Love The Way You Lie,"Eminem, Rihanna"
Love Will Keep Us Together,Captain and Tennille,Love Will Keep Us Together,Captain & Tennille
Love Will Never Do,Janet Jackson,Love Will Never Do (Without You),Janet Jackson
Lovin' You,Minnie Riperton,Lovin' You - Alternate Band Version,Minnie Riperton
Low,Flo Rida,Low (feat. T-Pain),"Flo Rida, T-Pain"
MMMBop,Hanson,MMMBop - Single Version,Hanson
Magic,Olivia Newton-John,Magic - Live,Olivia Newton-John
Magic Stick,Lil' Kim,Magic Stick,Lil' Kim
Make It With You,Bread,Hang It Up,The Ting Tings
Makes Me Wonder,Maroon 5,Makes Me Wonder,Maroon 5
Mama Told Me,Three Dog Night,Mama Told Me (Not To Come) - Single Version,Three Dog Night
Man In The Mirror,Michael Jackson,Man in the Mirror - 2012 Remaster,Michael Jackson
Maneater,Daryl Hall and John Oates,Maneater,Daryl Hall & John Oates
Margaritaville,Jimmy Buffett,Margaritaville,Jimmy Buffett
Me And Bobby McGee,Janis Joplin,Me and Bobby McGee,Janis Joplin
Me And Mrs. Jones,Billy Paul,Me and Mrs. Jones,Billy Paul
Midnight At The Oasis,Maria Muldaur,Midnight at the Oasis,Maria Muldaur
Mirrors,Justin Timberlake,Mirrors,Justin Timberlake
Miss You,Rolling Stones,Miss You - Remastered,The Rolling Stones
Miss You,Aaliyah,Miss You,Aaliyah
Miss You Much,Janet Jackson,Miss You Much,Janet Jackson
Missing,Everything But The Girl,Missing - 2013 Remaster,Everything But The Girl
Missing You,John Waite,Missing You - Single Version,John Waite
Mo Money Mo Problems,Notorious B.I.G.,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"The Notorious B.I.G., Mase, Diddy"
Money For Nothing,Dire Straits,Money For Nothing - Remastered 1996,Dire Straits
Mony Mony,Billy Idol,Mony Mony,Billy Idol
More Than Words,Extreme,More Than Words,Extreme
"More, More, More",Andrea True Connection,"More, More, More",Andrea True Connection
Morning Train,Sheena Easton,Morning Train (Nine to Five),Sheena Easton
Motownphilly,Boyz II Men,Motownphilly,Boyz II Men
Move Along,All-American Rejects,Move Along,The All-American Rejects
Move Ya Body,Nina Sky,Move Ya Body,"Nina Sky, Jabba"
Moves Like Jagger,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera"
Mr. Big Stuff,Jean Knight,Mr. Big Stuff,Jean Knight
Mr. Brightside,Killers,Mr. Brightside,The Killers
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,Mrs Brown You've Got a Lovely Daughter - 1997 Remaster,Herman's Hermits
Mrs. Robinson,Simon and Garfunkel,Mrs. Robinson,Simon & Garfunkel
Music,Madonna,Music,Madonna
My All,Mariah Carey,My All,Mariah Carey
My Ding-A-Ling,Chuck Berry,My Ding-A-Ling,Chuck Berry
My Eyes Adored You,Frankie Valli,My Eyes Adored You,Frankie Valli
My Girl,Temptations,My Girl,The Temptations
My Guy,Mary Wells,My Guy,Mary Wells
My Heart Has A Mind Of Its Own,Connie Francis,My Heart Has A Mind Of Its Own,Connie Francis
My Heart Will Go On,Celine Dion,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion
My Immortal,Evanescence,My Immortal,Evanescence
My Life Would Suck Without You,Kelly Clarkson,My Life Would Suck Without You,Kelly Clarkson
My Love,Petula Clark,My Love,Petula Clark
My Love,Paul McCartney,My Love - 2018 Remaster,Wings
My Lovin',En Vogue,My Lovin' (You're Never Gonna Get It),En Vogue
My Prerogative,Bobby Brown,My Prerogative,Bobby Brown
My Way,Usher,My Way,Usher
Naughty Girl,Beyonce,Naughty Girl,Beyoncé
Need You Now,Lady Antebellum,Need You Now,Lady A
Need You Tonight,INXS,Need You Tonight,INXS
Never,Heart,Never,Heart
Never Gonna Give You Up,Rick Astley,Never Gonna Give You Up,Rick Astley
Never Gonna Let You Go,Sergio Mendes,Never Gonna Let You Go,Sérgio Mendes
Never My Love,Association,Never My Love - Remastered Version,The Association
Night Fever,Bee Gees,Night Fever,Bee Gees
No Air,Jordin Sparks,No Air (feat. Chris Brown),"Jordin Sparks, Chris Brown"
No One,Alicia Keys,No One,Alicia Keys
"No, No, No",Destiny's Child,"No, No, No Pt. 2 (feat. Wyclef Jean)","Destiny's Child, Wyclef Jean"
Nobody,Keith Sweat,Nobody (feat. Athena Cage),"Keith Sweat, Athena Cage"
Nothing Compares 2 U,Sinead O'Connor,Nothing Compares 2 U - Live,Sinéad O'Connor
Nothing's Gonna Stop Us Now,Starship,Nothing's Gonna Stop Us Now,Starship
November Rain,Guns N' Roses,November Rain,Guns N' Roses
"Nuthin' But A ""G"" Thang",Dr. Dre,"Nuthin' But A ""G"" Thang","Dr. Dre, Snoop Dogg"
OMG,Usher,OMG (feat. will.i.am),"Usher, will.i.am"
Ode To Billie Joe,Bobby Gentry,Ode To Billie Joe,Bobbie Gentry
Oh,Ciara,Oh (feat. Ludacris),"Ciara, Ludacris"
Oh Girl,Chi-Lites,Oh Girl,The Chi-Lites
"Oh, Pretty Woman",Roy Orbison,"Oh, Pretty Woman",Roy Orbison
On Bended Knee,Boyz II Men,On Bended Knee,Boyz II Men
On My Own,Patti Labelle,On My Own,Patti LaBelle
On Our Own,Bobby Brown,On Our Own - With Rap,Bobby Brown
On The Floor,Jennifer Lopez,A Dónde Te Me Fuiste,"Mike Bahía, Cornelio Vega y su Dinastia, Ramon Vega"
One,Three Dog Night,One - Single Version,Three Dog Night
One Bad Apple,Osmonds,One Bad Apple,The Osmonds
One Hell Of A Woman,Mac Davis,One Hell Of A Woman,Mac Davis
One More Night,Maroon 5,One More Night,Maroon 5
One More Try,George Michael,One More Try,George Michael
One Sweet Day,Mariah Carey,One Sweet Day,"Mariah Carey, Boyz II Men"
Only The Lonely,Roy Orbison,Only the Lonely,Roy Orbison
Opposites Attract,Paula Abdul,Opposites Attract,Paula Abdul
Out Of Touch,Daryl Hall and John Oates,Out of Touch,Daryl Hall & John Oates
Owner Of A Lonely Heart,Yes,Owner of a Lonely Heart,Yes
P.I.M.P.,50 Cent,P.I.M.P.,50 Cent
Part-Time Lover,Stevie Wonder,Part-Time Lover,Stevie Wonder
Party All The Time,Eddie Murphy,Party All the Time,Eddie Murphy
Party Rock Anthem,LMFAO,Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock"
Payphone,Maroon 5,Payphone,Maroon 5
Peaches and Cream,112,Peaches & Cream,"112, Diddy"
People,Barbara Streisand,People (with Stevie Wonder),"Barbra Streisand, Stevie Wonder"
Philadelphia Freedom,Elton John,Philadelphia Freedom,Elton John
Physical,Olivia Newton-John,Physical,Olivia Newton-John
Pick Up The Pieces,Average White Band,Pick up the Pieces,Average White Band
Picture,Kid Rock,Picture (feat. Sheryl Crow),"Kid Rock, Sheryl Crow"
Play That Funky Music,Wild Cherry,Play That Funky Music,Wild Cherry
Please Don't Go,K.C. and The Sunshine Band,Please Don't Go,KC & The Sunshine Band
Please Please Me,Beatles,Please Please Me - Remastered 2009,The Beatles
Pocketful of Sunshine,Natasha Bedingfield,POCKETFUL OF SUNSHINE,Natasha Bedingfield
Poison,Bell Biv Devoe,Poison,Bell Biv DeVoe
Poker Face,Lady Gaga,Poker Face,Lady Gaga
Pon de Replay,Rihanna,Pon de Replay,Rihanna
Pony Time,Chubby Checker,Pony Time,Chubby Checker
Poor Side Of Town,Johnny Rivers,The Poor Side Of Town,Johnny Rivers
Pour Some Sugar On Me,Def Leppard,Pour Some Sugar On Me - Radio Edit,Def Leppard
Problem,Ariana Grande,Problem (Ariana Grande Cover),Pentatonix
Promiscuous,Nelly Furtado,Promiscuous,"Nelly Furtado, Timbaland"
Proud Mary,Creedence Clearwater Revival,Proud Mary,Creedence Clearwater Revival
Puff,"Peter, Paul and Mary",Puff Puff Pass,Drogu
Pump Up The Jam,Technotronic,Pump Up The Jam,Technotronic
Pumped Up Kicks,Foster The People,Pumped Up Kicks,Foster The People
Puppy Love,Paul Anka,Puppy Love - Remix,Paul Anka
Quit Playing Games,Backstreet Boys,Quit Playing Games (With My Heart),Backstreet Boys
Radioactive,Imagine Dragons,Fighter,"Christian Reindl, Power-Haus, Dream Harlowe"
Raindrops Keep Fallin' On My Head,B.J. Thomas,Raindrops Keep Fallin' on My Head - Rerecorded,B.J. Thomas
Rapture,Blondie,Rapture,Blondie
Reach Out I'll Be There,Four Tops,Reach Out I'll Be There - Single Version / Mono,Four Tops
Regulate,Warren G,Regulate,"Warren G, Nate Dogg"
Release Me,Wilson Phillips,Release Me,Wilson Phillips
Remember The Time,Michael Jackson,Remember the Time,Michael Jackson
Respect,Aretha Franklin,Respect,Aretha Franklin
Return Of The Mack,Mark Morrison,Misterioso,Bill Frisell
Rhinestone Cowboy,Glen Campbell,Rhinestone Cowboy - Remastered,Glen Campbell
Rich Girl,Daryl Hall and John Oates,Rich Girl,Daryl Hall & John Oates
Ride Like The Wind,Christopher Cross,Pueblo Latino,"Pete ""El Conde"" Rodriguez"
Ridin',Chamillionaire,Ridin',"Chamillionaire, Krayzie Bone"
Right Here Waiting,Richard Marx,Right Here Waiting,Richard Marx
"Right Here, Right Now",Jesus Jones,Right Here Right Now,Jesus Jones
Right Round,Flo Rida,Right Round,Flo Rida
Right Thurr,Chingy,Right Thurr,Chingy
Ring My Bell,Anita Ward,Ring My Bell,Anita Ward
Roar,Katy Perry,Roar,Katy Perry
Rock On,David Essex,Rock On,David Essex
Rock With You,Michael Jackson,Rock with You - Single Version,Michael Jackson
Roll With It,Steve Winwood,Roll With It - 2010 Remaster,Steve Winwood
Roses Are Red,Bobby Vinton,Roses are Red (My Love),Bobby Vinton
Royals,Lorde,Royals,Lorde
Royals,Lorde,Royals,Lorde
Rub You The Right Way,Johnny Gill,Rub You The Right Way,Johnny Gill
Rude Boy,Rihanna,Rude Boy,Rihanna
Rump Shaker,Wreckx-N-Effect,Rump Shaker,Wreckx-N-Effect
Run-Around,Blues Traveler,Run-Around,Blues Traveler
Runaway,Del Shannon,Runaway,Del Shannon
Runaway Train,Soul Asylum,Runaway Train (2022 Remaster),Soul Asylum
Running Scared,Roy Orbison,Running Scared,Roy Orbison
Rush Rush,Paula Abdul,Rush Rush,Paula Abdul
S&M,Rihanna,S&M,Rihanna
SOS,Rihanna,SOS,Rihanna
Sara Smile,Daryl Hall and John Oates,Sara Smile,Daryl Hall & John Oates
Save Tonight,Eagle-Eye Cherry,Save Tonight,Eagle-Eye Cherry
Saving All My Love For You,Whitney Houston,Saving All My Love for You,Whitney Houston
Say It Isn't So,Daryl Hall and John Oates,Say It Isn't So,Daryl Hall & John Oates
Say It Right,Nelly Furtado,Say It Right,Nelly Furtado
Say My Name,Destiny's Child,Say My Name,Destiny's Child
Say Say Say,Paul McCartney,Say Say Say,"Paul McCartney, Michael Jackson"
"Say You, Say Me",Lionel Richie,La Mujer De Mi Vida,"Ricardo Montaner, Maurizio Macchioni and Renato Cantelle"
Seasons In The Sun,Terry Jacks,Seasons in the Sun,Terry Jacks
Secret Lovers,Atlantic Starr,Secret Lovers,Atlantic Starr
See You Again,Wiz Khalifa,See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth"
Self Control,Laura Branigan,Self Control,Laura Branigan
Semi-Charmed Life,Third Eye Blind,寶貝18,"李宜柏PAULYBLEE, MAO, LEEZY"
Sexy And I Know It,LMFAO,Lmfao - Sexy & I Know It,MARDI GRAS
Sexy Can I,Ray J,Sexy Can I,"Ray J, Yung Berg"
Sexyback,Justin Timberlake,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland"
Shadow Dancing,Andy Gibb,Shadow Dancing,Andy Gibb
Shake It Off,Mariah Carey,Shake It Off,Mariah Carey
Shake It Off,Taylor Swift,Shake It Off,Taylor Swift
Shake It Off,Taylor Swift,Shake It Off,Taylor Swift
Shake It Up,Cars,Shake It Up - 2017 Remaster,The Cars
Shakedown,Bob Seger,Shakedown,Bob Seger
Shame On The Moon,Bob Seger,Shame On The Moon,Bob Seger
She Blinded Me With Science,Thomas Dolby,She Blinded Me With Science,Thomas Dolby
She Drives Me Crazy,Fine Young Cannibals,She Drives Me Crazy,Fine Young Cannibals
She Loves You,Beatles,She Loves You - Mono / Remastered,The Beatles
She's A Fool,Lesley Gore,She's A Fool (Rerecorded),Lesley Gore
Sheila,Tommy Roe,Sheila,Tommy Roe
Shining Star,"Earth, Wind and Fire",Shining Star,"Earth\, Wind & Fire"
Shining Star,Manhattans,Shining Star,The Manhattans
Shotgun,Jr. Walker and The All Stars,Shotgun,Jr. Walker & The All Stars
Shout,Tears For Fears,Shout,Tears For Fears
Show And Tell,Al Wilson,Show and Tell,Al Wilson
Show Me Love,Robin S.,Show Me Love,Robin S
Shut Up and Dance,Walk The Moon,Shut Up and Dance,WALK THE MOON
Sideshow,Blue Magic,Sideshow,Blue Magic
Silhouettes,Herman's Hermits,Silhouettes,Herman's Hermits
Silly Love Songs,Wings,Silly Love Songs - 2014 Remaster,Wings
Simply Irresistible,Robert Palmer,Simply Irresistible,Robert Palmer
Since U Been Gone,Kelly Clarkson,Since U Been Gone,Kelly Clarkson
Single Ladies,Beyonce,Single Ladies (Put a Ring on It),Beyoncé
Sir Duke,Stevie Wonder,Sir Duke,Stevie Wonder
Sittin' Up In My Room,Brandy,Sittin' Up In My Room - from Waiting to Exhale - Original Soundtrack,Brandy
Sledgehammer,Peter Gabriel,Sledgehammer,Peter Gabriel
Slide,Goo Goo Dolls,Slide - Warner Sound Sessions,The Goo Goo Dolls
Slow Hand,Pointer Sisters,Slow Hand,The Pointer Sisters
Slow Twistin',Chubby Checker,Slow Twistin',"Chubby Checker, Dee Dee Sharp"
Smack That,Akon,Smack That (In the Style of Akon & Eminem) [Karaoke Version],Ameritz Audio Karaoke
Smiling Faces Sometimes,Undisputed Truth,Smiling Faces Sometimes,The Undisputed Truth
So Emotional,Whitney Houston,So Emotional,Whitney Houston
So Sick,Ne-Yo,So Sick,Ne-Yo
Soldier Boy,Shirelles,Soldier Boy,The Shirelles
Somebody That I Used To Know,Gotye,Somebody I Used to Know - Tiësto Remix,"Gotye, Kimbra"
Someday,Mariah Carey,Someday,Mariah Carey
Someday,Nickelback,Someday,Nickelback
Somethin' Stupid,Nancy Sinatra,Somethin' Stupid (with Frank Sinatra),Nancy Sinatra
Soul Man,Sam and Dave,Soul Man,Sam & Dave
Southern Nights,Glen Campbell,Southern Nights,Glen Campbell
Spill The Wine,Eric Burdon,Spill the Wine,"Eric Burdon, War"
Spirit In The Sky,Norman Greenbaum,Spirit In The Sky,Norman Greenbaum
St. Elmo's Fire,John Parr,St. Elmos Fire (Man in Motion),John Parr
Starships,Nicki Minaj,Starships,Nicki Minaj
Stay,Lisa Loeb,Stay (I Missed You),Lisa Loeb & Nine Stories
Stay,Rihanna,Stay,"Rihanna, Mikky Ekko"
Stay With Me,Sam Smith,Stay With Me,Sam Smith
Stayin' Alive,Bee Gees,Stayin Alive,Bee Gees
Still,Commodores,Still,Commodores
Stop! In The Name Of Love,Supremes,Stop! In The Name Of Love - Single Version,The Supremes
Straight Up,Paula Abdul,Straight Up,Paula Abdul
Strangers In The Night,Frank Sinatra,Strangers In The Night,Frank Sinatra
Stronger,Kelly Clarkson,Stronger (What Doesn't Kill You),Kelly Clarkson
Stuck On You,Elvis Presley,Stuck on You,Elvis Presley
Stuck With You,Huey Lewis and The News,Stuck With You,Huey Lewis & The News
Stumblin' In,Suzi Quatro,Stumblin' In,"Suzi Quatro, Chris Norman"
Sugar,Maroon 5,Sugar,Maroon 5
"Sugar, Sugar",Archies,"Sugar, Sugar",The Archies
Summer In The City,Lovin' Spoonful,Summer in the City,The Lovin' Spoonful
Sunshine,Lil' Flip,Sunshine (feat. Lea),"Lil' Flip, Lea"
Sunshine On My Shoulders,John Denver,Sunshine On My Shoulders,John Denver
Super Bass,Nicki Minaj,Super Bass,Nicki Minaj
Surfin' U.S.A.,Beach Boys,Surfin' U.S.A.,The Beach Boys
Survivor,Destiny's Child,Survivor,Destiny's Child
Suspicious Minds,Elvis Presley,Suspicious Minds,Elvis Presley
Sweet Caroline,Neil Diamond,Sweet Caroline,Neil Diamond
Sweet Child O' Mine,Guns N' Roses,Sweet Child O' Mine,Guns N' Roses
Sweet Dreams,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart"
Sweet Nothin's,Brenda Lee,Sweet Nothin's,Brenda Lee
Sweet Soul Music,Arthur Conley,Sweet Soul Music,Arthur Conley
Tainted Love,Soft Cell,Tainted Love,Soft Cell
Take A Bow,Madonna,Take a Bow,Madonna
Take A Bow,Rihanna,Take A Bow,Rihanna
"Take Me Home, Country Roads",John Denver,"Take Me Home, Country Roads",John Denver
Take Me To Church,Hozier,Take Me To Church,Hozier
Take On Me,a-ha,Take on Me,a-ha
Talk Dirty,Jason Derulo,Talk Dirty - Sax Version,Jason Derulo
Team,Lorde,Team,Lorde
Tears In Heaven,Eric Clapton,Tears in Heaven,Eric Clapton
Teenage Dream,Katy Perry,Teenage Dream,Katy Perry
Telephone,Lady Gaga,Telephone,"Lady Gaga, Beyoncé"
Telephone Line,Electric Light Orchestra,Telephone Line,Electric Light Orchestra
