,title,artist
793,Talking Body,Tove Lo
794,Tarzan Boy,Baltimora
795,Tattoo,Jordin Sparks
796,Teardrops On My Guitar,Taylor Swift
797,Tell Her About It,Billy Joel
798,Tell It To My Heart,Taylor Dayne
799,Tennessee,Arrested Development
800,Thank God I Found You,Mariah Carey
801,That Don't Impress Me Much,Shania Twain
802,That Girl,Stevie Wonder
803,Take Me Home Tonight,Eddie Money
804,That's All You Gotta Do,Brenda Lee
805,Take Me Home,Cher
806,Take It Off,Ke$ha
807,Sweet Dreams,Air Supply
808,Sweet Dreams,Beyonce
809,Sweet Lady,Tyrese
810,Sweet Love,Commodores
811,Sweet Nothing,Calvin Harris
812,Sweet Pea,Tommy Roe
813,Sweetest Girl,Wyclef Jean
814,Swing My Way,K.P. and Envyi
815,Swingin' School,Bobby Rydell
816,Switch,Will Smith
817,Sylvia's Mother,Dr. Hook and The Medicine Show
818,Take A Chance On Me,ABBA
819,Take A Picture,Filter
820,Take It Away,Paul McCartney
821,Take It Easy On Me,Little River Band
822,Take It On The Run,REO Speedwagon
823,That's The Way,Jo Dee Messina
824,That's The Way I've Always Heard It Should Be,Carly Simon
825,That's The Way It Is,Celine Dion
826,The Happening,Supremes
827,The Hardest Thing,98 Degrees
828,The Heart Wants What It Wants,Selena Gomez
829,The Humpty Dance,Digital Underground
830,The Joker,Steve Miller Band
831,The Jump Off,Lil' Kim
832,The Lazy Song,Bruno Mars
833,The Loco-Motion,Kylie Minogue
834,The Logical Song,Supertramp
835,The Look Of Love,Sergio Mendes
836,The Lover In Me,Sheena Easton
837,The Main Event,Barbra Streisand
838,The Man,Aloe Blacc
839,The Man Who Shot Liberty Valance,Gene Pitney
840,The Morning After,Maureen McGovern
841,The Glamorous Life,Sheila E.
842,The Girl Is Mine,Michael Jackson
843,The Girl From Ipanema,Stan Getz
844,The Gambler,Kenny Rogers
845,That's The Way Love Is,Marvin Gaye
846,That's The Way Of The World,"Earth, Wind and Fire"
847,The Air That I Breathe,Hollies
848,The Arms Of The One Who Loves You,Xscape
849,The Ballad Of Bonnie And Clyde,Georgie Fame
850,The Best Of Times,Styx
851,The Best Things In Life Are Free,Luther Vandross
852,Sweet City Woman,Stampeders
853,The Boll Weevil Song,Brook Benton
854,The City Of New Orleans,Arlo Guthrie
855,The Closer I Get To You,Roberta Flack
856,The Devil Went Down To Georgia,Charlie Daniels Band
857,The Edge Of Glory,Lady Gaga
858,The First Cut Is The Deepest,Sheryl Crow
859,The Fly,Chubby Checker
860,The Fool On The Hill,Sergio Mendes
861,The Boys Of Summer,Don Henley
862,Somebody,Natalie La Rose
863,Sweet And Innocent,Donny Osmond
864,Sussudio,Phil Collins
865,Speedy Gonzales,Pat Boone
866,Spinning Wheel,"Blood, Sweat and Tears"
867,Splash Waterfalls,Ludacris
868,Springsteen,Eric Church
869,Stand Back,Stevie Nicks
870,Stand By Me,Ben E. King
871,Stand Tall,Burton Cummings
872,Stand Up,Ludacris
873,Stay,Shakespear's Sister
874,Steal Away,Robbie Dupree
875,Step By Step,New Kids On The Block
876,Step In The Name Of Love,R. Kelly
877,Stickwitu,Pussycat Dolls
878,Still,Commodores
879,Still The Same,Bob Seger
880,Speed Of Sound,Coldplay
881,Still Water,Four Tops
882,Spanish Harlem,Aretha Franklin
883,Sowing The Seeds Of Love,Tears For Fears
884,Somebody's Baby,Jackson Browne
885,Somebody's Watching Me,Rockwell
886,Someday,Sugar Ray
887,Someone To Love,Jon B.
888,Something About You,Level 42
889,Something Happened On The Way To Heaven,Phil Collins
890,Something To Talk About,Bonnie Raitt
891,Something's Burning,Kenny Rogers
892,Sometimes When We Touch,Dan Hill
893,Somewhere Out There,Linda Ronstadt
894,Song Sung Blue,Neil Diamond
895,Sorry,Buckcherry
896,Sorry 2004,Ruben Studdard
897,Soul Survivor,Young Jeezy
898,South Side,Moby
899,Spanish Harlem,Ben E. King
900,Stitches,Shawn Mendes
901,Stop And Stare,OneRepublic
902,Story Of My Life,One Direction
903,Summertime Blues,Blue Cheer
904,Summertime Sadness,Lana Del Rey
905,Sundown,Gordon Lightfoot
906,Sunglasses At Night,Corey Hart
907,Sunny,Bobby Hebb
908,Sunny Came Home,Shawn Colvin
909,Sunshine,Jonathan Edwards
910,Superfly,Curtis Mayfield
911,Superstar,Murray Head
912,Superstar,Carpenters
913,Superstar,Lupe Fiasco
914,Superstition,Stevie Wonder
915,Surfer Girl,Beach Boys
916,Surrender,Elvis Presley
917,Survivor,Destiny's Child
918,Summer Of '69,Bryan Adams
919,Summer Nights,John Travolta
920,Summer Love,Justin Timberlake
921,Summer,Calvin Harris
922,Straight From The Heart,Bryan Adams
923,Stray Cat Strut,Stray Cats
924,Streets Of Philadelphia,Bruce Springsteen
925,Stroke You Up,Changing Faces
926,Strong Enough,Sheryl Crow
927,Stronger,Kanye West
928,Strut,Sheena Easton
929,Swayin' To The Music,Johnny Rivers
930,Stuck In The Middle With You,Stealers Wheel
931,Stumblin' In,Suzi Quatro
932,Style,Taylor Swift
933,Suddenly,Billy Ocean
934,Suffocate,J. Holiday
935,Sugar,Flo Rida
936,"Sugar, We're Goin' Down",Fall Out Boy
937,Sultans Of Swing,Dire Straits
938,Stuck On You,Lionel Richie
939,Let My Love Open The Door,Pete Townshend
940,Let's Dance,Chris Montez
941,Let Me Hold You,Bow Wow
942,Don't Tell 'Em,Jeremih
943,Don't Tell Me,Madonna
944,Don't Wanna Try,Frankie J
945,Don't Worry,Marty Robbins
946,"Don't Worry, Be Happy",Bobby McFerrin
947,Don't You Care,Buckinghams
948,Don't You Want Me,Jody Watley
949,Don't You Worry Child,Swedish House Mafia
950,Doo Wop,Lauryn Hill
951,Down By The Lazy River,Osmonds
952,Down Low,R. Kelly
953,Downtown Train,Rod Stewart
954,Drag Me Down,One Direction
955,Dre Day,Dr. Dre
956,Dream Baby,Roy Orbison
957,Don't Stop Believin',Journey
958,Dream On,Aerosmith
959,Don't Stop,Fleetwood Mac
960,Don't Rush Me,Taylor Dayne
961,Domino,Jessie J
962,Don't,Ed Sheeran
963,Don't Be Cruel,Cheap Trick
964,Don't Break The Heart That Loves You,Connie Francis
965,Don't Do Me Like That,Tom Petty and The Heartbreakers
966,Don't Fall In Love With A Dreamer,Kenny Rogers
967,Don't Forget About Us,Mariah Carey
968,Don't It Make My Brown Eyes Blue,Crystal Gayle
969,Don't Let Go,Isaac Hayes
970,Don't Let It End,Styx
971,Don't Let The Sun Catch You Crying,Gerry and The Pacemakers
972,Don't Let The Sun Go Down On Me,George Michael
973,Don't Lose My Number,Phil Collins
974,Don't Mean Nothing,Richard Marx
975,Don't Mess With My Man,Nivea
976,Don't Stand So Close To Me,Police
977,Dreams,Fleetwood Mac
978,Drive,Cars
979,Drop It Like It's Hot,Snoop Dogg
980,Every Kinda People,Robert Palmer
981,Every Little Step,Bobby Brown
982,Every Little Thing I Do,Soul For Real
983,Every Time I Close My Eyes,Babyface
984,Every Woman In The World,Air Supply
985,Everybody,Tommy Roe
986,Everybody Loves Me But You,Brenda Lee
987,Everyday Is A Winding Road,Sheryl Crow
988,Everything,Jody Watley
989,Everything I Own,Bread
990,Everything Your Heart Desires,Daryl Hall and John Oates
991,Evil Woman,Electric Light Orchestra
992,Ex-Factor,Lauryn Hill
993,Excuse Me Miss,Jay-Z
994,Express Yourself,Madonna
995,Every Heartbeat,Amy Grant
996,Every Day Of The Week,Jade
997,Every 1's A Winner,Hot Chocolate
998,Even The Nights Are Better,Air Supply
999,Drop it Like it's Hot,Snoop Dogg
1000,Drunk In Love,Beyonce
1001,Drunk On You,Luke Bryan
1002,Dust In The Wind,Kansas
1003,Easy,Commodores
1004,Easy To Be Hard,Three Dog Night
1005,Eight Days A Week,Beatles
1006,Doin It,LL Cool J
1007,Elastic Heart,Sia
1008,Emotional Rescue,Rolling Stones
1009,Endless Love,Luther Vandross
1010,Endless Summer Nights,Richard Marx
1011,Enjoy The Silence,Depeche Mode
1012,Eres Tu,Mocedades
1013,Escape,Enrique Iglesias
1014,Eternal Flame,Bangles
1015,Elvira,Oak Ridge Boys
1016,Eye In The Sky,Alan Parsons Project
1017,Do it to It,Cherish
1018,Do You Remember,Jay Sean
1019,Daddy's Home,Jermaine Jackson
1020,Damn I Wish I Was Your Lover,Sophie B. Hawkins
1021,Damn!,YoungBloodZ
1022,Dance,Big Sean
1023,Dance Hall Days,Wang Chung
1024,Dance With Me,Orleans
1025,"Dance, Dance",Fall Out Boy
1026,Dancing On The Ceiling,Lionel Richie
1027,Danger,Mystikal
1028,Danger Zone,Kenny Loggins
1029,Dangerous,Roxette
1030,Dangerous,Kardinal Offishall
1031,Dani California,Red Hot Chili Peppers
1032,Daniel,Elton John
1033,Danny's Song,Anne Murray
1034,DJ Got Us Fallin' In Love,Usher
1035,Dark Lady,Cher
1036,Cut The Cake,Average White Band
1037,Cum On Feel The Noize,Quiet Riot
1038,Count On Me,Whitney Houston
1039,Cover Girl,New Kids On The Block
1040,Cover Me,Bruce Springsteen
1041,Coward Of The County,Kenny Rogers
1042,Crash My Party,Luke Bryan
1043,Crazy,Aerosmith
1044,Cruel Summer,Bananarama
1045,Cruel Summer,Ace Of Base
1046,Cry For Help,Rick Astley
1047,Cry For You,Jodeci
1048,Cry Me A River,Justin Timberlake
1049,Cryin',Aerosmith
1050,Crying,Don Mclean
1051,Crying In The Rain,Everly Brothers
1052,Crying Time,Ray Charles
1053,Cupid,112
1054,Day 'n' Nite,Kid Cudi
1055,Day Dreaming,Aretha Franklin
1056,Daydream,Lovin' Spoonful
1057,Die Young,Ke$ha
1058,Differences,Ginuwine
1059,Dip It Low,Christina Milian
1060,Dirt,Florida Georgia Line
1061,Dirt Road Anthem,Jason Aldean
1062,Dirty Diana,Michael Jackson
1063,Dirty Laundry,Don Henley
1064,Dirty Little Secret,All-American Rejects
1065,Dirty Water,Standells
1066,Disco Inferno,Trammps
1067,Do I Have To Say The Words?,Bryan Adams
1068,Do It Again,Steely Dan
1069,Do You Believe In Love,Huey Lewis and The News
1070,Do You Believe In Us,Jon Secada
1071,Do You Remember,Phil Collins
1072,Did You Ever Have To Make Up Your Mind?,Lovin' Spoonful
1073,Did It In A Minute,Daryl Hall and John Oates
1074,Diary,Alicia Keys
1075,Diane,Bachelors
1076,Daydream Believer,Anne Murray
1077,Daylight,Maroon 5
1078,Days Of Wine And Roses,Henry Mancini
1079,Dazz,Brick
1080,Dear Future Husband,Meghan Trainor
1081,Dear Lady Twist,Gary U.S. Bonds
1082,December,Collective Soul
1083,Do You Want To Know A Secret,Beatles
1084,Deeper And Deeper,Madonna
1085,Denise,Randy
1086,Der Kommissar,After The Fire
1087,Desire,Andy Gibb
1088,Desire,U2
1089,Devil Inside,INXS
1090,Devil Woman,Cliff Richard
1091,Diamond Girl,Seals and Crofts
1092,Delilah,Tom Jones
1093,Count On Me,Jefferson Starship
1094,Eyes Without A Face,Billy Idol
1095,Fallin' For You,Colbie Caillat
1096,Gotham City,R. Kelly
1097,Gotta Be Somebody,Nickelback
1098,Gotta Get Thru This,Daniel Bedingfield
1099,Green River,Creedence Clearwater Revival
1100,Green Tambourine,Lemon Pipers
1101,Grind With Me,Pretty Ricky
1102,Groove Thang,Zhane
1103,Groovy Situation,Gene Chandler
1104,Guilty,Barbra Streisand
1105,Halo,Beyonce
1106,Handy Man,James Taylor
1107,Hang On In There Baby,Johnny Bristol
1108,Hangin' Tough,New Kids On The Block
1109,Happy,Ashanti
1110,Hard,Rihanna
1111,Got To Be Real,Cheryl Lynn
1112,Hard Habit To Break,Chicago
1113,Got Money,Lil Wayne
1114,Goodnight Tonight,Wings
1115,Golden Years,David Bowie
1116,Goldfinger,Shirley Bassey
1117,Gone Till November,Wyclef Jean
1118,"Gone, Gone, Gone",Phillip Phillips
1119,Good Enough,Bobby Brown
1120,Good For Me,Amy Grant
1121,Good For You,Selena Gomez
1122,Good Girl,Carrie Underwood
1123,Good Girls Go Bad,Cobra Starship
1124,Good Life,OneRepublic
1125,Good Morning Starshine,Oliver
1126,Good Thing,Fine Young Cannibals
1127,Good Time,Owl City
1128,Good Vibrations,Beach Boys
1129,Goodbye Yellow Brick Road,Elton John
1130,Goody Two Shoes,Adam Ant
1131,Hate It Or Love It,Game
1132,Hate That I Love You,Rihanna
1133,Hats Off To Larry,Del Shannon
1134,Heaven,Bryan Adams
1135,Heaven,DJ Sammy
1136,Heaven,Los Lonely Boys
1137,Heaven Must Be Missing An Angel,Tavares
1138,Hell Yeah,Ginuwine
1139,Hello Again,Neil Diamond
1140,Hello Mary Lou,Ricky Nelson
1141,Help Me,Joni Mitchell
1142,Here And Now,Luther Vandross
1143,Here Comes The Rain Again,Eurythmics
1144,Here I Am,Al Green
1145,Here I Am,UB40
1146,Here We Are,Gloria Estefan
1147,Here We Go,C+C Music Factory
1148,Here You Come Again,Dolly Parton
1149,Heartbreaker,Mariah Carey
1150,Heart To Heart,Kenny Loggins
1151,Heart Full Of Soul,Yardbirds
1152,Heart Attack,Demi Lovato
1153,Have I Told You Lately,Rod Stewart
1154,Have You Never Been Mellow,Olivia Newton-John
1155,Have You Seen Her,M.C. Hammer
1156,Haven't Met You Yet,Michael Buble
1157,Having A Party,Sam Cooke
1158,Hazard,Richard Marx
1159,Hazy Shade Of Winter,Bangles
1160,Gold,John Stewart
1161,"He Ain't Heavy, He's My Brother",Hollies
1162,He Loves U Not,Dream
1163,He's The Greatest Dancer,Sister Sledge
1164,Head Over Heels,Tears For Fears
1165,Headsprung,LL Cool J
1166,Headstrong,Trapt
1167,Heard It All Before,Sunshine Anderson
1168,Heard It In A Love Song,Marshall Tucker Band
1169,He Can't Love U,Jagged Edge
1170,Fading Like A Flower,Roxette
1171,Go Now,Moody Blues
1172,Glory Days,Bruce Springsteen
1173,Fire Burning,Sean Kingston
1174,Fire Lake,Bob Seger
1175,Flex,Rich Homie Quan
1176,Fly Away,Lenny Kravitz
1177,Fly Like An Eagle,Steve Miller Band
1178,Fooled Around And Fell In Love,Elvin Bishop
1179,Foolish Little Girl,Shirelles
1180,For All We Know,Carpenters
1181,For The First Time,Script
1182,For What It's Worth,Buffalo Springfield
1183,For Your Love,Yardbirds
1184,Forever And For Always,Shania Twain
1185,Forever Your Girl,Paula Abdul
1186,Forget About Dre,Dr. Dre
1187,Fortunate,Maxwell
1188,Fire And Rain,James Taylor
1189,Found Out About You,Gin Blossoms
1190,Fire,Ohio Players
1191,Fiesta,R. Kelly
1192,Fame,Irene Cara
1193,Family Man,Daryl Hall and John Oates
1194,Let Me Love You Tonight,Pure Prairie League
1195,Far Away,Nickelback
1196,Fastlove,George Michael
1197,Father Figure,George Michael
1198,Feel Good Inc,Gorillaz
1199,Feel Like Makin' Love,Roberta Flack
1200,Feel Like Makin' Love,Bad Company
1201,Feel Me Flow,Naughty By Nature
1202,Feel So Close,Calvin Harris
1203,Feel This Moment,Pitbull
1204,Feelin' Stronger Every Day,Chicago
1205,Feels Like The First Time,Foreigner
1206,Ferry Cross The Mersey,Gerry and The Pacemakers
1207,Fill Me In,Craig David
1208,Free Fallin',Tom Petty
1209,Freek'n You,Jodeci
1210,Freeway Of Love,Aretha Franklin
1211,Gimme Some Lovin',Spencer Davis Group
1212,Gimme the Light,Sean Paul
1213,Gin And Juice,Snoop Doggy Dogg
1214,Girl Crush,Little Big Town
1215,Girl On Fire,Alicia Keys
1216,Girlfriend,Pebbles
1217,Gitarzan,Ray Stevens
1218,Give Me Just A Little More Time,Chairmen Of The Board
1219,Give Me Love,George Harrison
1220,Give Your Heart A Break,Demi Lovato
1221,Giving Him Something He Can Feel,En Vogue
1222,Giving It Up For Your Love,Delbert McClinton
1223,Giving You The Benefit,Pebbles
1224,Glad All Over,Dave Clark Five
1225,Gloria,Laura Branigan
1226,Gimme Little Sign,Brenton Wood
1227,Get Like Me,David Banner
1228,Get It Together,702
1229,Get It Poppin',Fat Joe
1230,Friend Of Mine,Kelly Price
1231,From This Moment On,Shania Twain
1232,Frontin',Pharrell Williams
1233,Frozen,Madonna
1234,Funky Broadway,Wilson Pickett
1235,Funky Cold Medina,Tone Loc
1236,G.D.F.R.,Flo Rida
1237,Go Jimmy Go,Jimmy Clanton
1238,G.H.E.T.T.O.U.T.,Changing Faces
1239,Game Over,Lil' Flip
1240,Games People Play,Alan Parsons Project
1241,Georgy Girl,Seekers
1242,Get Back,Beatles
1243,Get Down,Gilbert O'Sullivan
1244,Get Down Tonight,K.C. and The Sunshine Band
1245,Get It On Tonite,Montell Jordan
1246,Galveston,Glen Campbell
1247,Count Me In,Gary Lewis and The Playboys
1248,Couldn't Get It Right,Climax Blues Band
1249,Could It Be Magic,Barry Manilow
1250,Anyone Who Had A Heart,Dionne Warwick
1251,Anything,3t
1252,Anytime You Need A Friend,Mariah Carey
1253,Anywhere,112
1254,Applause,Lady Gaga
1255,Are You Jimmy Ray?,Jimmy Ray
1256,Ariel,Dean Friedman
1257,Armageddon It,Def Leppard
1258,Around The Way Girl,LL Cool J
1259,Arthur's Theme,Christopher Cross
1260,As I Lay Me Down,Sophie B. Hawkins
1261,As Long as You Love Me,Justin Bieber
1262,Ass Back Home,Gym Class Heroes
1263,At Your Best,Aaliyah
1264,Automatic,Pointer Sisters
1265,Anticipation,Carly Simon
1266,Baby,Brook Benton
1267,Another Sad Love Song,Toni Braxton
1268,Animals,Martin Garrix
1269,Always,Erasure
1270,Amanda,Boston
1271,Amazing,Aerosmith
1272,America,Neil Diamond
1273,American Kids,Kenny Chesney
1274,Among My Souvenirs,Connie Francis
1275,An Everlasting Love,Andy Gibb
1276,An Innocent Man,Billy Joel
1277,Anaconda,Nicki Minaj
1278,Angel,Aerosmith
1279,Angel,Jon Secada
1280,Angel Eyes,Jeff Healey Band
1281,Angie Baby,Helen Reddy
1282,Animal,Neon Trees
1283,Animals,Maroon 5
1284,Annie's Song,John Denver
1285,Baby,Brandy
1286,Baby,Justin Bieber
1287,Baby Don't Forget My Number,Milli Vanilli
1288,Bad Medicine,Bon Jovi
1289,Bad Moon Rising,Creedence Clearwater Revival
1290,Bad Time,Grand Funk
1291,Bag Lady,Erykah Badu
1292,Bailamos,Enrique Iglesias
1293,Bailando,Enrique Iglesias
1294,Baker Street,Gerry Rafferty
1295,Ball Of Confusion,Temptations
1296,Bang A Gong,T. Rex
1297,Bang Bang,Cher
1298,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
1299,Barracuda,Heart
1300,Bartender,T-Pain
1301,Battlefield,Jordin Sparks
1302,Be My Baby,Ronettes
1303,Bad Boys,Inner Circle
1304,Bad,Wale
1305,Bad,Michael Jackson
1306,Back and Forth,Aaliyah
1307,Baby Don't Go,Sonny and Cher
1308,Baby Hold On,Eddie Money
1309,Baby I Love You,Aretha Franklin
1310,Baby I Need Your Loving,Four Tops
1311,Baby I'm Yours,Shai
1312,Baby It's You,Shirelles
1313,Baby Love,Supremes
1314,Alright,Janet Jackson
1315,Baby Workout,Jackie Wilson
1316,Back 2 Good,Matchbox 20
1317,Back For Good,Take That
1318,Back In My Arms Again,Supremes
1319,Back In Time,Pitbull
1320,Back On The Chain Gang,Pretenders
1321,Back Stabbers,O'Jays
1322,Back To December,Taylor Swift
1323,"Baby, I Love You",Andy Kim
1324,Be With You,Enrique Iglesias
1325,Already Gone,Kelly Clarkson
1326,Allentown,Billy Joel
1327,3,Britney Spears
1328,3 A.M. Eternal,KLF
1329,4 Minutes,Madonna
1330,6 Foot 7 Foot,Lil Wayne
1331,7 Days,Craig David
1332,99 Luftballons,Nena
1333,A Boy Named Sue,Johnny Cash
1334,A Cowboy's Work Is Never Done,Sonny and Cher
1335,A Groovy Kind Of Love,Phil Collins
1336,A Horse With No Name,America
1337,A Little Bit More,Dr. Hook
1338,A Little Bitty Tear,Burl Ives
1339,A Little In Love,Cliff Richard
1340,A Milli,Lil Wayne
1341,A Moment Like This,Kelly Clarkson
1342,25 Or 6 To 4,Chicago
1343,A Sky Full Of Stars,Coldplay
1344,22,Taylor Swift
1345,19th Nervous Breakdown,Rolling Stones
1346,(I Just) Died In Your Arms,Cutting Crew
1347,(I Know) I'm Losing You,Rare Earth
1348,(I've Been) Searchin' So Long,Chicago
1349,(Keep Feeling) Fascination,Human League
1350,(Marie's The Name) His Latest Flame,Elvis Presley
1351,(Our Love) Don't Throw It All Away,Andy Gibb
1352,"(Shake, Shake, Shake) Shake Your Booty",K.C. and The Sunshine Band
1353,(Theme From) Valley Of The Dolls,Dionne Warwick
1354,(When You Gonna) Give It Up To Me,Sean Paul
1355,(You're The) Devil In Disguise,Elvis Presley
1356,(You're) Having My Baby,Paul Anka
1357,(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson
1358,1 Thing,Amerie
1359,18 And Life,Skid Row
1360,1979,Smashing Pumpkins
1361,2 Become 1,Spice Girls
1362,A Song For Mama,Boyz II Men
1363,A Summer Song,Chad and Jeremy
1364,A Whiter Shade Of Pale,Procol Harum
1365,All By Myself,Celine Dion
1366,All Day And All Of The Night,Kinks
1367,All Eyes On You,Meek Mill
1368,All Falls Down,Kanye West
1369,All For You,Sister Hazel
1370,All I Have To Give,Backstreet Boys
1371,All Night Long,Faith Evans
1372,All Of The Lights,Kanye West
1373,All Out Of Love,Air Supply
1374,All Right,Christopher Cross
1375,All The Right Moves,OneRepublic
1376,All The Small Things,Blink 182
1377,All Those Years Ago,George Harrison
1378,All Through The Night,Cyndi Lauper
1379,All You Need Is Love,Beatles
1380,All By Myself,Eric Carmen
1381,Alfie,Dionne Warwick
1382,Alejandro,Lady Gaga
1383,Ain't no Other Man,Christina Aguilera
1384,A Woman's Worth,Alicia Keys
1385,A World Without Love,Peter and Gordon
1386,According To You,Orianthi
1387,Addictive,Truth Hurts
1388,Adult Education,Daryl Hall and John Oates
1389,Affair Of The Heart,Rick Springfield
1390,After The Love Has Gone,"Earth, Wind and Fire"
1391,Almost Persuaded,David Houston
1392,After The Lovin',Engelbert Humperdinck
1393,Against The Wind,Bob Seger
1394,Ahab The Arab,Ray Stevens
1395,Ain't No Stoppin' Us Now,McFadden and Whitehead
1396,Ain't No Sunshine,Bill Withers
1397,Ain't No Woman,Four Tops
1398,Ain't Nothing Like The Real Thing,Marvin Gaye and Tammi Terrell
1399,Ain't Too Proud To Beg,Temptations
1400,After The Rain,Nelson
1401,Beautiful,Snoop Dogg
1402,Beautiful,Akon
1403,Beautiful Girls,Sean Kingston
1404,Can't You See,Total
1405,Can't You See That She's Mine,Dave Clark Five
1406,Candle In The Wind,Elton John
1407,Candy Rain,Soul For Real
1408,Car Wash,Rose Royce
1409,Caribbean Queen,Billy Ocean
1410,Carnival,Natalie Merchant
1411,Carrie Ann,Hollies
1412,Carry On Wayward Son,Kansas
1413,Carry Out,Timbaland
1414,Cast Your Fate To The Wind,Sounds Orchestral
1415,Cat's In The Cradle,Harry Chapin
1416,Catch My Breath,Kelly Clarkson
1417,Catch Us If You Can,Dave Clark Five
1418,Cater 2 U,Destiny's Child
1419,Can't We Try,Dan Hill
1420,Caught Up,Usher
1421,Can't Stop This Thing We Started,Bryan Adams
1422,Can't Let You Go,Fabolous
1423,Butterfly,Crazy Town
1424,C U When U Get There,Coolio
1425,Calendar Girl,Neil Sedaka
1426,California Girls,Beach Boys
1427,California Nights,Lesley Gore
1428,Calling All Angels,Train
1429,Can I Get A...,Jay-Z
1430,Can We Talk,Tevin Campbell
1431,Can't Believe It,T-Pain
1432,Can't Buy Me Love,Beatles
1433,Can't Fight the Moonlight,LeAnn Rimes
1434,Can't Get You Out Of My Head,Kylie Minogue
1435,Can't Help Falling In Love,Elvis Presley
1436,Can't Hold Us Down,Christina Aguilera
1437,Can't Let Go,Mariah Carey
1438,Can't Smile Without You,Barry Manilow
1439,Causing A Commotion,Madonna
1440,Centuries,Fall Out Boy
1441,Chain Gang,Sam Cooke
1442,Come On Over Baby,Christina Aguilera
1443,Come Sail Away,Styx
1444,Come To My Window,Melissa Etheridge
1445,Come With Me,Puff Daddy
1446,Comin' In And Out Of Your Life,Barbra Streisand
1447,Coming On Strong,Brenda Lee
1448,Coming Out Of The Dark,Gloria Estefan
1449,Conga,Miami Sound Machine
1450,Control,Janet Jackson
1451,Cool Change,Little River Band
1452,Cool For The Summer,Demi Lovato
1453,Cool It Now,New Edition
1454,Cool Kids,Echosmith
1455,Copacabana,Barry Manilow
1456,Could It Be I'm Falling In Love,Spinners
1457,Come Dancing,Kinks
1458,Come Back To Me,Janet Jackson
1459,Come And Get It,Badfinger
1460,Come A Little Bit Closer,Jay and The Americans
1461,Change Of Heart,Cyndi Lauper
1462,Cherish,Madonna
1463,China Girl,David Bowie
1464,Chuck E's In Love,Rickie Lee Jones
1465,Circus,Britney Spears
1466,Clair,Gilbert O'Sullivan
1467,Clarity,Zedd
1468,Butterflies,Michael Jackson
1469,Clean Up Woman,Betty Wright
1470,Climax,Usher
1471,Closer To Free,Bodeans
1472,Club Can't Handle Me,Flo Rida
1473,Clumsy,Fergie
1474,Cold As Ice,Foreigner
1475,Cold Rock A Party,Mc Lyte
1476,Collide,Howie Day
1477,Cleanin' out my Closet,Eminem
1478,Busted,Ray Charles
1479,Bust It Baby Part 2,Plies
1480,Bust A Move,Young M.C.
1481,Better Love Next Time,Dr. Hook
1482,Beyond The Sea,Bobby Darin
1483,Big Pimpin',Jay-Z
1484,Biggest Part Of Me,Ambrosia
1485,Billionaire,Travie McCoy
1486,Birthday Sex,Jeremih
1487,Bits And Pieces,Dave Clark Five
1488,Black And White,Three Dog Night
1489,Black And Yellow,Wiz Khalifa
1490,Black Balloon,Goo Goo Dolls
1491,Black Cat,Janet Jackson
1492,Black Widow,Iggy Azalea
1493,Blah Blah Blah,Ke$ha
1494,Blame It On The Bossa Nova,Eydie Gorme
1495,Bless You,Tony Orlando
1496,Better In Time,Leona Lewis
1497,Better Be Good To Me,Tina Turner
1498,Best Thing That Ever Happened To Me,Gladys Knight and The Pips
1499,Best Song Ever,One Direction
1500,Beautiful Liar,Beyonce
1501,Beauty And A Beat,Justin Bieber
1502,Beauty Is Only Skin Deep,Temptations
1503,Because,Dave Clark Five
1504,Because Of Love,Janet Jackson
1505,Because Of You,98 Degrees
1506,Because Of You,Kelly Clarkson
1507,Blow,Ke$Ha
1508,Because Of You,Ne-Yo
1509,Because The Night,"10,000 Maniacs"
1510,Bed,J. Holiday
1511,Bed Of Roses,Bon Jovi
1512,Believe,Elton John
1513,Berzerk,Eminem
1514,Best Day Of My Life,American Authors
1515,Best Of You,Foo Fighters
1516,Because The Night,Patti Smith
1517,Hero,Chad Kroeger
1518,Blowing Kisses In The Wind,Paula Abdul
1519,Blue,Eiffel 65
1520,Break It To Me Gently,Brenda Lee
1521,Breakdance,Irene Cara
1522,Breakeven,Script
1523,Breakfast At Tiffany's,Deep Blue Something
1524,Breakin' My Heart,Mint Condition
1525,Breakout,Swing Out Sister
1526,Bring The Boys Home,Freda Payne
1527,Brown Eyed Girl,Van Morrison
1528,Buffalo Stance,Neneh Cherry
1529,Building A Mystery,Sarah McLachlan
1530,Burn,Ellie Goulding
1531,Burnin' It Down,Jason Aldean
1532,Burnin' Up,Jonas Brothers
1533,Burning Love,Elvis Presley
1534,Bus Stop,Hollies
1535,Break Free,Ariana Grande
1536,Brave,Sara Bareilles
1537,Brass In Pocket,Pretenders
1538,Boys 'Round Here,Blake Shelton
1539,Blue Bayou,Linda Ronstadt
1540,Blue Eyes,Elton John
1541,Blue On Blue,Bobby Vinton
1542,Boogie Down,Eddie Kendricks
1543,Boogie On Reggae Woman,Stevie Wonder
1544,Boogie Wonderland,"Earth, Wind and Fire"
1545,Boom Clap,Charli XCX
1546,Blown Away,Carrie Underwood
1547,Bootylicious,Destiny's Child
1548,Born To Be My Baby,Bon Jovi
1549,Born To Be Wild,Steppenwolf
1550,Bossy,Kelis
