playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
1uebWA75dLHSkk7XavGMaB,Sweet Love,3W7sJgfcVgR3ifmFxid141,https://p.scdn.co/mp3-preview/7bb0b9654efe9aab76f34449317fe6f7adf82bd4?cid=961d9cfe0e7c426da68d7932c2693fc9,1975-01-01,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.582,0.531,-8.344,0.0367,0.168,4.23e-05,0.0609,0.393,101.131,1,1,393561,45.0
1uebWA75dLHSkk7XavGMaB,Oh No,5bjiDFv7HI3nZExJ7wYFxT,https://p.scdn.co/mp3-preview/e9f161e3c46096465bffa6aa9c075d7936a460d9?cid=961d9cfe0e7c426da68d7932c2693fc9,2023-09-22,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.447,0.305,-11.351,0.0265,0.595,2.47e-06,0.247,0.438,171.459,8,1,183800,1.0
1uebWA75dLHSkk7XavGMaB,Lady (You Bring Me Up),3EEkPNbYM1KwBEJQu8XnH5,https://p.scdn.co/mp3-preview/b58bc8024c98087cb30c8bc334621dbd7e27a301?cid=961d9cfe0e7c426da68d7932c2693fc9,2023-10-06,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.819,0.789,-5.245,0.0315,0.134,9.93e-05,0.0917,0.896,121.03,0,0,290107,0.0
1uebWA75dLHSkk7XavGMaB,Mama,5htJrzx9BOWrWWuTFRbehY,https://p.scdn.co/mp3-preview/181219186b0e6909858aee3e05262ab495da997e?cid=961d9cfe0e7c426da68d7932c2693fc9,1959-11-01,"['adult standards', 'brill building pop', 'easy listening', 'rock-and-roll', 'rockabilly']",0.271,0.208,-11.22,0.0314,0.9,0.000107,0.334,0.112,87.551,0,1,237867,27.0
1uebWA75dLHSkk7XavGMaB,Among My Souvenirs,7uOJqs56WHDFrxQkEfVX3F,https://p.scdn.co/mp3-preview/c495a37ae7ac21b6b3f7e0a67412490dd836641e?cid=961d9cfe0e7c426da68d7932c2693fc9,1996-01-01,"['adult standards', 'brill building pop', 'easy listening', 'rock-and-roll', 'rockabilly']",0.48,0.399,-6.954,0.0268,0.456,8.52e-06,0.136,0.582,108.934,9,1,149867,38.0
1uebWA75dLHSkk7XavGMaB,Don't Break The Heart That Loves You,2fAB9BufYdc9AJLE6BusXP,https://p.scdn.co/mp3-preview/ae96bff3102d8ab34402a0fed29bbd61de873e0c?cid=961d9cfe0e7c426da68d7932c2693fc9,1962-04-10,"['adult standards', 'brill building pop', 'easy listening', 'rock-and-roll', 'rockabilly']",0.4,0.419,-7.268,0.0321,0.856,0.0,0.269,0.219,73.711,8,1,186160,29.0
1uebWA75dLHSkk7XavGMaB,C U When U Get There,6uWez0py1zc17F7hjp7jIt,https://p.scdn.co/mp3-preview/a9932a71153aed62320252993719db60e32e3490?cid=961d9cfe0e7c426da68d7932c2693fc9,1997-08-26,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",0.76,0.585,-7.307,0.161,0.0102,0.000468,0.308,0.455,91.179,3,1,311040,55.0
1uebWA75dLHSkk7XavGMaB,Never Surrender,5U5p472hgeXUKvh0d8RL4K,https://p.scdn.co/mp3-preview/b1a2fa660578a9005237adef08ed5160208c3a4b?cid=961d9cfe0e7c426da68d7932c2693fc9,1985-01-01,"['album rock', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']",0.552,0.538,-11.085,0.0344,0.516,0.0,0.202,0.401,104.131,2,1,295000,49.0
1uebWA75dLHSkk7XavGMaB,Sunglasses At Night,1QbQL5m30YNvukitIqAnFG,https://p.scdn.co/mp3-preview/e19fd2ce5e1d1a90de12067d95a14c49723145f1?cid=961d9cfe0e7c426da68d7932c2693fc9,1992-01-01,"['album rock', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']",0.686,0.609,-11.469,0.0444,0.258,0.00015,0.113,0.719,127.736,10,0,320528,62.0
1uebWA75dLHSkk7XavGMaB,Indian Lake,5JaN7UNzRF91yL5cpFrOPF,https://p.scdn.co/mp3-preview/db836e99865bb8d0ae5efe55f3e69b83216460f3?cid=961d9cfe0e7c426da68d7932c2693fc9,1968-09-01,"['bubblegum pop', 'classic garage rock', 'merseybeat', 'underground power pop']",0.695,0.652,-9.051,0.0316,0.074,6.89e-05,0.0787,0.962,131.857,7,1,163547,41.0
1uebWA75dLHSkk7XavGMaB,The Rain The Park And Other Things,5Ozv6hQIj20iX3nFfJCe8E,https://p.scdn.co/mp3-preview/58a92fa63c421d39737f1dc9cb3736738f6a2714?cid=961d9cfe0e7c426da68d7932c2693fc9,1967-10-01,"['bubblegum pop', 'classic garage rock', 'merseybeat', 'underground power pop']",0.376,0.662,-8.771,0.0404,0.809,0.00131,0.683,0.691,131.582,11,1,184240,54.0
1uebWA75dLHSkk7XavGMaB,Fill Me In,0UzsDmdpw0Q14KU4hieQss,https://p.scdn.co/mp3-preview/60bb50be729d1b1f0065fad3dd105836c4db2afa?cid=961d9cfe0e7c426da68d7932c2693fc9,2000-08-14,"['british soul', 'talent show']",0.682,0.744,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493,8,1,257200,62.0
