lyrics,tags,num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,sentiment,title,f_k_grade,artist,difficult_words,num_dupes
"In 1814 we took a little trip
Along with Colonel Jackson down the mighty Mississip
We took a little bacon and we took a little beans
And we caught the bloody British in the town of New Orleans

We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

We looked down the river and we seen the British come
And there must have been a hunnerd of 'em beatin on the drum
They stepped so high and they made their bugles ring
We stood beside our cotton bales 'n' didn't say a thing

We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

Old Hickory said we could take 'em by surprise
If we didn't fire our muskets till we looked 'em in the eye
We held our fire 'till we seed their faces well
Then we opened up the squirrel guns and really gave em
Well we

Fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

Yeah they ran through the briars and they ran through the brambles
And they ran through the bushes where a rabbit couldn't go
They ran so fast that the hounds couldn't catch 'em
On down the Mississippi to the Gulf of Mexico

We fired our cannon till the barrel melted down
So we grabbed an alligator and we fought another round
We filled his head with cannonballs and powered his behind
And when we touched the powder off the gator lost his mind

We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

Yeah they ran through the briars and they ran through the brambles
And they ran through the bushes where a rabbit couldn't go
They ran so fast that the hounds couldn't catch 'em
On down the Mississippi to the Gulf of Mexico

Hup, 2, 3, 4
Sound off, 3, 4
Hup, 2, 3, 4
Sound off, 3, 4
Hup, 2, 3, 4
Sound off, 3, 4","['american', 'country', 'death by automobile', 'greatest hits']",511.2,1,1959,5.6,96.18,428,46,"{'neg': 0.088, 'neu': 0.878, 'pos': 0.033, 'compound': -0.9815}",The Battle Of New Orleans,2.1,Johnny Horton,35,29
"Oh, the shark, babe, has such teeth, dear
And he shows them pearly white
Just a jackknife has old Macheath, babe
And he keeps it out of sight

You know when that shark bites with his teeth, babe
Scarlet billows start to spread
Fancy gloves, though, wears old Macheath, babe
So there's never, never a trace of red

Now on the sidewalk, ooh, sunny morning, uh-huh
Lies a body just oozin' life
Eek, and someone's sneakin' 'round the corner
Could that someone be Mack the Knife?

There's a tugboat down by the river, don't ya know
Where a cement bag's just a-droopin' on down
Oh, that cement is just, it's there for the weight, dear
Five'll get ya ten, old Macky's back in town

Now d'ya hear about Louie Miller? He disappeared, babe
After drawin' out all his hard-earned cash
And now Macheath spends just like a sailor
Could it be our boy's done something rash? 

Now Jenny Diver, ho, ho, yeah, Sukey Tawdry    
Ooh, Miss Lotte Lenya and old Lucy Brown
Oh, the line forms on the right, babe
Now that Macky's back in town

I said Jenny Diver, whoa, Sukey Tawdry
Look out to Miss Lotte Lenya and old Lucy Brown
Yes, that line forms on the right, babe
Now that Macky's back in town

Look out ol' Macky's back","['big band', 'brill building', 'death by blood poisoning', 'easy listening soundtracks and musicals', 'folk', 'pop', 'rock', 'rock & roll', 'rock and roll', 'standards', 'teen pop', 'traditional pop']",273.6,2,1959,4.800000000000001,98.21,222,30,"{'neg': 0.046, 'neu': 0.885, 'pos': 0.069, 'compound': 0.7461}",Mack The Knife,1.3,Bobby Darin,38,7
"I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think of
But all I want 
Is someone to love

Someone, yes someone to love
Someone to kiss
Someone to hold
At a moment like this

I'd like to hear
Somebody say
I'll give you my love
Each night and day

I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think of
But all I want 
Is someone to love

Somebody, somebody, somebody, please
Send her to me
I'll make her happy
Just wait and see

I've prayed so hard
To the heavens above
That I might find
Someone to love

I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything","['canadian', 'easy listening soundtracks and musicals']",193.5,5,1959,3.2,85.35,140,36,"{'neg': 0.131, 'neu': 0.624, 'pos': 0.245, 'compound': 0.9717}",Lonely Boy,2.1,Paul Anka,12,21
"Every night I hope and pray
A dream lover will come my way
A girl to hold in my arms
And know the magic of her charms
Because I want a girl to call my own
I wanna dream lover
So I don't have to dream alone

Dream lover where are you
With a love oh so true
And a hand that I can hold
To feel you near as I grow old
Because I want a girl to call my own
I wanna dream lover
So I don't have to dream alone

Someday I don't know how
I hope she'll hear my plea
Some-way I don't know how
She'll bring her love to me

Dream lover until then
I'll go to sleep and dream again
That's the only thing to do
Until all my lover's dreams come true
Because I want a girl to call my own
I wanna dream lover
So I don't have to dream alone

Dream lover until then
I'll go to sleep and dream again
That's the only thing to do
Until all my lover's dreams come true
Because I want a girl to call my own
I wanna dream lover
So I don't have to dream alone
Please don't make me dream alone
I beg you don't make me dream alone
No I don't want to dream alone.....","['big band', 'brill building', 'death by blood poisoning', 'easy listening soundtracks and musicals', 'folk', 'pop', 'rock', 'rock & roll', 'rock and roll', 'standards', 'teen pop', 'traditional pop']",261.0,6,1959,4.4,99.23,224,35,"{'neg': 0.052000000000000005, 'neu': 0.539, 'pos': 0.40900000000000003, 'compound': 0.998}",Dream Lover,0.9,Bobby Darin,11,16
"Put your head on my shoulder 
Hold me in your arms,  baby 
Squeeze me oh so tight 
Show me that you love me too 

Put your lips next to mine, dear 
Won't you kiss me once, baby 
Just a kiss goodnight, maybe 
You and I will fall in love 

People say that love's a game 
A game you just can't win 
If there's a way 
I'll find it someday 
And then this fool will rush in 

Put your head on my shoulder 
Whisper in my ear, baby 
Words I want to hear 
Tell me, tell me that you love me too. 

Put your head on my shoulder 
Whisper in my ear, baby 
Words I want to hear, baby 
Put your head on....my...shoulder","['canadian', 'easy listening soundtracks and musicals']",135.0,12,1959,4.0,108.7,122,21,"{'neg': 0.083, 'neu': 0.784, 'pos': 0.133, 'compound': 0.771}",Put Your Head On My Shoulder,-0.7000000000000001,Paul Anka,8,6
"Oh, Donna
Oh, Donna
Oh, Donna
Oh, Donna

I had a girl
Donna was her name
Since she left me
I've never been the same

'Cause I love my girl
Donna, where can you be?
Where can you be?

Now that you're gone
I'm left all alone
All by myself
To wander and roam

'Cause I love my girl
Donna, where can you be?
Where can you be?

Oh, darlin', now that you're gone
I don't know what I'll do
All the time and all my love
For you

I had a girl
Donna was her name
Since she left me
I've never been the same

'Cause I love my girl
Donna, where can you be?
Where can you be?

Oh, Donna
Oh, Donna
Oh, Donna
Oh, Donna","['death by airplane', 'rock & roll', 'tex-mex']",156.6,14,1959,4.0,100.24,128,24,"{'neg': 0.015, 'neu': 0.853, 'pos': 0.132, 'compound': 0.9569000000000001}",Donna,0.5,Ritchie Valens,7,24
"They asked me how I knew
My true love was true
Oh, I of course replied
Something here inside 
Cannot be denied

They said someday you'll find
All who love are blind
Oh, when your heart's on fire
You must realize
Smoke gets in your eyes

So I chaffed them and I gaily laughed
To think they could doubt my love
Yet today my love has flown away
I am without my love

Now laughing friends deride
Tears I cannot hide
Oh, so I smile and say
When a lovely flame dies
Smoke gets in your eyes
(Smoke gets in your eyes, smoke gets in your eyes)
Smoke gets in your eyes",['easy listening soundtracks and musicals'],137.7,16,1959,4.0,100.24,112,21,"{'neg': 0.101, 'neu': 0.592, 'pos': 0.307, 'compound': 0.9855}",Smoke Gets In Your Eyes,0.5,Platters,13,4
"Fe-fe, fi-fi, fo-fo, fum
I smell smoke in the auditorium

Charlie Brown, Charlie Brown
He's a clown, that Charlie Brown
He's gonna get caught
Just you wait and see
(Why's everybody always pickin' on me)

That's him on his knees
I know that's him
Yellin' 7 come 11
Down in the boys' gym

Charlie Brown, Charlie Brown
He's a clown, that Charlie Brown
He's gonna get caught
Just you wait and see
(Why's everybody always pickin' on me)

Who's always writing on the wall
Who's always goofing in the hall
Who's always throwing spit balls
Guess who (who, me) yeah, you

Who walks in the classroom, cool and slow
Who calls the English teacher, Daddy-O

Charlie Brown, Charlie Brown
He's a clown, that Charlie Brown
He's gonna get caught
Just you wait and see
(Why's everybody always pickin' on me)

Who walks in the classroom, cool and slow
Who calls the English teacher, Daddy-O

Charlie Brown, Charlie Brown
He's a clown, that Charlie Brown
He's gonna get caught
Just you wait and see
(Why's everybody always pickin' on me)","['american', 'rhythm and blues', 'rock', 'rock and roll']",215.1,17,1959,4.0,100.24,179,34,"{'neg': 0.0, 'neu': 0.961, 'pos': 0.039, 'compound': 0.7003}",Charlie Brown,0.5,Coasters,11,24
"Someday, someway
You'll realize that you've been blind
Yes, darling, you're going to need me again
It's just a matter of time

Go on, go on
Until you reach the end of the line
But I know you'll pass my way again
It's just a matter of time

After I gave you everything I had
You laughed and called me a clown
Remember, in your search for fortune and fame
What goes up must come down

I know, I know
That one day, you'll wake up and find
That my love was a true love
It's just a matter of time",['classic pop and rock'],122.4,27,1959,4.4,99.23,101,15,"{'neg': 0.025, 'neu': 0.72, 'pos': 0.255, 'compound': 0.9694}",It's Just A Matter Of Time,0.9,Brook Benton,10,4
"(yeah, yeah, yeah, yeah, yeah, yeah)
(yeah, yeah, yeah, yeah, yeah, yeah)

When you left me all alone at the record hop
Told me you were goin' out for a soda pop
You were gone for quite a while, half an hour or more
You came back and man oh man this is what I saw

Lipstick on you collar, told a tale on you
Lipstick on you collar, said you were untrue
Bet your bottom dollar, you and I are through
Cause, lipstick on you collar told a tale on you, yeah

You said it belonged to me, made me stop and think
Then I noticed yours was red, mine was baby pink
Who walked in but Mary Jane, lipstick all a mess
Were you smoochin' my best friend, yes, he answered, yes

Lipstick on you collar, told a tale on you
Lipstick on you collar, said you were untrue
Bet your bottom dollar, you and I are through
Cause, lipstick on you collar told a tale on you, boy 

Told a tale on you, man
Told a tale on you, yeah","['american', 'pop']",215.1,28,1959,5.6,96.18,183,20,"{'neg': 0.033, 'neu': 0.79, 'pos': 0.178, 'compound': 0.9752000000000001}",Lipstick On Your Collar,2.1,Connie Francis,12,8
