lyrics,tags,num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,sentiment,title,f_k_grade,artist,difficult_words,num_dupes
"(After love, after love, after love, after love
After love, after love, after love, after love
After love, after love, after love, after love
After love)

No matter how hard I try
You keep pushing me aside
And I can't break through
There's no talking to you

It's so sad that you're leaving
It takes time to believe it
But after all is said and done
You're gonna be the lonely one, oh

Do you believe in life after love? (After love, after love, after love)
I can feel something inside me say
I really don't think you're strong enough, no

Do you believe in life after love? (After love, after love, after love)
I can feel something inside me say
I really don't think you're strong enough, no

What am I supposed to do?
Sit around and wait for you
Well, I can't do that
And there's no turning back

I need time to move on
I need a love to feel strong
'Cause I've had time to think it through
And maybe I'm too good for you, oh

Do you believe in life after love? (After love, after love, after love)
I can feel something inside me say
I really don't think you're strong enough, no

Do you believe in life after love? (After love, after love, after love)
I can feel something inside me say
I really don't think you're strong enough, no

Well, I know that I'll get through this
'Cause I know that I am strong

And I don't need you anymore
Oh, I don't need you anymore
Oh, I don't need you anymore
No, I don't need you anymore

Do you believe in life after love? (After love, after love, after love)
I can feel something inside me say
I really don't think you're strong enough, no

Do you believe in life after love? (After love, after love, after love)
I can feel something inside me say
I really don't think you're strong enough, no

Do you believe in life after love? (After love, after love, after love)
I can feel something inside me say
I really don't think you're strong enough, no

Do you believe in life after love? (After love, after love, after love)
I can feel something inside me say
I really don't think you're strong enough, no","['american', 'aor', 'baroque pop', 'classic pop and rock', 'dance', 'dance-pop', 'disco', 'folk', 'folk pop', 'pop', 'pop rock', 'rnb', 'rock']",540.9,1,1999,4.4,82.31,387,57,"{'neg': 0.11900000000000001, 'neu': 0.5630000000000001, 'pos': 0.318, 'compound': 0.999}",Believe,3.3,Cher,14,36
"This is the heartbreak hotel
This is the heartbreak hotel
This is the heartbreak hotel
This is the heartbreak hotel

You said that you'd be here by nine
Instead you took your time
You didn't think to call me, boy
Here I sit 
Trying not to cry
Asking myself why 
You do this to me

Since you're not around for me to tell you baby face to face
I'm writing you this letter, and this is what I have to say:oooh (babe)
All I really wanted was some of your time
Instead you told me lies
When someone else was on your mind
What do you do to me
Look what you did to me
I thought that you were someone who would do me right
Until you played with my emotions and you made me cry
What you do to me
Can't take what you did to me

Now I see that you been doing wrong
You played me all along
And made a fool of me, baby
You got it all wrong to think that I wouldn't find out
That you were cheating on me, baby 
How could you do it to me?

Since you're not around for me to tell you baby face to face
I'm writing you this letter, and this is what I have to say:
All I really wanted was some of your time
Instead you told me lies
When someone else was on your mind
What do you do to me
Look what you did to me
I thought that you were someone who would do me right
Until you played with my emotions and you made me cry
What you do to me
Can't take what you did to me

Heartbreak hotel
This is the heartbreak hotel
This is the heartbreak hotel
This is the heartbreak hotel
This is the heartbreak hotel
This is the heartbreak hotel
This is the heartbreak hotel

All I really wanted was some of your time
Instead you told me lies
When someone else was on your mind
What you do to me
Look what you did to me
I thought that you were someone who would do me right
Until you played with my emotions and you made me cry
What you do to me
Can't take what you did to me

All I really wanted was some of your time
Instead you told me lies
When someone else was on your mind
What you do to me
Look what you did to me
I thought that you were someone who would do me right
Until you played with my emotions and you made me cry
What you do to me
Can't take what you did to me

I ain't goin' take it no more
I ain't goin' take it no more
I ain't goin' take it no more
I ain't goin' take it no more

Everything that you said was a lie
Don't lie to me","['adult contemporary', 'contemporary r&b', 'dance-pop', 'death by drowning', 'new jack swing', 'o happy day', 'pop', 'pop soul', 'r&b', 'soul and reggae']",557.1,4,1999,4.800000000000001,106.67,491,69,"{'neg': 0.137, 'neu': 0.8170000000000001, 'pos': 0.046, 'compound': -0.9941000000000001}",Heartbreak Hotel,0.1,Whitney Houston,14,48
"Oh, baby, baby
Oh, baby, baby

Oh, baby, baby, how was I supposed to know
That something wasn't right here?
Oh, baby, baby, I shouldn't have let you go
And now you're out of sight, yeah

Show me how you want it to be
Tell me, baby, 'cause I need to know now, oh, because

My loneliness is killing me (and I)
I must confess I still believe (still believe)
When I'm not with you I lose my mind, give me a sign
Hit me, baby, one more time

Oh, baby, baby, the reason I breathe is you
Boy you got me blinded
Oh, pretty baby, there's nothing that I wouldn't do
It's not the way I planned it

Show me how you want it to be
Tell me, baby, 'cause I need to know now, oh, because

My loneliness is killing me (and I)
I must confess I still believe (still believe)
When I'm not with you I lose my mind, give me a sign
Hit me, baby, one more time

Oh, baby, baby
Oh
Oh, baby, baby
Yeaheaheah

Oh, baby, baby, how was I supposed to know?
Oh, pretty baby, I shouldn't have let you go

I must confess that my loneliness is killing me now
Don't you know know I still believe?
That you will be here and give me a sign
Hit me, baby, one more time

My loneliness is killing me (and I)
I must confess I still believe (still believe)
When I'm not with you I lose my mind, give me a sign
Hit me, baby, one more time

I must confess (my loneliness) that my loneliness
(Is killing me) Is killing me now (I must confess)
Don't you know I still believe
That you will be here (when I'm not with you I lose my mind), give me a sign
Hit me, baby, one more time","['american', 'américain', 'dance', 'dance-pop', 'electropop', 'if you seek amy', 'pop', 'pop and chart', 'urban pop', 'usa']",391.5,5,1999,5.2,88.74,313,39,"{'neg': 0.126, 'neu': 0.812, 'pos': 0.062, 'compound': -0.9792000000000001}",...Baby One More Time,2.9,Britney Spears,17,25
"Kiss me, out of the bearded barley
Nightly, beside the green, green grass
Swing, swing, swing the spinning step
You wear those shoes and I will wear that dress

Oh, kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand
Strike up the band and make the fireflies dance
Silver moon's sparkling, so kiss me

Kiss me down by the broken treehouse
Swing me upon its hanging tire
Bring, bring, bring your flowered hat
We'll take the trail marked on your father's map

Oh, kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand
Strike up the band and make the fireflies dance
Silver moon's sparkling, so kiss me

Kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hair
Strike up the band and make the fireflies dance
Silver moon's sparkling, so kiss me

So kiss me
So kiss me
So kiss me
So kiss me","['american', 'classic pop and rock', 'contemporary christian', 'pop', 'rock']",198.0,6,1999,4.4,99.23,167,27,"{'neg': 0.038, 'neu': 0.728, 'pos': 0.234, 'compound': 0.9891000000000001}",Kiss Me,0.9,Sixpence None The Richer,15,15
"I feel like I've been locked up tight
For a century of lonely nights
Waiting for someone to release me

You're licking your lips and blowing kisses my way
But that don't mean I'm gonna give it away
Baby, baby, baby

Ohohoho
My body's saying: ""Let's go""
Ohohoho
But my heart is saying: ""No""

If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle
You gotta rub me the right way

If you wanna be with me
I can make your wish come true
You gotta make a big impression (Oh yeah)
I gotta like what you do

I'm a genie in a bottle, baby
Gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come, come, come and let me out

The music's playing and the lights' down low
Just one more dance and then we're good to go
Waiting for someone who needs me

Hormones racing at the speed of a light
But that don't mean it's gotta be tonight
Baby, baby, baby

Ohohoho
My body's saying: ""Let's go""
Ohohoho
But my heart is saying: ""No""

If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (I'm a genie in a bottle)
You gotta rub me the right way

If you wanna be with me
I can make your wish come true
Just come and set me free, baby
And I'll be with you

I'm a genie in a bottle, baby
Gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come, come, come on and let me out

I'm a genie in a bottle, baby
Gotta rub me the right way, honey (If you wanna be with me)
I'm a genie in a bottle, baby
Come, come, come on and let me out

Ohohoho
My body's saying: ""Let's go""
Ohohoho
But my heart is saying: ""No""

If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle
You gotta rub me the right way

If you wanna be with me
I can make your wish come true
You gotta make a big impression
Gotta like what you do

If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle
You gotta rub me the right way

If you wanna be with me
I can make your wish come true
Just come and set me free
Baby, and I'll be with you

I'm a genie in a bottle, baby
Come, come, come on and let me out","['pop', 'pop and chart', 'rock']",534.6,7,1999,4.4,99.23,437,64,"{'neg': 0.024, 'neu': 0.866, 'pos': 0.111, 'compound': 0.9888}",Genie In A Bottle,0.9,Christina Aguilera,28,54
"Every morning there's a halo hangin'
From the corner of my girlfriend's four-post bed
I know it's not mine, but I'll see if I can use it
For the weekend or a one-night stand

Couldn't understand how to work it out
Once again, as predicted
Left my broken heart open
And you ripped it out

Something's got me reeling
Stopped me from believing
Turn me around again
Said that we can do it
You know I wanna do it again

(Sugar Ray say) Oh-whoa-oh
Every morning
Every morning when I wake up
(Shut the door, baby, don't say a word)
She always rights the wrongs
She always rights, she always rights
(Shut the door, baby, shut the door, baby)

Every morning there's a heartache hangin'
From the corner of my girlfriend's four-post bed
I know it's not mine, and I know she thinks she loves me
But I never can believe what she said

Something so deceiving
When you stop believing
Turn me around again
Said we couldn't do it
You know I wanna do it again

Oh-whoa-oh
Every morning
Every morning when I wake up
(Shut the door, baby, don't say a word)
Oh-whoa-oh
Every morning
Every morning when I wake up
(Shut the door, baby, shut the door, baby)

She always rights the wrongs for me, baby
She always rights the wrongs for me

Every morning there's a halo hangin'
From the corner of my girlfriend's four-post bed
I know it's not mine, but I'll see if I can use it
For the weekend or a one-night stand
(Shut the door, baby, don't say a word)

Every morning
Every morning when I wake up
(Shut the door, baby, shut the door, baby)
Every morning (Turn me around again)
Every morning
(Shut the door, baby, don't say a word)
Every morning (Do it again)
Every morning when I wake up
Every morning
(Shut the door, baby, shut the door, baby)
Every morning when I wake up",['classic pop and rock'],424.8,8,1999,4.4,90.77,327,47,"{'neg': 0.043000000000000003, 'neu': 0.9410000000000001, 'pos': 0.016, 'compound': -0.8138000000000001}",Every Morning,2.1,Sugar Ray,29,32
"She's into superstitions
Black cats and voodoo dolls
I feel a premonition
That girl's gonna make me fall

She's into new sensations
New kicks in the candlelight
She's got a new addiction
For every day and night

She'll make you take your clothes off
And go dancing in the rain
She'll make you live her crazy life
But she'll take away your pain
Like a bullet to your brain (come on)

Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca

Her lips are devil red
And her skin's the color of mocha
She will wear you out
Livin' la vida loca (come on)
Livin' la vida loca (come on)
She's livin' la vida loca

Wooh
Alright

Woke up in New York City
In a funky cheap hotel
She took my heart 
And she took my money
She must've slipped me a sleeping pill

She never drinks the water
Makes you order French champagne
Once you've had a taste of her
You'll never be the same
Yeah, she'll make you go insane (come on)

Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca

Her lips are devil red
And her skin's the color of mocha
She will wear you out
Livin' la vida loca (come on)
Livin' la vida loca
She's livin' la vida loca

Wooh

She'll make you take your clothes off
And go dancing in the rain
She'll make you live her crazy life
But she'll take away your pain
Like a bullet to your brain (come on)

Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca

Her lips are devil red
And her skin's the color of mocha
She will wear you out
Livin' la vida loca (come on)

Upside inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca

Her lips are devil red
And her skin's the color of mocha
She will wear you out
Livin' la vida loca (come on)
Livin' la vida loca (come on)
She's livin' la vida loca

Come on
Livin' la vida loca
Gotta love la vida loca
Gotta, gotta love la vie",['puerto rican'],492.3,10,1999,4.0,91.78,376,69,"{'neg': 0.082, 'neu': 0.869, 'pos': 0.049, 'compound': -0.936}",Livin' La Vida Loca,1.7000000000000002,Ricky Martin,27,52
"(Verse 1):
See he's my property
And any girl that touch him
I might just call you bluff
Coz I don't give a
Who? Oh, oh, are you to call my cell?
Oh, I'ma wish you well
'Cause any girl that's tried has failed

(Chorus):
Where my girls at
From the front to back
Well, is you feelin'that?
Put one hand up
Can you repeat that?
Tryin' to take my man see I don't need that
So don't play yourself

(Chorus):
Where my girls at
From the front to back
Well, is you feelin'that?
Put one hand up
Can you repeat that?
Tryin' to take my man see I don't need that
So don't play yourself

Hey, hey, hey, hey

(Verse 2):
Don't you violate me
Cause I'ma make you hate me
If you decide to mess with mine
Shrunk you down to size
Make you realize
You done messed up this time

(Chorus):
Where my girls at
From the front to back
Well, is you feelin'that?
Put one hand up
Can you repeat that?
Tryin' to take my man see I don't need that
So don't play yourself

(Bridge):
You must learn the rules
Don't come close to
Anythin' that belongs to me
He is mine, my property
So you must leave
Yeah

(Chorus):
Where my girls at
From the front to back
Well, is you feelin'that?
Put one hand up
Can you repeat that?
Tryin' to take my man see I don't need that
So don't play yourself",['hip hop rnb and dance hall'],286.2,11,1999,4.0,108.7,250,47,"{'neg': 0.124, 'neu': 0.811, 'pos': 0.066, 'compound': -0.9439000000000001}",Where My Girls At?,-0.7000000000000001,702,12,30
"If you had my love
And I gave you all my trust
Would you comfort me?
And if somehow you knew
That your love would be untrue
Would you lie to me
And call me baby?

Now if I give you me
This is how it's got to be
First of all, I won't take you cheating on me
Tell me who can I trust
If I can't trust in you
And I refuse to let you play me for a fool

You said that we
Could possibly
Spend eternity
See that's what you told me
That's what you said

But if you want me
You have to be
Fulfilling all my dreams
If you really want me, babe

If you had my love
And I gave you all my trust
Would you comfort me? Tell me, baby
And if somehow you knew
That your love would be untrue
Would you lie to me
And call me baby?

You said you want my love
And you've got to have it all
But first, there are some things you need to know
If you wanna live
With all I have to give
I need to feel true love or it's got to end, yeah

I don't want you
Trying to get with me
And I end up unhappy
I don't need the hurt
And I don't need the pain

So before I do
Give myself to you
I have to know the truth
If I spend my life with you

If you had my love
And I gave you all my trust
Would you comfort me?
What would you do babe, tell me right now

And if somehow you knew
That your love would be untrue
Would you lie to me
And call me baby?
Don't you lie to me

If you had my love
And I gave you all my trust
Would you comfort me (comfort me)
And if somehow you knew
That your love would be untrue
Would you lie to me
And call me baby?
Don't you dare lie to me, baby

Mmm, yeah
Ooh na, na, na
Ooh

If you had my love
And I gave you all my trust
Would you comfort me
And if somehow you knew
That your love would be untrue
Would you lie to me
And call me baby

If you had my love
And I gave you all my trust
Would you comfort me
What would you do if I gave it to you?

And if somehow you knew
That your love would be untrue
Would you lie to me
And call me baby","['dance', 'pop', 'pop and chart']",468.0,12,1999,4.0,108.7,433,76,"{'neg': 0.016, 'neu': 0.728, 'pos': 0.257, 'compound': 0.9989}",If You Had My Love,-0.7000000000000001,Jennifer Lopez,10,44
"Could you whisper in my ear
The things you want to feel?
I'll give you anything
To feel it comin'
Do you wake up on your own
And wonder where you are?
You live with all your faults

I want to wake up where you are
I won't say anything at all
So why don't you slide?

Yeah, we're gonna let it slide

Don't you love the life you'd kill?
The priest is on the phone
Your father hit the wall
Your ma disowned you
Don't suppose I'll ever know
What it means to be a man
If there's something I can't change
I'll live around it

I want to wake up where you are
I won't say anything at all
So why don't you slide?
Mm, slide

And I'll do anything you ever dreamed to be complete
Little pieces of the nothing that fall
Oh, May, put your arms around me
What you feel is what you are
And what you are is beautiful
Oh, May, do you wanna get married
Or run away?

Ooh
Ooh-hoo

And I'll do anything you ever dreamed to be complete
Little pieces of the nothing that fall
Oh, May, put your arms around me
What you feel is what you are
And what you are is beautiful
Oh, May, do you wanna get married
Or run away?

I want to wake up where you are
I won't say anything

(Yeah, slide)
And I'll do anything you ever dreamed to be complete
(Yeah, slide)
Little pieces of the nothing that fall

(Yeah, slide)
And I'll do anything you ever dreamed to be complete
(Yeah, slide)
Little pieces of the nothing that fall

(Yeah, slide)
Oh, May
Why don't you slide into my room?
Just slide into my room
And we'll run away, run away, run away",['classic pop and rock'],370.8,13,1999,4.4,99.23,302,45,"{'neg': 0.027, 'neu': 0.927, 'pos': 0.045, 'compound': 0.558}",Slide,0.9,Goo Goo Dolls,15,29
