lyrics,tags,num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,sentiment,title,f_k_grade,artist,difficult_words,num_dupes
"Mmm-mmm-mmm-mmm-mmm-mmm
Let me talk to 'em
Let me talk to 'em (let it rain)
Mmm-mmm-mmm-mmm-mmm-mmm
Let me talk to 'em
C'mon

Shawty had them apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

I ain't never seen none that'll make me go
This crazy all night, spending my dough
Had the million dollar vibe and a bottle to go
Them birthday cakes, they stole the show

So sexual, she was flexible
Professional, drinking X&O
Hold up, wait a minute
Do I see what I think I? Whoa

Did I think I've seen shawty get low
Ain't the same when it's up that close
Make it rain I'm making it snow
Work the pole I got the bank roll

I'm a say that I prefer them no clothes
I'm into that, I love women exposed
She threw it back at me I gave her mo'
Cash ain't a problem, I know where it goes

She had them apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Hey shawty, what I gotta do to get you home
My jeans filled with gwap and they're ready for show
It's Cadillacs, Maybach for the sexy grown
Patrón on the rocks that'll make you moan

One stack (come on), two stacks (come on), three stacks (come on)
Now that's three grand
What you think I'm playing baby girl I'm the man
I ain't dealing rubber bands

That's what I told her,
her legs on my shoulder,
I knew it was over
That Henny and Cola
got me like a soldier
She ready for rover,
I couldn't control her
So lucky on me, I was just like clover

Shawty was hot like a toaster
Sorry but I had to fold her
Like a pornography poster
She showed her

Apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Whoa shawty, yeah she was worth the money
Lil' mama took my cash
And I ain't want it back
The way she bent that back
Got all them paper stacks
Tattoo above her crack
I had to handle that

I was on it sexy woman
Let me show it, made me want it
Two in the morning, I'm zoned in
Them rosé bottles foaming

She wouldn't stop, made it drop
Shawty did that pop & lock
Had to break her off that gwap
Gal was fine, just like my glock

Apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Come on","['a filk artist', 'dance-pop', 'electro', 'electropop', 'hip hop', 'hip hop rnb and dance hall', 'hip house', 'pop rap', 'southern hip hop']",768.6,1,2008,4.4,107.69,709,102,"{'neg': 0.191, 'neu': 0.756, 'pos': 0.054, 'compound': -0.9973000000000001}",Low,-0.30000000000000004,Flo Rida,47,58
"Closed off from love, I didn't need the pain
Once or twice was enough and it was all in vain
Time starts to pass, before you know it you're frozen
But something happened for the very first time with you
My heart melted to the ground, found something true
And everyone's looking 'round, thinking I'm going crazy

But I don't care what they say, I'm in love with you
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
You cut me open and I

Keep bleeding, keep, keep bleeding love
I keep bleeding, I keep, keep bleeding love
Keep bleeding, keep, keep bleeding love
You cut me open

Trying hard not to hear, but they talk so loud
Their piercing sounds fill my ears, try to fill me with doubt
Yet I know that their goal is to keep me from falling, ooh yeah
But nothing's greater than the risk that comes with your embrace
And in this world of loneliness, I see your face
Yet everyone around me thinks that I'm going crazy
Maybe, maybe

But I don't care what they say, I'm in love with you
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
You cut me open and I

Keep bleeding, keep, keep bleeding love
I keep bleeding, I keep, keep bleeding love
Keep bleeding, keep, keep bleeding love
You cut me open

And it's draining all of me
Though they find it hard to believe
I'll be wearing these scars for everyone to see

I don't care what they say, I'm in love with you
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
Ooh, you cut me open and I

Keep bleeding, keep, keep bleeding love
I keep bleeding, I keep, keep bleeding love
Keep bleeding, keep, keep bleeding love
Oh, you cut me open and I

Keep bleeding, keep, keep bleeding love
I keep bleeding, I keep, keep bleeding love
Keep bleeding, keep, keep bleeding love
Ooh, you cut me open and I
Keep bleeding, keep, keep bleeding love, oh","['british', 'contemporary r&b', 'dance-pop', 'electropop', 'english', 'pop', 'pop and chart', 'uk', 'x factor']",441.9,2,2008,5.2,97.2,379,44,"{'neg': 0.117, 'neu': 0.664, 'pos': 0.219, 'compound': 0.9969}",Bleeding Love,1.7000000000000002,Leona Lewis,24,26
"I just want you close
Where you can stay forever
You can be sure
That it will only get better

You and me together through the days and nights
I don't worry 'cause everything's gonna be alright
People keep talking, they can say what they like
But all I know is everything's gonna be alright

No one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you
You, you
Can get in the way of what I feel for you

When the rain is pouring down
And my heart is hurting
You will always be around
This I know for certain

You and me together through the days and nights
I don't worry 'cause everything's gonna be alright
People keep talking, they can say what they like
But all I know is everything's gonna be alright

No one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you
You, you
Can get in the way of what I feel

I know some people search the world
To find something like what we have
I know people will try, try to divide something so real
So till the end of time I'm telling you

There ain't no one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you

Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh oh (oh) oh (oh) oh (oh) oh
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh oh (oh) oh (oh) oh (oh) oh

No no no oh oh","['alternative rock', 'american', 'contemporary r&b', 'film soundtrack', 'hip hop rnb and dance hall', 'neo soul', 'neo-soul', 'pianist', 'pop', 'pop rap', 'r&b', 'rnb', 'singer', 'soul']",357.3,3,2008,4.800000000000001,106.67,316,41,"{'neg': 0.14100000000000001, 'neu': 0.775, 'pos': 0.084, 'compound': -0.9431}",No One,0.1,Alicia Keys,13,26
"Uh huh, no homo
Young Mula baby

I say he so sweet, make her wanna lick the wrapper
So I let her lick the wrapper

She-she-she lick me like a lollipop (yeah)
She-she lick me like a lollipop, lollipop (yeah)
She-she-she lick me like a lollipop (yeah)
She-she lick me like a lollipop, lollipop

Shawty want a thug (yeah, yeah, yeah)
Bottles in the club (yeah, yeah, yeah)'
Shawty wanna hump (yeah, yeah)
You know I like to touch (yeah) your lovely lady lumps
She lick me like a wrapper

Shawty want a thug (she lick me like a, I like that)
Bottles in the club (I like that)
Shawty wanna hump (haha)
You know I like to touch your lovely lady lumps
(Come on, yeah)

Okay li'l mama had a swag like mine (yeah)
She even wear her hair down her back like mine (yeah)
I make her feel right when it's wrong like lyin' (yeah)
Man, she ain't never had a love like mine (yeah)

But man I ain't never seen an ass like hers (yeah)
That pussy in my mouth had me loss for words (yeah)
I told her back it up like berp berp (yeah)
And she made that ass jump like jerp jerp (yeah)
And that's when she

She-she-she lick me like a lollipop (oh yeah, I like that)
She-she lick me like a lollipop, lollipop (yeah, I like that)
She-she-she lick me like a lollipop (yeah, I like that)
She-she lick me like a lollipop (yeah, come on)

Shawty want a thug (shawty want a thug, yeah)
Bottles in the club (bottles in the club, yeah)
Shawty wanna hump (yeah)
You know I like to touch your lovely lady lumps 
(Yeah, shawty wanna, shawty wanna)

Shawty want a thug (I like that)
Bottles in the club (yeah I like that)
Shawty wanna hump
You know I like to touch (I like that) your lovely lady lumps (lumps)

Okay, up and ooh yeah back it up and stop, stop yeah
Drop it shawty yeah, drop it like it's, like it's hot
Oooh yeah dr-dr-dr-drop it like it's, like it's hot
Dr-dr-drop it (drop it), it don't stop

Shawty said the nigga that she with ain't shit (go)
Shawty said the nigga that she with ain't this (go)
Shawty said the nigga that she with can't hit (go)
Well shawty I'ma hit it-hit it (hit it-hit it) like I can't miss

And I can't do this (ugh) and I don't do that (ugh)
Shawty need a refund (ugh), need to bring that nigga back (ugh)
Just like a refund I make her bring that ass back (ugh)
And she bring that ass back because I like that

Shawty want a thug (yeah, yeah I like that)
Bottles in the club (yeah, yeah I like that)
Shawty wanna hump (yeah)
You know I like to touch (I like that) your lovely lady lumps (yeah)

Shawty wanna li-li-li-li-lick me like a lollipop
Shawty wanna li-li-li-li-lick me like a lollipop
Shawty wanna lick me like a lollipop
So I let her lick the wrapper like a lollipop

Shawty want a thug (shawty want a thug)
Bottles in the club (bottles in the club)
Shawty wanna hump (shawty wanna hump)
You know I like to touch (you know I like to touch) your lovely lady lumps (stat)

Call me so I can make it juicy for ya
Call-ca-call me so-so I can get it juicy for ya
Call-ca-call me so-so I can make it juicy for ya
Call-call me so-so I can get it juicy for ya

Call-call me (I say mmm) so-so I can make it juicy for ya
Call-call me (I say mmm) me so-so I can get it juicy for ya
Call-call me (I say mmm) me so-so I can make it juicy for ya
Call-call me (mmm) so-so I can get it juicy for ya

Shawty want a thug (yeah I like that)
Bottles in the club  (yeah I like that)
Shawty wanna hump
You know I like to touch your lovely lady lumps

I said shawty want a thug, yeah
Bottles in the club
Shawty wanna hump
You know I like to touch your lovely lady lumps

I get her on top (yeah), she drop it like it's hot (yeah)
And when I'm at the bottom (haha), she hit the ve' bottom
Through middle of the bed (yeah)
Gimme gettin' head (huh), gimme gettin' head (huh), gimme gettin' head (huh)
I say mmm (I like that), say mmm (yeah I like that)
I say mmm (yeah I like that), mmm (say)

Call me, so I can come and do it for ya
Call me, so I can come and prove it for ya
Call me, so I can make it juicy for ya
Call me, so I can get it juicy for ya

Shawty wanna li-li-li-li-lick me like a lollipop (haha)
(She-she lick me) like a lollipop
I say he so sweet, make her wanna lick the wrapper
But you do, so I let her lick the wrapper","['chopped and screwed', 'contemporary r&b', 'gangsta rap', 'hip hop', 'hip hop rnb and dance hall', 'lil wayne', 'pop rap', 'r&b', 'rap', 'rap rock', 'southern hip hop']",1004.4,4,2008,5.2,97.2,843,94,"{'neg': 0.024, 'neu': 0.717, 'pos': 0.258, 'compound': 0.9995}",Lollipop,1.7000000000000002,Lil Wayne,31,29
"I'm holding on your rope
Got me ten feet off the ground
And I'm hearin' what you say but I just can't make a sound
You tell me that you need me
Then you go and cut me down, but wait
You tell me that you're sorry
Didn't think I'd turn around, and say

That it's too late to apologize, it's too late
I said it's too late to apologize, it's too late

I'd take another chance, take a fall
Take a shot for you,
And I need you like a heart needs a beat
But it's nothing new

I loved you with a fire red
Now it's turning blue, and you say
""Sorry"" like the angel heaven let me think was you
But I'm afraid

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late
It's too late to apologize, yeah,
I said it's too late to apologize, yeah
I'm holdin' on your rope, got me ten feet off the ground","['contemporary r&b', 'dance-pop', 'electropop', 'hip hop rnb and dance hall', 'pop', 'pop rap', 'pop rock']",233.1,5,2008,4.800000000000001,98.21,188,24,"{'neg': 0.058, 'neu': 0.796, 'pos': 0.146, 'compound': 0.9124}",Apologize,1.3,Timbaland,10,7
"Tell me how I'm supposed to breathe with no air?
If I should die before I wake
It's cause you took my breath away
Losing you is like living in a world with no air, oh 

Chris Brown
I'm here alone, didn't wanna leave
My heart won't move, It's incomplete
If there was a way that I could make you understand

But how do you expect me to live alone with just me?
Cause my world revolves around you, it's so hard for me to breathe

Tell me how I'm supposed to breathe with no air?
Can't live, can't breathe with no air
It's how I feel whenever you ain't there
There's no air, no air

Got me out here in the water so deep
Tell me how you gonna breathe without me?
If you ain't here I just can't breathe
There's no air, no air

No air, air
No air, air
No air, air
No air, air

Chris Brown
I walked, I ran, I jumped, I flew
Right off the ground To float to you
With no gravity to hold me down for real

But somehow I'm still alive inside
You took my breath but I survived
I don't know how but I don't even care

So how do you expect me to live alone with just me?
Cause my world revolves around you, it's so hard for me to breathe

Tell me how I'm supposed to breathe with no air?
Can't live, can't breathe with no air
That's how I feel whenever you ain't there
There's no air, no air

Got me out here in the water, so deep
Tell me how you gonna breathe without me?
If you ain't here I just can't breathe
There's no air, no air

No air, air
No air, air
No air, air
No air, air

No more
Baby
There's no air, no air
No air, oh!

Tell me how I'm supposed to breathe with no air?
I can't live, I can't breathe with no air
That's how I feel whenever you ain't there
There's no air, no air

Got me out here in the water, so deep
Tell me how you gonna breathe without me?
If you ain't here I just can't breathe
There's no air, no air

Tell me how I'm supposed to breathe with no air?
I can't live, I can't breathe with no air
That's how I feel whenever you ain't there
There's no air, no air

Got me out here in the water, so deep
Tell me how you gonna breathe without me?
If you ain't here I just can't breathe
There's no air, no air

No air, air
No air, air
No air, air
No air","['american idol', 'hip hop rnb and dance hall', 'pop']",519.3,6,2008,4.800000000000001,98.21,450,62,"{'neg': 0.244, 'neu': 0.738, 'pos': 0.018000000000000002, 'compound': -0.9983000000000001}",No Air,1.3,Jordin Sparks,17,52
"Head under water
And they tell me
To breathe easy for a while
The breathing gets harder
Even I know that

You made room for me
But it's too soon to see
If I'm happy in your hands
I'm unusually hard to hold on to

Blank stares at blank pages
No easy way to say this
You mean well but you make this hard on me

I'm not gonna write you a love song
'Cause you ask for it
'Cause you need one
You see, I'm not gonna write you a love song
'Cause you tell me it's
Make or breakin' this if you're on your way
I'm not gonna write you to stay

If all you have is leavin'
I'ma need a better reason
To write you a love song today (Yeah)
Today, yeah

I learned the hard way
That they all say
Things you wanna hear
And my heavy heart
Sinks deep down under you and your twisted words
Your help just hurts
You are not what I thought you were
Hello to high and dry

Convinced me to please you
Made me think that I need this too
I'm tryin' to let you hear me as I am

I'm not gonna write you a love song
'Cause you ask for it
'Cause you need one
You see, I'm not gonna write you a love song
'Cause you tell me it's
Make or breakin' this if you're on your way
I'm not gonna write you to stay

If all you have is leavin'
I'ma need a better reason
To write you a love song today

Promise me (Ah, ah, ah)
That you'll leave the light on (Ah, ah, ah)
To help me see (Ah, ah, ah)
With daylight, my guide, gone (Ah, ah, ah)

'Cause I believe, there's a way (Ah, ah, ah)
You can love me because I say I won't write you a love song
'Cause you ask for it
'Cause you need one (Mhm)
You see, I'm not gonna write you a love song (ooh)
'Cause you tell me it's
Make or breakin' this

Is that why you wanted, a love song? (Yeah)
'Cause you asked for it
'Cause you need one
You see, I'm not gonna write you a love song (Write you a love song)
'Cause you tell me it's
Make or breakin' this
If you're on your way (Oh, oh)
I'm not gonna write you to stay

If your heart is nowhere in it
I don't want it for a minute (for a minute)
Babe, I'll walk the seven seas (the seven seas)
When I believe that there's a reason
To write you a love song today (write you a love song today)
Today, yeah",['classic pop and rock'],530.1,7,2008,4.4,99.23,453,67,"{'neg': 0.026000000000000002, 'neu': 0.746, 'pos': 0.228, 'compound': 0.999}",Love Song,0.9,Sara Bareilles,27,27
"Gotta do it for the ladies
And I gotta keep it 'hood
Where we at Polow (Ay)
I see you're right
No kidding, you was right
But we just gettin started

You see you searching for somebody that'll take you out and do you right
Well come here, baby and let daddy show you what it feel like
You know all you gotta do is tell me what you sippin' on
And I promise that I'm gonna keep it comin' all night long

Lookin' in your eyes while you walk the other side
And I think that, shorty, I've got a thing for you, yeah
Doin' it on purpose winding and workin' it
I can tell by the way you lookin' at me, girl

I wanna make love in this club
Make love (in this club, in this club, in this club)
I wanna make love in this club
Make love (in this club, in this club, in this club)

You got some friends rollin' wit you, baby, then that's cool
You can leave 'em with my homies let 'em know that I got you
If you didn't know, you're the only thing that's on my mind
'Cause the way I'm staring miss you got me wantin' to give it to you all night

Lookin' in your eyes while you walk the other side
I can't take it no more, baby, I'm coming for you
You keep doin' it on purpose, winding and working it
If we close our eyes it could be just me and you

I wanna make love in this club
In this club, in this club, in this club
I wanna make love in this club
In this club, in this club, in this club

I wanna make love in this club
In this club, in this club, in this club
I wanna make love in this club
In this club, in this club, in this club

I'm what you want, I'm what you need
He got you trapped, I'll set you free
Sexually, mentally, physically, emotionally
I'll be like your medicine, you'll take every dose of me

It's going down on aisle three, I'll bag you like some groceries
And every time you think about it you gon' want some more of me
About to hit the club, make a movie yeah rated R
Pulled up like a trap star, that's if you have yo regular car

You wanna make love to a thug in the club with his Sice on?
87 jeans and a fresh pair of Nikes on?
On the couch, on the table, on the bar, or on the floor
You can meet me in the bathroom yeah, you know I'm trying go

Might as well give me a kiss if we keep touching like this
I know you scared, baby, they don't know what we doin'
Let's go get undressed right here, keep it up, girl, I swear
I'ma give it to you non-stop and I don't care who's watchin'
Watchin', watchin', watchin'

Ooh, in this club (on the floor)
Baby, let's make love (in this club) 
In this club, make love, yeah, in this club
Ay, Ay, Ay, Ay
Baby, let's make love

I wanna make love in this club 
(Ay, in this club, in this club, Ay, I wanna make love in this club)
Ay, Ay, Ay, Ay
Front, front, back, side, front",['hip hop rnb and dance hall'],649.8,8,2008,5.6,96.18,564,60,"{'neg': 0.028, 'neu': 0.8, 'pos': 0.17200000000000001, 'compound': 0.9981000000000001}",Love In This Club,2.1,Usher,49,23
"Sexy can I 
Yeah, yeahhh 
All we wanna know is...

(Chorus:) 
Sexy can I, just pardon my manners?
Girl how you shake it, got a nigga like (ohhhh) 
It's a Kodak moment, let me go and get my camera 
All I wanna know is, sexy can I. 
Sexy can I, hit it from the front, 
Then I hit it from the back. 
Know you like it like that. 
Then we take it to the bed, then we take it to the floor 
Then we chill for a second, then we're back at it for more 
Sexy can I, just pardon my manners. 
Girl how you shake it, got a nigga like (ohhhh) 
It's a Kodak moment, let me go and get my camera 
All I wanna know is, sexy can I. 

(Yung Berg:) 
What up lil mama, it's ya boy Youngin 
G5 dippin, Louis Vuitton luggage (ay) 
Gotta love it, ya boy so fly 
All the ladies go (ohhh) when a nigga go by. 
Gucci on the feet, Marc Jacob on the thigh 
She wanna ride or die with ya boy in the Chi. 
That's right, so I let her kiss the prince 
Her boyfriend, she ain't missed him since. 

(Ray J:) 
Sexy can I, just pardon my manners. 
Girl how you shake it, got a nigga like (ohhhh) 
It's a Kodak moment, let me go and get my camera 
All I wanna know is, sexy can I. 
Sexy can I, keep it on the low. 
Got a girl at the crib, we can take it to the mo-mo. 
You can bring a friend, or you can ride solo. 
Let me get my camera, so we can take a photo. 
(Oh, ohh, ohh) Now look shawty, look shawty. 
Baby when we make love it's like, (Oh, ohh, ohh) 
(I don't know what your man is like but shawty all I want to know is:) 
Sexy can I. 

Sexy can I, visit you at work 
When you sliding down the pole, 
No panties, no shirt. 
Then you climb back up the pole, 
Then you drop and do the splits. 
How you make that pussy talk, 
Baby damn, you is the shit 
(Oh, ohh, ohh) Now look shawty, look shawty. 
I make it rain in the club like (Oh, ohh, ohh) 
(I don't know what your man is like but baby all I want to know is:) 
Sexy can I 

Sexy can I, just pardon my manners? 
Girl how you shake it, got a nigga like (ohhhh) 
It's a Kodak moment, let me go and get my camera 
All I wanna know is, sexy can I. 

(Yung Berg:)
I ain't concerned with who ya boy's hittin, or who Ray's melon 
When I give it to her, I know that she ain't tellin' 
See I'm a go getta and she a go getta 
You already know, yeah 
(Sexy can I) 
Sexy can I send for you red-eye 
Fresh out the pool no towel 
Let it air dry
And if you ain't fuckin' tonight 
Then you can watch that tour bus go by 

(Chorus:) 
Sexy can I, just pardon my manners? 
Girl how you shake it, got a nigga like (oh baby) 
It's a Kodak moment, let me go and get my camera 
All I wanna know is, sexy can I. 
Sexy can I, hit it from the front, 
Then I hit it from the back. 
Know you like it like that. 
Then we take it to the bed, then we take it to the floor 
Then we chill for a second, then we're back at it for more 
Sexy can I, just pardon my manners. 
Girl how you shake it, got a nigga like (ohhhh) 
It's a Kodak moment, let me go and get my camera",['bobby brakens'],702.0,11,2008,5.2,105.66,623,72,"{'neg': 0.042, 'neu': 0.755, 'pos': 0.203, 'compound': 0.9987}",Sexy Can I,0.5,Ray J,42,29
"Oh, how 'bout a round of applause?
Yeah, standin' ovation
Ooh, oh yeah, yeah yeah yeah

You look so dumb right now
Standin' outside my house
Tryin' to apologize
You're so ugly when you cry
Please, just cut it out

Don't tell me you're sorry 'cause you're not
Baby when I know you're only sorry you got caught

But you put on quite a show (ooh oh)
Really had me going
But now it's time to go (ooh oh)
Curtains finally closing

That was quite a show (ooh oh)
Very entertaining
But it's over now (but it's over now)
Go on and take a bow, uh oh oh

Grab your clothes and get gone (get gone)
Ya better hurry up before the sprinklers come on (come on)
Talkin' 'bout, ""Girl I love you, you're the one.""
This just looks like a rerun
Please, what else is on?

And don't tell me you're sorry 'cause you're not (mmm)
Baby when I know you're only sorry you got caught (mmm)

But you put on quite a show (ooh oh)
Really had me going
But now it's time to go (ooh oh)
Curtains finally closing

That was quite a show (ooh oh)
Very entertaining
But it's over now (but it's over now)
Go on and take a bow

Oh, and the award for the best liar goes to you
(Goes to you)
For making me believe that you could be faithful to me
Let's hear your speech out

How 'bout a round of applause?
A standin' ovation

But you put on quite a show (ooh oh)
Really had me going
Now it's time to go (ooh oh)
Curtains finally closing

That was quite a show (ooh oh)
Very entertaining
But it's over now (but it's over now)
Go on and take a bow

But it's over now...","['barbade', 'barbadian', 'barbadien', 'barbados', 'contemporary r b', 'contemporary r&b', 'dance', 'dance-pop', 'dancehall', 'electro house', 'electropop', 'hip hop', 'pop', 'pop and chart', 'pop soul', 'r&b', 'reggae', 'rehab', 'rnb']",367.2,12,2008,4.4,99.23,304,45,"{'neg': 0.065, 'neu': 0.792, 'pos': 0.14300000000000002, 'compound': 0.9771000000000001}",Take A Bow,0.9,Rihanna,16,26
