"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:38mMrNPAJKXMBK2l9actEA","Here I Am (Just When I Thought I Was Over You)","spotify:artist:4xXCRXOfQKQ2gjWxNhNzYW","Air Supply","spotify:album:1aEMnQLoZHDjibEDcisTMJ","The One That You Love","spotify:artist:4xXCRXOfQKQ2gjWxNhNzYW","Air Supply","1981","https://i.scdn.co/image/ab67616d0000b27348224db72657cad2c6cf7c34","1","2","230400","https://p.scdn.co/mp3-preview/37fa10c85f5c4c2c9d9278597642cb29ff411a28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USAR18100002","spotify:user:1139977116","2023-03-17T09:25:43Z"
"spotify:track:5wfCY08QVWdUaigsFv9IkZ","Here We Go Again","spotify:artist:1eYhYunlNJlDoQhtYBvPsi, spotify:artist:2Kx7MNY7cI1ENniW7vT30N","Ray Charles, Norah Jones","spotify:album:3CwGxaRLRyEw6OiSbVhdRE","Genius Loves Company","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","2004-08-31","https://i.scdn.co/image/ab67616d0000b2737e827444b254f83e8303c790","1","1","238750","https://p.scdn.co/mp3-preview/01d4573be0fa2ec4db042062cb6307509904ffd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USC4R0405430","spotify:user:1139977116","2023-03-17T09:25:43Z"
"spotify:track:4KqTGPPmXowMPEoShSVOta","Here Is Gone","spotify:artist:2sil8z5kiy4r76CRTXxBCA","The Goo Goo Dolls","spotify:album:740t2GhGBLY6qIPRNhSo9M","Gutterflower","spotify:artist:2sil8z5kiy4r76CRTXxBCA","The Goo Goo Dolls","2002-04-08","https://i.scdn.co/image/ab67616d0000b2739923ca569ea4d53394c0146e","1","3","238173","https://p.scdn.co/mp3-preview/337b0454af75676724e73e40ff218a5283904024?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USWB10200372","spotify:user:1139977116","2023-03-17T09:25:43Z"
"spotify:track:4tgeQrPu5xkrnwErym2JsJ","Here's to the Night","spotify:artist:4Eqd24yS5YcxI8b6Xfuwr8","Eve 6","spotify:album:2aO4ZbunEAG1iaw45Aiosv","Horrorscope","spotify:artist:4Eqd24yS5YcxI8b6Xfuwr8","Eve 6","2000","https://i.scdn.co/image/ab67616d0000b273884cf2a982876d639b2fad4b","1","5","249840","https://p.scdn.co/mp3-preview/d3502db2dd867bdd0946ca7f1c35f7ce1a883c04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USRC10000414","spotify:user:1139977116","2023-03-17T09:25:43Z"
"spotify:track:030OCtLMrljNhp8OWHBWW3","Hey Daddy (Daddy's Home)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","Usher","spotify:album:6A1F3Fkq5dYeYYNkXflcTX","Raymond v Raymond (Expanded Edition)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","Usher","2010-03-30","https://i.scdn.co/image/ab67616d0000b27386b0c9728ad3ed338eaeea79","1","2","224093","https://p.scdn.co/mp3-preview/96987a606b045cde09706eb95b0b3dfdcbcb0406?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USLF21000011","spotify:user:1139977116","2023-03-17T09:25:43Z"
"spotify:track:4o7ZPI2fmEi3piRe0Hrfpy","Hey Jealousy","spotify:artist:6kXp61QMZFPcKMcRPqoiVj","Gin Blossoms","spotify:album:484pzryEPqn6KSMLtP2c4f","New Miserable Experience","spotify:artist:6kXp61QMZFPcKMcRPqoiVj","Gin Blossoms","1992-01-01","https://i.scdn.co/image/ab67616d0000b273e3100bdcdc758b5fab7e4894","1","2","236626","https://p.scdn.co/mp3-preview/3281918fd8d95aa0c077054e83006f82899ce63f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USAM19201246","spotify:user:1139977116","2023-03-17T09:25:43Z"
"spotify:track:4OFbkmgLojbT7xHdECrKJ6","Hey Mama","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:3CBfTlT0yN2O7TDAmg35LZ","Hey Mama","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2004-01-12","https://i.scdn.co/image/ab67616d0000b273614dc722359bd21c94b72de8","1","1","226373","https://p.scdn.co/mp3-preview/bc9f64dbdf7c1fc2f087f0e8658b4a7653931f0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USIR10400015","spotify:user:1139977116","2023-03-17T09:25:43Z"
"spotify:track:0yNCFwihschpOwSgK31f2O","Hit Me Off","spotify:artist:1mFX1QlezK1lNPKQJkhwWb","New Edition","spotify:album:6fRUYwwUOmQbuwe9KujqQG","Home Again","spotify:artist:1mFX1QlezK1lNPKQJkhwWb","New Edition","1996-01-01","https://i.scdn.co/image/ab67616d0000b273ef1bbba1b15f6aa21b484ea4","1","2","261399","https://p.scdn.co/mp3-preview/b7e86a9bc2077f4c0ee36be943474c1f70204bb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USMC19443691","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:5TsHqbDKaSs4ECZX0045YS","Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'","spotify:artist:51Blml2LZPmy7TTiAg47vQ","U2","spotify:album:5I099NUhbRrXaxnxQagElv","The Best Of 1990-2000","spotify:artist:51Blml2LZPmy7TTiAg47vQ","U2","2002-01-01","https://i.scdn.co/image/ab67616d0000b273b333558e7d421458add756bb","1","13","284600","https://p.scdn.co/mp3-preview/b8d9cc6a84004bff2c65d9825744dd6d3f2b038e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBAAN0201228","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:0FmCLEHfINGqwlyzvklNqy","Holidae In","spotify:artist:3s2wTjWxK8NOX09dmsvVOh, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi, spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Chingy, Ludacris, Snoop Dogg","spotify:album:0Hv5X7RRaM7F3hfAq0YmzB","Jackpot","spotify:artist:3s2wTjWxK8NOX09dmsvVOh","Chingy","2003-01-01","https://i.scdn.co/image/ab67616d0000b273f9aefc986924f7e9e5e71b74","1","12","314400","https://p.scdn.co/mp3-preview/f5b1ef7bb1e4030ac1af11438e13cf071049334a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USCA20300295","spotify:user:1139977116","2023-03-17T09:25:53Z"
