Track name, Artist name, Album, Playlist name, Type, ISRC
The Motown Song (with The Temptations),Rod Stewart,Vagabond Heart (Expanded Edition),non_hits,Playlist track,USWB10807932
Don't Let Me Be Misunderstood,Santa Esmeralda,Kill Bill Vol. 1 Original Soundtrack (PA Version),non_hits,Playlist track,USRHD0530704
Running on Empty,Jackson Browne,The Next Voice You Hear - The Best Of Jackson Browne,non_hits,Playlist track,USEE17700001
"Whenever I Call You ""Friend"" (feat. Stevie Nicks)",Kenny Loggins,Nightwatch,non_hits,Playlist track,USSM17800139
Fool (If You Think It's Over),Chris Rea,New Light Through Old Windows,non_hits,Playlist track,USEE19900864
Get Off,Foxy,I Love My Disco Hits,non_hits,Playlist track,USGZ20601000
Sweet Talking Woman - Live,ELO,One Night in Australia - Live,non_hits,Playlist track,DEH980510130
Life's Been Good,Joe Walsh,Ultimate 70s Rock Legends,non_hits,Playlist track,USEE10250860
It's so Easy,Linda Ronstadt,Simple Dreams,non_hits,Playlist track,USEA20100032
Flashlight,Parliament,Can't Hardly Wait,non_hits,Playlist track,USEE10900656
Don't Look Back,Boston,Greatest Hits,non_hits,Playlist track,USSM17800076
Turn to Stone,Electric Light Orchestra,Out of the Blue,non_hits,Playlist track,USSM17800576
The Name Of The Game,ABBA,The Album,non_hits,Playlist track,SEAYD7702040
We're All Alone,Rita Coolidge,Anytime... Anywhere,non_hits,Playlist track,USAM17700071
Hollywood Nights,Bob Seger,Stranger In Town,non_hits,Playlist track,USCA28600268
Deacon Blues,Steely Dan,Aja,non_hits,Playlist track,USMC17647231
Big Love - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),non_hits,Playlist track,USRH11602187
Midnight Blue,Lou Gramm,Ready Or Not,non_hits,Playlist track,USAT20103592
Something So Strong,Crowded House,Crowded House,non_hits,Playlist track,USCA28700545
Heat Of The Night,Bryan Adams,Into The Fire,non_hits,Playlist track,USAM18790011
Brilliant Disguise,Bruce Springsteen,Tunnel Of Love,non_hits,Playlist track,USSM18700367
Just To See Her,Smokey Robinson,One Heartbeat,non_hits,Playlist track,USMO18700900
Respect Yourself,Bruce Willis,The Return Of Bruno,non_hits,Playlist track,USMO18682640
Victory,Kool & The Gang,Forever,non_hits,Playlist track,USPR38605200
Don't Get Me Wrong - 2007 Remaster,Pretenders,Get Close (2007 Remaster),non_hits,Playlist track,GBAHT0700200
Doing It All For My Baby,Huey Lewis & The News,Fore!,non_hits,Playlist track,USCH38600007
Right On Track,Breakfast Club,Breakfast Club,non_hits,Playlist track,USMC18721208
Ballerina Girl,Lionel Richie,Dancing On The Ceiling (Expanded Edition),non_hits,Playlist track,USMO18582777
"Meet Me Half Way - From ""Over The Top"" Soundtrack",Kenny Loggins,Original Motion Picture Soundtrack OVER THE TOP,non_hits,Playlist track,USSM18700083
I've Been In Love Before,Cutting Crew,Broadcast,non_hits,Playlist track,GBAAA8600047
(You Gotta ) Fight For Your Right (To Party),Beastie Boys,Beastie Boys Music,non_hits,Playlist track,USDJ28600007
Love You Down,Ready For The World,Back To Back,non_hits,Playlist track,USMC18621668
How Do You Talk To An Angel?,The Heights,The Heights,non_hits,Playlist track,USCA29200234
Rebirth Of Slick (Cool Like Dat),Digable Planets,Reachin' (A New Refutation Of Time And Space),non_hits,Playlist track,USEM39300099
"What Is Love - 7"" Mix",Haddaway,What Is Love (Remixes),non_hits,Playlist track,DEA410500401
To Love Somebody,Michael Bolton,Michael Bolton,non_hits,Playlist track,USSM19200019
"Give It Up, Turn It Loose",En Vogue,Funky Divas,non_hits,Playlist track,USEW19900117
Alright (feat. Super Cat),Kris Kross,Da Bomb,non_hits,Playlist track,USSM19100341
Check Yo Self - Remix,Ice Cube,Bootlegs And B-Sides,non_hits,Playlist track,USPO19450014
Faithful,Go West,Indian Summer,non_hits,Playlist track,GBAYK9200057
(Find A) Reason To Believe,Rod Stewart,Every Picture Tells A Story,non_hits,Playlist track,USPR37110021
Break It Down Again,Tears For Fears,Elemental,non_hits,Playlist track,GBF089390003
Livin' On The Edge,Aerosmith,Get A Grip,non_hits,Playlist track,USIR10000445
Hey Jealousy,Gin Blossoms,New Miserable Experience,non_hits,Playlist track,USAM19201246
One Woman,Jade,Soul Selection 90s,non_hits,Playlist track,USWB10104211
Can't Get Enough of Your Love,Taylor Dayne,Soul Dancing (Expanded Edition),non_hits,Playlist track,USAR19300010
