Track name, Artist name, Album, Playlist name, Type, ISRC
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,How Can You Mend A Broken Heart,hits,Playlist track,NLF057790035
Stayin Alive,Bee Gees,How Can You Mend A Broken Heart,hits,Playlist track,USRH10721057
Kiss You All Over,Exile,Greatest Hits,hits,Playlist track,USSM19915889
How Deep Is Your Love,Bee Gees,Greatest,hits,Playlist track,GBAKW7701005
Baby Come Back,Player,Player,hits,Playlist track,NLF057790013
(Love Is) Thicker Than Water,Andy Gibb,Flowing Rivers,hits,Playlist track,NLF057790041
Three Times A Lady - Single Version,Commodores,The Real 70s Sound,hits,Playlist track,USMO17800521
Grease - 2007 Remaster,Frankie Valli,Frankie Valli...Is The Word,hits,Playlist track,USRH10720957
You're The One That I Want - From “Grease”,John Travolta,Grease (The Original Motion Picture Soundtrack),hits,Playlist track,NLF057890004
Lay Down Sally,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),hits,Playlist track,NLF057790026
Miss You - Remastered,The Rolling Stones,Some Girls,hits,Playlist track,GBCJN7800001
Just the Way You Are,Billy Joel,The Stranger (Legacy Edition),hits,Playlist track,USSM17700371
With A Little Luck - Remastered 1993,Wings,London Town (Expanded Edition),hits,Playlist track,GBCCS0700630
If I Can't Have You,Yvonne Elliman,Tubes Disco,hits,Playlist track,GBA077700090
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",CHIC,"Classic Disco 12"" Mixes",hits,Playlist track,USAT21301682
Walk Like an Egyptian,The Bangles,Different Light,hits,Playlist track,USSM18500266
Alone,Heart,Bad Animals,hits,Playlist track,USCA28700690
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,hits,Playlist track,USAR18700121
Nothing's Gonna Stop Us Now,Starship,No Protection,hits,Playlist track,USRC18702968
C'est La Vie,Robbie Nevil,Robbie Nevil,hits,Playlist track,USUM71602455
Here I Go Again - 2018 Remaster,Whitesnake,Whitesnake (2018 Remaster),hits,Playlist track,GB01A1800010
The Way It Is,Bruce Hornsby and the Range,Essential - One For The Lads,hits,Playlist track,USSM10412626
Shakedown,Bob Seger,Greatest Hits 2,hits,Playlist track,USCA20300669
Livin' On A Prayer,Bon Jovi,Slippery When Wet,hits,Playlist track,USPR38619998
La Bamba,Los Lobos,La Bamba / Charlena,hits,Playlist track,USRH10802794
Everybody Have Fun Tonight,Wang Chung,Mosaic,hits,Playlist track,USGF18611501
Don't Dream It's Over,Crowded House,Crowded House,hits,Playlist track,USCA28600048
Always,Atlantic Starr,All In The Name Of Love,hits,Playlist track,USWB10000497
With Or Without You - Remastered,U2,The Joshua Tree (Super Deluxe),hits,Playlist track,GBUM70709792
