,Track name, Artist name, Album, Playlist name, Type, ISRC,category
59,Motownphilly,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),hits,Playlist track,USMO19190022,Hit
60,Because I Love You (The Postman Song),Stevie B,Love And Emotion,hits,Playlist track,GBF069100010,Hit
61,Someday,Mariah Carey,Mariah Carey,hits,Playlist track,USSM19000415,Hit
62,All The Man That I Need,Whitney Houston,I'm Your Baby Tonight,hits,Playlist track,USAR19000121,Hit
63,Right Here Right Now,Jesus Jones,Doubt,hits,Playlist track,GBAYE9000326,Hit
64,Love Will Never Do (Without You),Janet Jackson,Rhythm Nation 1814,hits,Playlist track,USAM19500719,Hit
65,Good Vibrations,Marky Mark And The Funky Bunch,Music For The People,hits,Playlist track,USIR10211585,Hit
66,Shadow Dancing,Andy Gibb,Hello Summer,hits,Playlist track,NLF057890050,Hit
67,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,How Can You Mend A Broken Heart,hits,Playlist track,NLF057790035,Hit
68,Stayin Alive,Bee Gees,How Can You Mend A Broken Heart,hits,Playlist track,USRH10721057,Hit
69,Kiss You All Over,Exile,Greatest Hits,hits,Playlist track,USSM19915889,Hit
70,How Deep Is Your Love,Bee Gees,Greatest,hits,Playlist track,GBAKW7701005,Hit
71,Baby Come Back,Player,Player,hits,Playlist track,NLF057790013,Hit
72,(Love Is) Thicker Than Water,Andy Gibb,Flowing Rivers,hits,Playlist track,NLF057790041,Hit
73,Three Times A Lady - Single Version,Commodores,The Real 70s Sound,hits,Playlist track,USMO17800521,Hit
74,Grease - 2007 Remaster,Frankie Valli,Frankie Valli...Is The Word,hits,Playlist track,USRH10720957,Hit
75,You're The One That I Want - From “Grease”,John Travolta,Grease (The Original Motion Picture Soundtrack),hits,Playlist track,NLF057890004,Hit
76,Lay Down Sally,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),hits,Playlist track,NLF057790026,Hit
77,Miss You - Remastered,The Rolling Stones,Some Girls,hits,Playlist track,GBCJN7800001,Hit
78,Just the Way You Are,Billy Joel,The Stranger (Legacy Edition),hits,Playlist track,USSM17700371,Hit
79,With A Little Luck - Remastered 1993,Wings,London Town (Expanded Edition),hits,Playlist track,GBCCS0700630,Hit
