lyrics,tags,num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,sentiment,title,f_k_grade,artist,difficult_words,num_dupes
"When you called me up this morning
Told me 'bout the new love you found
I said: ""I'm happy for you
I'm really happy for you""

Found someone else
I guess I won't be coming 'round
I guess it's over, baby
It's really over, baby, ohoho

And from what you said
I know you've gotten over me
It'll never be the way it used to be

So if it's gotta be this way
Don't worry, baby I can take the news okay

But if you see me walking by
And the tears are in my eyes
Look away, baby, look away

And if we meet on the street someday
And I don't know what to say
Look away, baby, look away

Don't look at me
I don't want you to see me this way

When we both agreed as lovers
We were better off as friends
That's how it had to be
Yeah, that's how it had to be

I tell you I'm fine
But sometimes I just pretend
Wish you were holding me
Wish you were still holding me, ohoho

I just never thought
That I would be replaced so soon
I wasn't prepared to hear those words from you

I know I wanted to be free
Yeah, baby, this is how we wanted it to be

But if you see me walking by
And the tears are in my eyes
Look away, baby, look away

If we meet on the street someday
And I don't know what to say
Look away, baby, look away

Don't look at me
I don't want you to see me this way

If you see me walking by
And the tears are in my eyes
Look away, baby, look away

And if we meet on the street someday
And I don't know what to say
Look away, baby, look away

Don't look at me
I don't want you to see me this way

If you see me walking by
And the tears are in my eyes
Look away, baby, look away

Don't look at me
I don't want you to see me this way

When you called me up this morning
Told me 'bout the new love you found
I said: ""I'm happy for you
I'm really happy for you""","['american', 'aor', 'classic pop and rock', 'hard rock', 'jazz', 'jazz-rock', 'pop', 'pop rock', 'rock', 'soft rock']",422.1,1,1989,4.4,107.69,377,59,"{'neg': 0.04, 'neu': 0.8250000000000001, 'pos': 0.136, 'compound': 0.9918}",Look Away,-0.30000000000000004,Chicago,22,42
"Get busy

Everybody's talking all this stuff about me (now now)
Why don't they just let me live? (ooh)
I don't need permission, make my own decisions (oh)
That's my prerogative

They say I'm crazy
I really don't care
That's my prerogative

They say I'm nasty
But I don't give a damn
Gettin' girls is how I live

Some messy questions
Why am I so real?
But they don't undersand me
Or really don't know the deal

About a brother
Trying hard to make it right
Not long ago
Before I win this fight, sing!

Everybody's talking all this stuff about me
Why don't they just let me live? (tell me why)
I don't need permission, make my own decisions (oh)
That's my prerogative (It's my prerogative)
It's my prerogative

It's the way that I wanna live (It's my prerogative)
I can do just what I feel (It's my prerogative)
No one can tell me what to do (It's my prerogative)
'Cause what I'm doing, I'm doing for you

Don't get me wrong
I'm really not souped
Egotrips is not my thing

All these strange relationships
Really gets me down
I see nothing wrong
In spreading myself around, sing

Everybody's talking all this stuff about me
Why don't they just let me live? (tell me why)
I don't need (I don't need) permission, make my own decisions (my own decisions)
That's my prerogative (It's my prerogative)
It's my prerogative

I can do what I wanna do (It's my prerogative)
I can live my life (It's my prerogative)
And I'm doing it just for you (It's my prerogative)
Tell me, tell me

Why can't I live my life (live my life)
Without all of the things that people say?

Yo, Teddy kick it like this
Oh, no, no
I can do what I wanna do
Me and you
Together, together, together, together, together

Everybody's talking (everybody's talking) all this stuff about me
Why don't they just let me live?
(Why don't they just let me live?)
I don't need permission, make my own decisions
That's my prerogative

Everybody's talking all this stuff about me (everybody's talking) 
Why don't they just let me live?
I don't need permission, make my own decisions
That's my prerogative

What is this a blizzard
That I can't have money in pocket and people not talk about me?
This world is a trip, I don't know what's goin' on these days
Got this person over here talkin' 'bout me
Hey, listen this is my prerogative, I can do what I want to
I made this money, you didn't
Right, Ted?
We outta here

It's my, it's my, it's my, it's my
My, my, my, my, my, my, my
It's my prerogative
It's my prerogative, can't you see baby doll","['contemporary r&b', 'dance-pop', 'hip hop rnb and dance hall', 'new jack swing', 'pop', 'rnb']",619.2,2,1989,4.4,90.77,462,72,"{'neg': 0.056, 'neu': 0.912, 'pos': 0.033, 'compound': -0.8588}",My Prerogative,2.1,Bobby Brown,40,27
"We both lie silently still in the dead of the night
Although we both lie close together, we feel miles apart inside
Was it something I said or something I did
Did my words not come out right?
Though I tried not to hurt you
Though I tried, but I guess that's why they say

Every rose has its thorn
Just like every night has its dawn
Just like every cowboy sings a sad, sad song
Every rose has its thorn, yeah it does

I listen to our favorite song, playin' on the radio
Hear the DJ say love's a game of easy come and easy go
But I wonder does he know
Has he ever felt like this?
And I know that you'd be here right now
If I could have let you know somehow

I guess every rose has its thorn
Just like every night has its dawn
Just like every cowboy sings a sad, sad song
Every rose has its thorn

Though it's been a while now
I can still feel so much pain
Like the knife that cuts you, the wound heals
But the scar, that scar remains

I know I could have saved our love that night
If I'd known what to say
Instead of making love
We both made our separate ways

And now I hear you've found somebody new
And that I never meant that much to you
To hear that tears me up inside
And to see you cuts me like a knife

I guess every rose has its thorn
Just like every night has its dawn
Just like every cowboy sings a sad, sad song
Every rose has its thorn","['american', 'classic pop and rock', 'glam metal', 'hard rock', 'metal', 'rock']",334.8,3,1989,4.800000000000001,98.21,279,36,"{'neg': 0.122, 'neu': 0.6920000000000001, 'pos': 0.186, 'compound': 0.9695}",Every Rose Has Its Thorn,1.3,Poison,12,13
"Lost in a dream
I don't know which way to go (Let me say it)
If you are all that you seem
Then baby I'm movin' (movin') way too slow

I've been a fool before
Wouldn't like to get my love caught in the slammin' door
How about some information please?

Straight up now tell me
Do you really want to love me forever (oh oh oh)
Or am I caught in a hit and run?

Straight up now tell me
Is it gonna be you and me together (oh oh oh)
Or are you just having fun?

Time's standin' still
Waiting for some (waitin' for some) small clue
(Let me tell you now)
I keep getting chills
When I think your love (when I think your love) is true

I've been a fool before
Wouldn't like to get my love caught in the slammin' door
How about some information please?

Straight up now tell me
Do you really want to love me forever (oh oh oh)
Or am I caught in a hit and run?

Straight up now tell me
Is it gonna be you and me together (oh oh oh)
Or are you just having fun?

You are so hard to read
You play hide and seek
With your true intentions

If you're only playing games
I'll just have to say
A- b-b-bye bye, b-b-b-b-bye

Do do you love me? (Do do you love me baby?)
Do do you love me? (Do do you love me, hey baby?)
Do do you love me? (Do do you love me, hey baby?) Come on, now!
Do do you love me? (Do do you love me baby?)
Tell me, baby

I've been a fool before
Wouldn't like to get my love caught in the slammin' door
Are you more than hot for me
Or am I a page in your history?

Look, I don't mean to make demands
But the word and the deed go hand in hand
How about some information please
(Please, please, please, please, please)

Straight up now tell me (tell me)
Straight up now tell me (tell me)
Straight up now tell me (tell me)
Straight up now tell me
Straight up now tell me

Straight up now tell me
Do you really want to love me forever (oh oh oh)
Or am I caught in a hit and run?

Straight up now tell me
Is it gonna be you and me together (oh oh oh)
Or are you just having fun?

Straight up now tell me
Do you really want to love me forever (oh oh oh)
Or am I caught in a hit and run?

Straight up now tell me
Is it gonna be you and me together (oh oh oh)
Or are you just having fun?

Straight up now tell me
Do you really want to love me forever","['dance-pop', 'new jack swing', 'pop', 'pop and chart']",538.2,4,1989,4.4,107.69,475,70,"{'neg': 0.038, 'neu': 0.72, 'pos': 0.242, 'compound': 0.9987}",Straight Up,-0.30000000000000004,Paula Abdul,19,47
"Shot
Like an arrow through my heart
That's the pain I feel
I feel whenever we're apart

Not to say that I'm in love with you
But who's to say that I'm not?
I just know that it feels wrong when I'm away too long
You make my body hot
So let me tell you, baby

I'll tell your mama, I'll tell your friends
I'll tell anyone whose heart can comprehend
Send it in a letter, baby, tell you on the phone
I'm not the kind of girl who likes to be alone

I miss you much (Boy, oh, I miss you much)
I really miss you much (M-I-S-S you much)
I miss you much, baby (Boy, oh, I miss you much)
I really miss you much (M-I-S-S you much)

I'm rushing home
Just as soon as I can, oh
I'm rushing home to see your smiling face and feel your warm embrace
It makes feel so g-g-good
So I'll tell you, baby

I'll tell your mama, I'll tell your friends, (Tell your friends...)
I'll tell anyone whose heart can comprehend... (Whose heart can comprehend, baby...)
Send it in a letter, baby, tell you on the phone; (Oh... oh..)
I'm not the kind of girl who likes to be alone...

I miss you much... (Boy, oh, I miss you much...)
I really miss you much... (M-I-S-S you much...)
I miss you much... baby... (Boy, oh, I miss you much...)
I really miss you much... (M-I-S-S you much...)

I, I, I miss you much... (Boy, oh, I miss you much...)
I really miss you much... (M-I-S-S you much...) 
I miss you much... baby... (Boy, oh, I miss you much...) 
I really miss you much... (M-I-S-S you much...)

(Miss you much...) I miss you much;
I really, really miss you...
(Miss you much...) I miss you much...

I'm not ashamed to tell the world I miss you.

I'll tell your mama, I'll tell your friends, (Tell your friends...)
I'll tell anyone whose heart can comprehend... (Whose heart can comprehend, baby...)
Send it in a letter, baby, tell you on the phone; (Send it in a letter, tell you on the phone...)
I'm not the kind of girl who likes to be alone...

I miss you much... (Boy, oh, I miss you much...)
I really miss you much... (M-I-S-S you much...)
I miss you much... baby... (Boy, oh, I miss you much...)
I really miss you much... (M-I-S-S you much...) 

I, I, I miss you much... (Boy, oh, I miss you much...)
I really miss you much... (M-I-S-S you much...)
I miss you much... baby... (Boy, oh, I miss you much...) 
I really miss you much... (M-I-S-S you much...)

That's the end?","['dance', 'janet jackson escapade', 'janet-jackson', 'pop', 'pop and chart', 'the queen']",481.5,5,1989,4.4,107.69,449,70,"{'neg': 0.139, 'neu': 0.786, 'pos': 0.075, 'compound': -0.7189}",Miss You Much,-0.30000000000000004,Janet Jackson,20,26
"He's a cold-hearted snake
Look into his eyes
Oh, oh
He's been tellin' lies

He's a lover boy at play
He don't play by rules
Oh, oh
Girl, don't play the fool now

You're the one givin' up the love
Anytime he needs it
But you turn your back and then he's off
And runnin' with the crowd

You're the one to sacrifice
Anything to please him
Do you really think he thinks about you
When he's out?

He's a cold-hearted snake
Look into his eyes
Oh, oh
He's been tellin' lies

He's a lover boy at play
He don't play by the rules
(Oh, oh) Oh, oh
Girl, don't play the fool now

It was only late last night
He was out there sneakin'
Then he called you up
To check that you were waiting by the phone

All the world's a candy store
He's been trick-or-treating
When it comes to true love, girl
With him, there's no one home

He's a cold-hearted snake
Look into his eyes
Oh, oh
He's been tellin' lies

He's a lover boy at play
He don't play by the rules
(Oh, oh) Oh, oh
Girl, don't play the fool now

You could find somebody better girl
He could only make you cry
You deserve somebody better, girl
He's c-cold as ice

(Cold as ice)
(He's cold as ice)
(He's cold as ice)

C-c-c-cold-hearted
Ooh ah ahh
C-c-c-cold-hearted
Sssssssnake

C-c-c-cold-hearted
Ooh ah ahh
C-c-c-cold-hearted
Sssssssnake

He's a cold-hearted snake
Look into his eyes
Oh, oh
He's been tellin' lies

He's a lover boy at play
He don't play by the rules
(Oh, oh) Oh, oh
Girl, don't play the fool

Ooh, oh
Look into his eyes
Ooh, oh
He's been tellin' lies
Ooh, oh
He don't play by the rules
Ooh, oh
Girl, don't play the fool

He's a cold-hearted snake
Look into his eyes
Oh, oh
He's been tellin' lies

He's a lover boy at play
He don't play by the rules
(Oh, oh) Oh, oh
Girl, don't play the fool","['dance-pop', 'new jack swing', 'pop', 'pop and chart']",394.2,6,1989,4.0,100.24,338,63,"{'neg': 0.055, 'neu': 0.711, 'pos': 0.233, 'compound': 0.9964000000000001}",Cold Hearted,0.5,Paula Abdul,16,60
"(Girl)
So what are you doing back?

(Man)
Well, I set back and thought about
The things we used to do
It really meant a lot to me
You mean a lot to me

(Girl)
I really mean that much to you?

(Man)
Girl, you know it's true

I'm in love with you, girl, 'cause you're on my mind
You're the one I think about most every time
And when you pack a smile in everything you do
Don't you understand, girl, this love is true?
You're soft, succulent, so sweet and thin
That's kind of like a vision upon your skin
It lightens up my day, and that's, oh, so true
Together we're one, separated we're two
To make you all mine, all mine is my desire
'Cause you contain a quality, you that I admire
You're pretty plain and simple, you rule my world
So try to understand
I'm in love, girl, I'm so in love, girl
I'm just in love, girl, and this is true

Girl, you know it's true
Ooh, ooh, ooh, I love you
Yes, you know it's true
Ooh, ooh, ooh I love you
Girl, you know it's true
My love is for you
Girl, you know it's true
My love is for you

This is some sort of thing, girl, I can't explain
My emotions starts up when I hear your name
Maybe your sweet, sweet voice would ring in my ears
It stimulate my senses, girl, when you are near
And with your positive emotion, love-making enjoyin'
That's for me to bust, it's like a girl and a boy
These feelings I get I often wonder why
So I thought I might discuss this, girl, just you and I
Now what you're wearing I don't care, or as I've said before
No reason that I like you, girl, just for what you are
If I said I'd think about it, you rule my world
So try to understand
I'm in love, girl, I'm so in love, girl
I'm just in love girl, and this is true

Girl, you know it's true
Ooh, ooh, ooh I love you
Yes, you know it's true
Ooh, ooh, ooh I love you
Girl, you know it's true
My love is for you
Girl, you know it's true
My love
Girl, you know it's true
Ooh, ooh, ooh I love you
Yes, you know it's true
Ooh, ooh, ooh I love you",['classic pop and rock'],462.6,8,1989,4.800000000000001,106.67,405,54,"{'neg': 0.01, 'neu': 0.662, 'pos': 0.328, 'compound': 0.9994000000000001}",Girl You Know It's True,0.1,Milli Vanilli,25,25
"Ain't there something I can give you 
In exchange for everything you give to me 
Read my mind and make me feel just fine 
When I think my peace of mind is out 
of reach 

The scales are sometimes unbalanced 
And you bear the weight of all that has to be 
I hope you see that you can lean on me 
And together we can calm a stormy sea 

We love so strong and so unselfishly 
And I tell you now that I made a vow 
I'm giving you the best that I got, baby 
Yes I tell you now, that I made a vow 
I'm giving you the best that I got, honey 

Everybody's got opinions 
'Bout the way they think our story's gonna end 
Some folks feel it's just a superficial thrill 
Everybody's gonna have to think again 

We love so strong and so unselfishly 
They don't bother me so I'm gonna keep on 
Giving you the best that I got, baby 
They don't bother me, said I'm gonna keep on 
Giving you the best that I got, listen baby 

Somebody understands me 
Somebody gave his heart to me 
I stumbled my whole life long 
Always on my own, now I'm home 

My weary mind is rested 
And I feel as if my home is in your arms 
Fears are all gone, I like the sound of your song 
And I think I want to sing it forever 

We love so strong and so unselfishly 
And I made a vow so I tell you now 
I'm giving you the best that I got, listen baby 
I bet everything on my wedding ring 
I'm giving you the best that I got, 
givin' it to you baby","['adult contemporary', 'american', 'jazz', 'quiet storm', 'rnb', 'smooth jazz', 'soul', 'soul and reggae']",351.9,10,1989,4.800000000000001,98.21,287,36,"{'neg': 0.015, 'neu': 0.709, 'pos': 0.276, 'compound': 0.9978}",Giving You The Best That I Got,1.3,Anita Baker,16,8
"Oceans apart day after day
And I slowly go insane
I hear your voice on the line
But it doesn't stop the pain

If I see you next to never
How can we say forever

Wherever you go
Whatever you do
I will be right here waiting for you
Whatever it takes
Or how my heart breaks
I will be right here waiting for you

I took for granted all the times
That I thought would last somehow
I hear the laughter, I taste the tears
But I can't get near you now

Oh, can't you see it baby
You've got me goin' crazy

Wherever you go
Whatever you do
I will be right here waiting for you
Whatever it takes
Or how my heart breaks
I will be right here waiting for you

I wonder how we can survive
This romance
But in the end if I'm with you
I'll take the chance

Oh, can't you see it baby
You've got me goin' crazy

Wherever you go
Whatever you do
I will be right here waiting for you
Whatever it takes
Or how my heart breaks
I will be right here waiting for you
Waiting for you","['adult contemporary', 'american', 'classic pop and rock', 'pop']",235.8,11,1989,4.0,100.24,198,36,"{'neg': 0.048, 'neu': 0.875, 'pos': 0.078, 'compound': 0.7176}",Right Here Waiting,0.5,Richard Marx,17,22
"Sometimes it's hard
To make things clear
Or know when to face the truth
And I know that the moment is here

I'll open my heart and show you inside
My love has no pride
I feel with you
I've got nothing to hide

So open your eyes
And see who I am
And not who you want for me to be
I am only myself, myself

I don't wanna lose you now
We're gonna get through somehow
I don't wanna lose you now
Or ever

Baby I've finally found
The courage to stand my ground
But if you want me, I'll be around
Forever

We all make mistakes
We all lose our way
But we stood the test of time and I hope
That's the way it will stay

It's all up to you
To tell me to go
'Cause it won't be me to walk away
When you're all that I know
And I know

That I don't wanna lose you now
We're gonna get through somehow
I don't wanna lose you now
Or ever and ever

Baby I've finally found
The courage to stand my ground
But if you want me, I'll be around
Forever, forever, yeah, yeah

Don't wanna lose you, lose you now
We're gonna get through somehow
Don't wanna lose you now
Don't wanna lose you
Dont' wanna lose you","['adult contemporary', 'american', 'christmas music', 'conga', 'cuban', 'dance', 'dance-pop', 'latin freestyle', 'latin pop', 'pop', 'pop and chart', 'pop rock', 'rock']",275.4,14,1989,4.0,100.24,226,40,"{'neg': 0.039, 'neu': 0.762, 'pos': 0.199, 'compound': 0.9887}",Don't Wanna Lose You,0.5,Gloria Estefan,16,15
