lyrics,tags,num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,sentiment,title,f_k_grade,artist,difficult_words,num_dupes
"Say you, say me
Say it for always
That's the way it should be

Say you, say me
Say it together
Naturally

I had a dream I had an awesome dream
People in the park playing games in the dark
And what they played was a masquerade
And from behind the walls of doubt a voice was crying out

Say you, say me
Say it for always
That's the way it should be

Say you, say me
Say it together
Naturally

As we go down life's lonesome highway
Seems the hardest thing to do is to find a friend or two
That helping hand, someone who understands
And when you feel you've lost your way
You've got some one there to say ""I'll show you""

Say you, say me
Say it for always, oh
That's the way it should be

Say you, say me
Say it together
Naturally

So you think you know the answers, oh no
Well the whole world has got you dancing
That's right, I'm telling you
It's time to start believing, oh yes
Believe in who you are
You are a shining star

Say you, say me
Say it for always, aw
That's the way it should be

Say you, say me
Say it together
Naturally

Say it together
Naturally","['adult contemporary', 'contemporary r&b', 'funk', 'pop', 'pop soul', 'smooth soul', 'soul', 'soul and reggae']",252.9,2,1986,4.0,100.24,214,36,"{'neg': 0.055, 'neu': 0.834, 'pos': 0.112, 'compound': 0.9022}","Say You, Say Me",0.5,Lionel Richie,19,29
"So many times said it was forever
Said our love would always be true
Something in my heart always knew
I'd be lying here beside you

On my own
On my own
On my own

So many promises never should be spoken
Now I know what loving you cost
Now we're up to talking divorce
And we weren't even married

On my own
Once again now
One more time
By myself

No one said it was easy
But it once was so easy
Well I believed in love (in love)
Now here I stand
I wonder why, ooh

I'm on my own
Why did it end this way
(On my own) This wasn't how it was supposed to end
(On my own) I wish that we could do it all again

So many times I know I should have told you
Losing you it cut like a knife
You walked out and there went my life
I don't want to live without you

On my own (This wasn't how it was supposed to end)
On my own (I wish that we could do it all again)
On my own (I never dreamed I'd spend one night alone)
By myself

So many times
I know I should have told you
Losing you it cut like a knife
You walked out and there went my life

I don't want to live without you
On my own
On my own
On my own

This wasn't how it was supposed to end
I wish that we could do it all again
I never dreamed I'd spend one night alone
On my own, I've got to find where I belong again

I've got to learn how to be strong again
I never dreamed I'd spend one night alone
By myself by myself

I've got to find out what was mine again
My heart is saying that it's my time again
And I have faith that I will shine again

I have faith in me
On my own
On my own
On my own",['hip hop rnb and dance hall'],398.7,4,1986,4.4,99.23,338,52,"{'neg': 0.059000000000000004, 'neu': 0.808, 'pos': 0.133, 'compound': 0.983}",On My Own,0.9,Patti Labelle,22,26
"Baby, don't understand
Why we can't just hold on to each others' hands
This time might be the last, I fear
Unless I make it all too clear
I need you so, ohh

Take these broken wings
And learn to fly again
Learn to live so free
When we hear the voices sing
The book of love will open up and let us in
Take these broken wings

Baby, I think tonight
We can take what was wrong and make it right, mmm
Baby, it's all I know
That you're half of the flesh
And blood that makes me whole
I need you so

So take these broken wings
And learn to fly again
Learn to live so free
And when we hear the voices sing
The book of love will open up and let us in

Take these broken wings
You've got to learn to fly
Learn to live and love so free
And when we hear the voices sing
The book of love will open up and let us in, yeah, yeah

Let us in
Let us in

Baby, it's all I know
That you're half of the flesh
And blood that makes me whole
Yeah yeah yeah, yeah yeah

So take these broken wings
And learn to fly again
Learn to live so free
And when we hear the voices sing
The book of love will open up and let us in

Take these broken wings
You've got to learn to fly
Learn to live and love so free
And when we hear the voices sing
The book of love will open up for us and let us in, yeah yeah
Yeah yeah
Ooh","['classic pop and rock', 'soft rock']",306.0,5,1986,4.4,107.69,277,43,"{'neg': 0.073, 'neu': 0.6990000000000001, 'pos': 0.227, 'compound': 0.9944000000000001}",Broken Wings,-0.30000000000000004,Mr. Mister,9,26
"There's a boy I know, he's the one I dream of
Looks into my eyes, takes me to the clouds above, mm
Ooh, I lose control, can't seem to get enough, uh-huh
When I wake from dreaming, tell me is it really love?

Hoo, how will I know? (Don't trust your feelings)
How will I know?
How will I know? (Love can be deceiving)
How will I know?

How will I know if he really loves me?
I say a prayer with every heartbeat
I fall in love whenever we meet
I'm asking you, 'cause you know about these things

How will I know if he's thinking of me?
I try to phone, but I'm too shy (Can't speak)
Falling in love is so bittersweet
This love is strong, why do I feel weak?

Oh, wake me! I'm shaking
Wish I had you near me now, uhh
Said there's no mistaking
What I feel is really love

Ooh, tell me, how will I know? (Don't trust your feelings)
How will I know?
How will I know? (Love can be deceiving)
How will I know?

How will I know if he really loves me?
I say a prayer with every heartbeat
I fall in love whenever we meet
I'm asking you, 'cause you know about these things

How will I know if he's thinking of me?
I try to phone, but I'm too shy (Can't speak)
Falling in love is so bittersweet
This love is strong, why do I feel weak?

If he loves me, if he loves me not, mm
If he loves me, ooh, if he loves me not
Hey, if he loves me, if he loves me not

Oh, how will I know?
Ooh, how will I know?
How will I know?
Hey, how will I know?
Hey, hey, hey, hey

How will I know if he really loves me?
I say a prayer with every heartbeat
I fall in love whenever we meet
I'm asking you, 'cause you know about these things

How will I know if he's thinking of me?
I try to phone, but I'm too shy (Can't speak)
Falling in love is so bittersweet
This love is strong, why do I feel weak?

How will I know? (How will I know?)
How will I know?
How will I know? (I say a prayer)
How will I know?

Hoo, how will I know? (I fall in love)
How will I know?
Hey, how will I know? (I'm asking you)
How will I, how will I...","['adult contemporary', 'contemporary r&b', 'dance-pop', 'death by drowning', 'new jack swing', 'o happy day', 'pop', 'pop soul', 'r&b', 'soul and reggae']",460.8,6,1986,4.4,107.69,420,64,"{'neg': 0.057, 'neu': 0.683, 'pos': 0.259, 'compound': 0.9989}",How Will I Know,-0.30000000000000004,Whitney Houston,18,36
"Girl I can't understand it, why you want to hurt me
After all of the things I've done for you
I buy you champagne, roses and put diamonds on your fingers
But still you hang out all night, what am I to do

My girl wants to party all the time,
party all the time, party all the time
My girl wants to party all the time,
party all the time, she parties all the time
Whoooohooohoohoo (party all the time)
She likes to party all the time (party all the time)
Whoooohooohoohoo (party all the time)
She likes to party all the time (party all the time)

Girl I seen you at clubs, just hangin' out and dancing
You give your number to every man you see
You never come home at night because your out romancin'
I wish you'd bring some of your love home to me

But My girl wants to party all the time,
party all the time, party all the time
My girl wants to party all the time,
party all the time
My girl wants to party all the time,
party all the time, party all the time
My girl wants to party all the time
party all the time (hold) yeah

party party party party party

whoooooo
whoooohoohooo

she likes to party all the time
she lets her hair down
she likes to party down",['comedy'],289.8,7,1986,5.2,97.2,232,28,"{'neg': 0.012, 'neu': 0.666, 'pos': 0.323, 'compound': 0.9975}",Party All The Time,1.7000000000000002,Eddie Murphy,14,12
"Two worlds collide, rival nations
It's a primitive clash, venting years of frustrations
Bravely we hope against all hope
There is so much at stake
Seems our freedom's up against the ropes

Does the crowd understand? 
Is it East versus West, or man against man?
Can any nation stand alone?

In the burning heart, just about to burst
There's a quest for answers, an unquenchable thirst
In the darkest night, rising like a spire
In the burning heart, the unmistakable fire

In the warriors code, there's no surrender 
Though his body says stop, his spirit cries never
Deep in our soul a quiet ember
Knows it's you against you
it's the  Paradox that drives us on

It's a battle of wills
In the heat of attack, it's the passion that kills
The victory is yours alone

In the burning heart, just about to burst
There's a quest for answers, an unquenchable thirst
In the darkest night, rising like a spire
In the burning heart, the unmistakable fire","['adult contemporary', 'aor', 'hard rock', 'pop and chart', 'pop rock']",223.2,8,1986,4.4,90.77,167,24,"{'neg': 0.185, 'neu': 0.718, 'pos': 0.097, 'compound': -0.9318000000000001}",Burning Heart,2.1,Survivor,29,8
"Kýrie, eléison
Kýrie, eléison
Kýrie

The wind blows hard against this mountainside
Across the sea into my soul
It reaches into where I cannot hide
Setting my feet upon the road

My heart is old, it holds my memories
My body burns a gem-like flame
Somewhere between the soul and soft machine
Is where I find myself again

Kýrie, eléison
Down the road that I must travel
Kýrie, eléison
Through the darkness of the night

Kýrie, eléison
Where I'm going, will you follow?
Kýrie, eléison
On a highway in the light

When I was young, I thought of growing old
Of what my life would mean to me
Would I have followed down my chosen road
Or only wished what I could be

Kýrie, eléison
Down the road that I must travel
Kýrie, eléison
Through the darkness of the night

Kýrie, eléison
Where I'm going, will you follow?
Kýrie, eléison
On a highway in the light

Whoa, oh, oh
Whoa, oh, oh
Whoa, oh, oh
Whoa, oh, oh

Kýrie, eléison
Down the road that I must travel
Kýrie, eléison
Through the darkness of the night

Kýrie, eléison
Where I'm going, will you follow?
Kýrie, eléison
On a highway in the light

Kýrie, eléison
Down the road that I must travel (will you follow?)
Kýrie, eléison
Through the darkness of the night

Kýrie, eléison
Where I'm going, will you follow?  (will you follow)
Kýrie, eléison
On a highway in the light

Kýrie, eléison
Down the road that I must travel (yeah)
Kýrie, eléison
Through the darkness of the night

Kýrie, eléison
Where I'm going, will you follow?  (will you follow?)
Kýrie, eléison
On a highway in the light

Kýrie, eléison
Down the road that I must travel (will you follow?)
Kýrie, eléison
Through the darkness of the night

Kýrie, eléison
Where I'm going, will you follow?  (will you follow)","['classic pop and rock', 'soft rock']",385.2,9,1986,4.800000000000001,89.75,308,42,"{'neg': 0.048, 'neu': 0.937, 'pos': 0.015, 'compound': -0.8378}",Kyrie,2.5,Mr. Mister,20,57
"The lights are on, but you're not home
Your mind is not your own
Your heart sweats, your body shakes
Another kiss is what it takes

You can't sleep no, you can't eat
There's no doubt, you're in deep
Your throat is tight, you can't breathe
Another kiss is all you need

Oh, you like to think that you're immune to the stuff, oh yeah
It's closer to the truth to say you can't get enough
You know you're gonna have to face it
You're addicted to love

You see the signs, but you can't read
You're runnin' at a different speed
Your heart beats in double time
Another kiss and you'll be mine

A one track mind, you can't be saved
Oblivion is all you crave
If there's some left for you
You don't mind if you do

Oh, you like to think that you're immune to the stuff, oh yeah
It's closer to the truth to say you can't get enough
You know you're gonna have to face it
You're addicted to love

Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love

Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love

Addicted to love
You're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love

Might as well face it
Might as well face it
Might as well face it
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love

Ooh, oh

Your lights are on, but you're not home
Your will is not your own
Your heart sweats and teeth grind
Another kiss and you'll be mine

Woah, you like to think that you're immune to the stuff, oh yeah
It's closer to the truth to say you can't get enough
You know you're gonna have to face it
You're addicted to love

Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love

Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love

Might as well face it
Might as well face it, you're addicted to love
Might as well face it
Might as well face it

Might as well face it
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love

Might as well face it, you're addicted to love","['blue-eyed soul', 'british', 'classic pop and rock', 'death by heart attack', 'england', 'english', 'funk rock', 'pop', 'pop rock', 'rock', 'synthpop', 'uk']",648.9,10,1986,4.800000000000001,89.75,506,66,"{'neg': 0.008, 'neu': 0.5690000000000001, 'pos': 0.423, 'compound': 0.9999}",Addicted To Love,2.5,Robert Palmer,14,55
"I believe the children are our future
Teach them well and let them lead the way
Show them all the beauty they possess inside
Give them a sense of pride to make it easier
Let the children's laughter remind us how we used to be

Everybody's searching for a hero
People need someone to look up to
I never found anyone who fulfilled my needs
A lonely place to be
And so I learned to depend on me

I decided long ago
Never to walk in anyone's shadows
If I fail, if I succeed
At least I live as I believe
No matter what they take from me
They can't take away my dignity

Because the greatest love of all is happening to me
I found the greatest love of all inside of me
The greatest love of all is easy to achieve 
Learning to love yourself it is the greatest love of all

I believe the children are our future
Teach them well and let them lead the way
Show them all the beauty they possess inside
Give them a sense of pride to make it easier
Let the children's laughter remind us how we used to be

I decided long ago
Never to walk in anyone's shadows
If I fail, if I succeed
At least I live as I believe
No matter what they take from me
They can't take away my dignity

Because the greatest love of all is happening to me
I found the greatest love of all inside of me
The greatest love of all is easy to achieve
Learning to love yourself it is the greatest love of all

And if by chance that special place
That you've been dreaming of
Leads you to a lonely place
Find your strength in love","['adult contemporary', 'contemporary r&b', 'dance-pop', 'death by drowning', 'new jack swing', 'o happy day', 'pop', 'pop soul', 'r&b', 'soul and reggae']",393.3,11,1986,4.800000000000001,89.75,298,39,"{'neg': 0.042, 'neu': 0.59, 'pos': 0.367, 'compound': 0.9991000000000001}",Greatest Love Of All,2.5,Whitney Houston,27,20
"(HER)
Here we are, just the two of us together
Takin' this crazy chance to be all alone
We both know that we should not be together
'Cause if we're found out, it could mess up
Both our happy homes
(HIM)
I hate to think about us all meetin' up together
'Cause as soon as I look at you it will show on my face, yeah
Then they'll know that we've been loving each other
We can't let 'em know, no, no, no
We can't leave a trace

(BOTH)
Secret lovers, yeah, that's what we are
We shouldn't be together
But we can't let go, no, no
'Cause we love each other so
Ooh ooh

(HER)
Sittin' at home, I do nothin' all day
But I think about you and hope that you're okay
Hopin' you'll call before anyone gets home
I wait anxiously alone by the phone
(HIM)
How could something so wrong be so right
I wish we didn't have to keep our love out of sight, yeah
Livin' two lives just ain't easy at all
But we gotta hang on in there or fall

CHORUS:
(BOTH)
Secret lovers, yeah, that's what we are
Tryin' so hard to hide the way we feel
'Cause we both belong to someone else
But we can't let go
'Cause what we feel is, oh, so real
So real, so real

(BOTH)
You and me, are we fair
Is this cruel or do we care
Can they tell what's in our minds
Maybe they've had secret loves all of the time

(HIM)
In the middle of makin' love we notice the time
We both get nervous 'cause it's way after nine
(HER)
Even though we hate it, we know it's time that we go
We gotta be careful so that no one will know

CHORUS
So real, so real","['contemporary r&b', 'disco', 'pop', 'pop soul', 'rhythm & blues', 'smooth soul']",364.5,12,1986,5.2,97.2,307,37,"{'neg': 0.131, 'neu': 0.712, 'pos': 0.157, 'compound': 0.9127000000000001}",Secret Lovers,1.7000000000000002,Atlantic Starr,22,13
