,Artist,Song_Title
0,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road
1,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)
2,Halsey,Without Me
3,Billie Eilish,Bad Guy
4,Post Malone,Wow.
5,Marshmello & Bastille,Happier
6,Ariana Grande,7 Rings
7,Khalid,Talk
8,Travis Scott,Sicko Mode
9,Jonas Brothers,Sucker
10,Panic! At The Disco,High Hopes
11,Ariana Grande,"Thank U, Next"
12,Lizzo,Truth Hurts
13,Sam Smith & Normani,Dancing With A Stranger
14,Shawn Mendes & Camila Cabello,Senorita
15,Ed Sheeran & Justin Bieber,I Don't Care
16,"benny blanco, Halsey & Khalid",Eastside
17,Meek Mill Featuring Drake,Going Bad
18,Lady Gaga & Bradley Cooper,Shallow
19,Khalid,Better
20,Chris Brown Featuring Drake,No Guidance
21,Maroon 5 Featuring Cardi B,Girls Like You
22,Ava Max,Sweet But Psycho
23,DaBaby,Suge
24,J. Cole,Middle Child
25,Lil Baby & Gunna,Drip Too Hard
26,Lewis Capaldi,Someone You Loved
27,Lil Tecca,Ran$om
28,Shawn Mendes,If I Can't Have You
29,Post Malone Featuring Young Thug,Goodbyes
30,Kodak Black Featuring Travis Scott & Offset,ZEZE
31,Post Malone,Better Now
32,5 Seconds Of Summer,Youngblood
33,Drake Featuring Rick Ross,Money In The Grave
34,Dan + Shay,Speechless
35,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored"
36,Cardi B & Bruno Mars,Please Me
37,Cardi B,Money
38,Taylor Swift,You Need To Calm Down
39,Lil Nas X,Panini
40,A Boogie Wit da Hoodie,Look Back At It
41,21 Savage,A Lot
42,Taylor Swift Featuring Brendon Urie,ME!
43,Bad Bunny Featuring Drake,MIA
44,Polo G Featuring Lil Tjay,Pop Out
45,Luke Combs,Beautiful Crazy
46,Blueface,Thotiana
47,Juice WRLD,Lucid Dreams
48,Sheck Wes,Mo Bamba
49,Ed Sheeran Featuring Khalid,Beautiful People
50,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky
51,Morgan Wallen,Whiskey Glasses
52,Blake Shelton,God's Country
53,Dean Lewis,Be Alright
54,Mustard & Migos,Pure Water
55,Blanco Brown,The Git Up
56,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki
57,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me
58,Calboy,Envy Me
59,Lauren Daigle,You Say
60,Panic! At The Disco,"Hey Look Ma, I Made It"
61,Post Malone,Circles
62,Luke Combs,Beer Never Broke My Heart
63,"Young Thug, J. Cole & Travis Scott",The London
64,Daddy Yankee & Katy Perry Featuring Snow,Con Calma
65,YNW Melly,Murder On My Mind
66,Billie Eilish,When The Party's Over
67,City Girls,Act Up
68,"Cardi B, Bad Bunny & J Balvin",I Like It
69,SHAED,Trampoline
70,Flipp Dinero,Leave Me Alone
71,Ariana Grande,Breathin
72,Billie Eilish,Bury A Friend
73,Lil Baby,Close Friends
74,Pinkfong,Baby Shark
75,Saweetie,My Type
76,YK Osiris,Worth It
77,Jonas Brothers,Only Human
78,Luke Bryan,Knockin' Boots
79,Ella Mai,Trip
80,Lee Brice,Rumor
81,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin
82,Sam Smith,How Do You Sleep?
83,Lil Baby & DaBaby,Baby
84,Thomas Rhett,Look What God Gave Her
85,Kane Brown,Good As You
86,Offset Featuring Cardi B,Clout
87,Khalid & Normani,Love Lies
88,Marshmello & Kane Brown,One Thing Right
89,Megan Thee Stallion Featuring DaBaby,Cash Shit
90,Dan + Shay,Tequila
91,NLE Choppa,Shotta Flow
92,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer
93,Florida Georgia Line,Talk You Out Of It
94,Bazzi Featuring Camila Cabello,Beautiful
95,Chase Rice,Eyes On You
96,Dan + Shay,All To Myself
97,Ariana Grande & Social House,Boyfriend
98,P!nk,Walk Me Home
99,Juice WRLD,Robbery
