,Artist,Song_Title
0,Gotye Featuring Kimbra,Somebody That I Used To Know
1,Carly Rae Jepsen,Call Me Maybe
2,fun. Featuring Janelle Monae,We Are Young
3,Maroon 5 Featuring Wiz Khalifa,Payphone
4,Ellie Goulding,Lights
5,The Wanted,Glad You Came
6,Kelly Clarkson,Stronger (What Doesn't Kill You)
7,Rihanna Featuring Calvin Harris,We Found Love
8,Nicki Minaj,Starships
9,One Direction,What Makes You Beautiful
10,Flo Rida Featuring Sia,Wild Ones
11,Adele,Set Fire To The Rain
12,LMFAO,Sexy And I Know It
13,fun.,Some Nights
14,Katy Perry,Wide Awake
15,Flo Rida,Good Feeling
16,Flo Rida,Whistle
17,Maroon 5,One More Night
18,Train,Drive By
19,Drake Featuring Lil Wayne,The Motto
20,Rihanna,Where Have You Been
21,Neon Trees,Everybody Talks
22,Drake Featuring Rihanna,Take Care
23,David Guetta Featuring Sia,Titanium
24,Jason Mraz,I Won't Give Up
25,Bruno Mars,It Will Rain
26,"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy
27,Justin Bieber,Boyfriend
28,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem
29,Alex Clare,Too Close
30,Katy Perry,Part Of Me
31,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,"Young, Wild & Free"
32,Taylor Swift,We Are Never Ever Getting Back Together
33,Justin Bieber Featuring Big Sean,As Long As You Love Me
34,David Guetta Featuring Nicki Minaj,Turn Me On
35,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger
36,P!nk,Blow Me (One Last Kiss)
37,Owl City & Carly Rae Jepsen,Good Time
38,Demi Lovato,Give Your Heart A Break
39,Jay Z Kanye West,Ni**as in Paris
40,Katy Perry,The One That Got Away
41,Calvin Harris,Feel So Close
42,Adele,Someone Like You
43,Usher,Scream
44,Tyga,Rack City
45,Jessie J,Domino
46,PSY,Gangnam Style
47,Pitbull Featuring Chris Brown,International Love
48,Phillip Phillips,Home
49,David Guetta Featuring Usher,Without You
50,Gym Class Heroes Featuring Neon Hitch,Ass Back Home
51,Hunter Hayes,Wanted
52,Luke Bryan,Drunk On You
53,2 Chainz Featuring Drake,No Lie
54,Cher Lloyd,Want U Back
55,Chris Brown,Don't Wake Me Up
56,Big Sean Featuring Nicki Minaj,Dance (A$$)
57,Eric Church,Springsteen
58,Karmin,Brokenhearted
59,Gavin DeGraw,Not Over You
60,Gym Class Heroes Featuring Adam Levine,Stereo Hearts
61,Pitbull,Back In Time
62,J. Cole,Work Out
63,Adele,Rumour Has It
64,Calvin Harris Featuring Ne-Yo,Let's Go
65,Carrie Underwood,Good Girl
66,Little Big Town,Pontoon
67,The Lumineers,Ho Hey
68,Coldplay,Paradise
69,Carrie Underwood,Blown Away
70,Adele,Rolling In The Deep
71,Usher,Climax
72,Wiz Khalifa,"Work Hard, Play Hard"
73,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself)
74,Nicki Minaj,Pound The Alarm
75,Kenny Chesney,Come Over
76,Trey Songz,Heart Attack
77,Kirko Bangz,Drank In My Cup
78,Rihanna Featuring Chris Brown,Birthday Cake
79,B.o.B,So Good
80,Train,50 Ways To Say Goodbye
81,Toby Keith,Red Solo Cup
82,Selena Gomez & The Scene,Love You Like A Love Song
83,Chris Brown,Turn Up The Music
84,Ke$ha,Die Young
85,T-Pain Featuring Wiz Khalifa & Lily Allen,5 O'Clock
86,Christina Perri,A Thousand Years
87,Jason Aldean,Take A Little Ride
88,Rihanna,You Da One
89,Havana Brown Featuring Pitbull,We Run The Night
90,Imagine Dragons,It's Time
91,Ca$h Out,Cashin' Out
92,Luke Bryan,I Don't Want This Night To End
93,Rihanna,Diamonds
94,Lee Brice,Hard To Love
95,Kip Moore,Somethin' 'Bout A Truck
96,Miguel,Adorn
97,Jason Aldean,Fly Over States
98,Eli Young Band,Even If It Breaks Your Heart
99,Linkin Park,Burn It Down
