,Artist,Song_Title
0,Mark Ronson Featuring Bruno Mars,Uptown Funk!
1,Ed Sheeran,Thinking Out Loud
2,Wiz Khalifa Featuring Charlie Puth,See You Again
3,Fetty Wap,Trap Queen
4,Maroon 5,Sugar
5,WALK THE MOON,Shut Up And Dance
6,Taylor Swift,Blank Space
7,Silento,Watch Me
8,The Weeknd,Earned It (Fifty Shades Of Grey)
9,The Weeknd,The Hills
10,OMI,Cheerleader
11,The Weeknd,Can't Feel My Face
12,Ellie Goulding,Love Me Like You Do
13,Hozier,Take Me To Church
14,Taylor Swift Featuring Kendrick Lamar,Bad Blood
15,Major Lazer & DJ Snake Featuring MO,Lean On
16,Jason Derulo,Want To Want Me
17,Taylor Swift,Shake It Off
18,Skrillex & Diplo With Justin Bieber,Where Are U Now
19,Rachel Platten,Fight Song
20,Fetty Wap Featuring Remy Boyz,679
21,Meghan Trainor,Lips Are Movin
22,Fifth Harmony Featuring Kid Ink,Worth It
23,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be
24,Andy Grammer,"Honey, I'm Good."
25,Sam Smith,I'm Not The Only One
26,Selena Gomez Featuring A$AP Rocky,Good For You
27,Meghan Trainor,All About That Bass
28,Taylor Swift,Style
29,Drake,Hotline Bling
30,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Hey Mama
31,Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.
32,Justin Bieber,What Do You Mean?
33,Ed Sheeran,Photograph
34,Adele,Hello
35,Shawn Mendes,Stitches
36,Tove Lo,Talking Body
37,Nick Jonas,Jealous
38,Pitbull & Ne-Yo,Time Of Our Lives
39,R. City Featuring Adam Levine,Locked Away
40,Natalie La Rose Featuring Jeremih,Somebody
41,Rihanna & Kanye West & Paul McCartney,FourFiveSeconds
42,Fall Out Boy,Centuries
43,Fetty Wap Featuring Monty,My Way
44,Sam Hunt,Take Your Time
45,Maroon 5,Animals
46,Big Sean Featuring E-40,I Don't F**k With You
47,Rihanna,B**** Better Have My Money
48,Rich Homie Quan,Flex (Ooh Ooh Ooh)
49,T-Wayne,Nasty Freestyle
50,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Only
51,Sia,Elastic Heart
52,Demi Lovato,Cool For The Summer
53,X Ambassadors,Renegades
54,Usher Featuring Juicy J,I Don't Mind
55,Ariana Grande & The Weeknd,Love Me Harder
56,Taylor Swift,Wildest Dreams
57,Sam Smith,Stay With Me
58,DJ Snake & AlunaGeorge,You Know You Like It
59,Fall Out Boy,Uma Thurman
60,Beyonce,7/11
61,Selena Gomez,The Heart Wants What It Wants
62,Little Big Town,Girl Crush
63,Trey Songz,Slow Motion
64,One Direction,Drag Me Down
65,Nicki Minaj Featuring Drake & Lil Wayne,Truffle Butter
66,Ariana Grande,One Last Time
67,Nick Jonas,Chains
68,Meek Mill Featuring Chris Brown & Nicki Minaj,All Eyes On You
69,Rae Sremmurd,No Type
70,Vance Joy,Riptide
71,Jidenna Featuring Roman GianArthur,Classic Man
72,Elle King,Ex's & Oh's
73,Meghan Trainor,Dear Future Husband
74,Charlie Puth Featuring Meghan Trainor,Marvin Gaye
75,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You
76,Tove Lo,Habits (Stay High)
77,James Newton Howard Featuring Jennifer Lawrence,The Hanging Tree
78,O.T. Genasis,CoCo
79,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang
80,Sam Smith,Lay Me Down
81,I LOVE MAKONNEN Featuring Drake,Tuesday
82,iLoveMemphis,Hit The Quan
83,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown
84,Sam Hunt,House Party
85,Chris Brown & Tyga,Ayo
86,Luke Bryan,Kick The Dust Up
87,Big Sean Featuring Drake,Blessings
88,George Ezra,Budapest
89,Sia,Chandelier
90,Kelly Clarkson,Heartbeat Song
91,Ed Sheeran,Don't
92,Ella Henderson,Ghost
93,Alessia Cara,Here
94,Mr. Probz,Waves
95,Nicky Jam & Enrique Iglesias,El Perdon (Forgiveness)
96,Ne-Yo Featuring Juicy J,She Knows
97,One Direction,Night Changes
98,Drake,Back To Back
99,Calvin Harris & Disciples,How Deep Is Your Love
