,Artist,Song_Title
0,Ke$ha,TiK ToK
1,Lady Antebellum,Need You Now
2,Train,"Hey, Soul Sister"
3,Katy Perry Featuring Snoop Dogg,California Gurls
4,Usher Featuring will.i.am,OMG
5,B.o.B Featuring Hayley Williams,Airplanes
6,Eminem Featuring Rihanna,Love The Way You Lie
7,Lady Gaga,Bad Romance
8,Taio Cruz,Dynamite
9,Taio Cruz Featuring Ludacris,Break Your Heart
10,B.o.B Featuring Bruno Mars,Nothin' On You
11,Enrique Iglesias Featuring Pitbull,I Like It
12,Young Money Featuring Lloyd,BedRock
13,Jason Derulo,In My Head
14,Rihanna,Rude Boy
15,Lady Gaga Featuring Beyonce,Telephone
16,Katy Perry,Teenage Dream
17,Bruno Mars,Just The Way You Are
18,Mike Posner,Cooler Than Me
19,The Black Eyed Peas,Imma Be
20,Jay-Z + Alicia Keys,Empire State Of Mind
21,Usher Featuring Pitbull,DJ Got Us Fallin' In Love
22,Travie McCoy Featuring Bruno Mars,Billionaire
23,Eminem,Not Afraid
24,Iyaz,Replay
25,David Guetta Featuring Akon,Sexy Chick
26,The Script,Breakeven
27,Ke$ha,Your Love Is My Drug
28,The Black Eyed Peas,I Gotta Feeling
29,Owl City,Fireflies
30,Trey Songz Featuring Fabolous,Say Aah
31,Drake,Find Your Love
32,Lady Gaga,Alejandro
33,Jason Derulo,Ridin' Solo
34,Nelly,Just A Dream
35,Ludacris,How Low
36,Far*East Movement Featuring Cataracs & Dev,Like A G6
37,Timbaland Featuring Justin Timberlake,Carry Out
38,Michael Buble,Haven't Met You Yet
39,Flo Rida Featuring David Guetta,Club Can't Handle Me
40,Jay Sean Featuring Lil Wayne,Down
41,La Roux,Bulletproof
42,Jason Derulo,Whatcha Say
43,Justin Bieber Featuring Ludacris,Baby
44,Adam Lambert,Whataya Want From Me
45,Taylor Swift,Mine
46,Rihanna,Only Girl (In The World)
47,Kris Allen,Live Like We're Dying
48,Rihanna Featuring Jeezy,Hard
49,Jay-Z + Mr. Hudson,Young Forever
50,Ke$ha Featuring 3OH!3,Blah Blah Blah
51,Trey Songz Featuring Nicki Minaj,Bottoms Up
52,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember
53,OneRepublic,All The Right Moves
54,Orianthi,According To You
55,Ludacris Featuring Nicki Minaj,My Chick Bad
56,Taylor Swift,You Belong With Me
57,The Black Eyed Peas,Meet Me Halfway
58,Ke$ha,Take It Off
59,Drake,Over
60,Neon Trees,Animal
61,Maroon 5,Misery
62,B.o.B Featuring Rivers Cuomo,Magic
63,Lady Gaga,Paparazzi
64,New Boyz Featuring Ray J,Tie Me Down
65,Nicki Minaj,Your Love
66,Miley Cyrus,Party In The U.S.A.
67,Chris Brown Featuring Tyga & Kevin McCall,Deuces
68,Britney Spears,3
69,Shontelle,Impossible
70,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever
71,Boys Like Girls Featuring Taylor Swift,Two Is Better Than One
72,3OH!3 Featuring Ke$ha,My First Kiss
73,Kelly Clarkson,Already Gone
74,The Black Eyed Peas,Rock That Body
75,OneRepublic,Secrets
76,Selena Gomez & The Scene,Naturally
77,Alicia Keys,Un-Thinkable (I'm Ready)
78,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",All I Do Is Win
79,"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",I Made It (Cash Money Heroes)
80,Sugarland,Stuck Like Glue
81,Usher Featuring Plies,Hey Daddy (Daddy's Home)
82,Usher,There Goes My Baby
83,Taylor Swift,Today Was A Fairytale
84,Timbaland Featuring Drake,Say Something
85,Beyonce,Sweet Dreams
86,Kings Of Leon,Use Somebody
87,Carrie Underwood,Undo It
88,Sean Kingston & Justin Bieber,Eenie Meenie
89,Lil Wayne Featuring Drake,Right Above It
90,Miranda Lambert,The House That Built Me
91,The Band Perry,If I Die Young
92,Paramore,The Only Exception
93,Lady Antebellum,American Honey
94,Sara Bareilles,King Of Anything
95,Daughtry,Life After You
96,Uncle Kracker,Smile
97,Cali Swag District,Teach Me How To Dougie
98,Alicia Keys,Try Sleeping With A Broken Heart
99,Jerrod Niemann,"Lover, Lover"
