,Artist,Song_Title
0,The Black Eyed Peas,Boom Boom Pow
1,Lady Gaga,Poker Face
2,Lady Gaga Featuring Colby O'Donis,Just Dance
3,The Black Eyed Peas,I Gotta Feeling
4,Taylor Swift,Love Story
5,Flo Rida,Right Round
6,Jason Mraz,I'm Yours
7,Beyonce,Single Ladies (Put A Ring On It)
8,Kanye West,Heartless
9,The All-American Rejects,Gives You Hell
10,Taylor Swift,You Belong With Me
11,T.I. Featuring Justin Timberlake,Dead And Gone
12,The Fray,You Found Me
13,Kings Of Leon,Use Somebody
14,Keri Hilson Featuring Kanye West & Ne-Yo,Knock You Down
15,Jamie Foxx Featuring T-Pain,Blame It
16,Pitbull,I Know You Want Me (Calle Ocho)
17,T.I. Featuring Rihanna,Live Your Life
18,Soulja Boy Tell 'em Featuring Sammie,Kiss Me Thru The Phone
19,Jay Sean Featuring Lil Wayne,Down
20,Miley Cyrus,The Climb
21,Drake,Best I Ever Had
22,Kelly Clarkson,My Life Would Suck Without You
23,Beyonce,Halo
24,Katy Perry,Hot N Cold
25,Shinedown,Second Chance
26,Britney Spears,Circus
27,Kid Cudi,Day 'N' Nite
28,Miley Cyrus,Party In The U.S.A.
29,3OH!3,Don't Trust Me
30,"Jay-Z, Rihanna & Kanye West",Run This Town
31,Kevin Rudolf Featuring Lil Wayne,Let It Rock
32,Sean Kingston,Fire Burning
33,Jason Derulo,Whatcha Say
34,Lady Gaga,LoveGame
35,Katy Perry,Waking Up In Vegas
36,Jeremih,Birthday Sex
37,P!nk,Sober
38,Britney Spears,Womanizer
39,T.I.,Whatever You Like
40,Mariah Carey,Obsessed
41,Ne-Yo,Mad
42,Cobra Starship Featuring Leighton Meester,Good Girls Go Bad
43,Kanye West,Love Lockdown
44,P!nk,So What
45,Pitbull,Hotel Room Service
46,"Eminem, Dr. Dre & 50 Cent",Crack A Bottle
47,Beyonce,If I Were A Boy
48,Keri Hilson Featuring Lil Wayne,Turnin Me On
49,The Pussycat Dolls,I Hate This Part
50,Nickelback,Gotta Be Somebody
51,P!nk,Please Don't Leave Me
52,Lady Gaga,Paparazzi
53,Akon Featuring Colby O'Donis & Kardinal Offishall,Beautiful
54,Coldplay,Viva La Vida
55,Akon,Right Now (Na Na Na)
56,Jordin Sparks,Battlefield
57,Flo Rida Featuring Wynter,Sugar
58,Ne-Yo,Miss Independent
59,Owl City,Fireflies
60,Linkin Park,New Divide
61,Jay-Z + Alicia Keys,Empire State Of Mind
62,Daughtry,No Surprise
63,Shakira,She Wolf
64,Mario Featuring Gucci Mane & Sean Garrett,Break Up
65,Beyonce,Sweet Dreams
66,Young Money,Every Girl
67,Colbie Caillat,Fallin' For You
68,The Veronicas,Untouched
69,Nickelback,If Today Was Your Last Day
70,Fabolous Featuring The-Dream,Throw It In The Bag
71,Boys Like Girls,Love Drunk
72,Asher Roth,I Love College
73,Britney Spears,If U Seek Amy
74,Jason Aldean,Big Green Tractor
75,Taylor Swift,White Horse
76,Rihanna,Disturbia
77,Green Day,21 Guns
78,Soulja Boy Tell'em,Turn My Swag On
79,The-Dream,Rockin' That Thang
80,Zac Brown Band,Chicken Fried
81,Beyonce,Diva
82,Iyaz,Replay
83,Brad Paisley,Then
84,Rob Thomas,Her Diamonds
85,Jesse McCartney Featuring Ludacris,How Do You Sleep?
86,Britney Spears,3
87,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever
88,Justin Bieber,One Time
89,Lady Antebellum,I Run To You
90,Kelly Clarkson,I Do Not Hook Up
91,John Legend Featuring Andre 3000,Green Light
92,Billy Currington,People Are Crazy
93,Zac Brown Band,Whatever It Is
94,Kelly Clarkson,Already Gone
95,Kristinia DeBarge,Goodbye
96,Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey (I Love You)
97,Jim Jones & Ron Browz Featuring Juelz Santana,Pop Champagne
98,Maxwell,Pretty Wings
99,The Fray,Never Say Never
