,Artist,Song_Title
0,Adele,Rolling In The Deep
1,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem
2,Katy Perry,Firework
3,Katy Perry Featuring Kanye West,E.T.
4,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Give Me Everything
5,Bruno Mars,Grenade
6,Nicki Minaj,Super Bass
7,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger
8,The Black Eyed Peas,Just Can't Get Enough
9,Jennifer Lopez Featuring Pitbull,On The Floor
10,Rihanna,S&M
11,Foster The People,Pumped Up Kicks
12,Katy Perry,Last Friday Night (T.G.I.F.)
13,Bruno Mars,Just The Way You Are
14,Enrique Iglesias Featuring Ludacris & DJ Frank E,Tonight (I'm Lovin' You)
15,P!nk,Raise Your Glass
16,Lady Gaga,Born This Way
17,P!nk,F**kin' Perfect
18,Rihanna Featuring Drake,What's My Name?
19,Chris Brown Featuring Lil Wayne & Busta Rhymes,Look At Me Now
20,Jeremih Featuring 50 Cent,Down On Me
21,Lil Wayne,How To Love
22,Adele,Someone Like You
23,OneRepublic,Good Life
24,Bruno Mars,The Lazy Song
25,Britney Spears,Till The World Ends
26,Lupe Fiasco,The Show Goes On
27,Lady Gaga,The Edge Of Glory
28,Ke$ha,We R Who We R
29,Wiz Khalifa,Black And Yellow
30,Hot Chelle Rae,Tonight Tonight
31,Ke$ha,Blow
32,Bad Meets Evil Featuring Bruno Mars,Lighters
33,The Band Perry,If I Die Young
34,Gym Class Heroes Featuring Adam Levine,Stereo Hearts
35,The Black Eyed Peas,The Time (Dirty Bit)
36,Diddy - Dirty Money Featuring Skylar Grey,Coming Home
37,Pitbull Featuring T-Pain,Hey Baby (Drop It To The Floor)
38,Rihanna,Only Girl (In The World)
39,Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot
40,Lady Antebellum,Just A Kiss
41,Jason Aldean,Dirt Road Anthem
42,Taio Cruz,Dynamite
43,Waka Flocka Flame Featuring Roscoe Dash & Wale,No Hands
44,Britney Spears,I Wanna Go
45,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",I'm On One
46,Cobra Starship Featuring Sabi,You Make Me Feel...
47,Chris Brown,Yeah 3X
48,Nicki Minaj Featuring Drake,Moment 4 Life
49,Dr. Dre Featuring Eminem & Skylar Grey,I Need A Doctor
50,Nelly,Just A Dream
51,Kelly Rowland Featuring Lil Wayne,Motivation
52,Edward Maya & Vika Jigulina,Stereo Love
53,Christina Perri,Jar Of Hearts
54,Wiz Khalifa,Roll Up
55,LMFAO,Sexy And I Know It
56,Far*East Movement Featuring Ryan Tedder,Rocketeer
57,Kanye West,All Of The Lights
58,Britney Spears,Hold It Against Me
59,Usher,More
60,Avril Lavigne,What The Hell
61,Tinie Tempah Featuring Eric Turner,Written In The Stars
62,Trey Songz Featuring Nicki Minaj,Bottoms Up
63,Usher Featuring Pitbull,DJ Got Us Fallin' In Love
64,The Script,For The First Time
65,Blake Shelton,Honey Bee
66,Jason Aldean With Kelly Clarkson,Don't You Wanna Stay
67,Rihanna Featuring Calvin Harris,We Found Love
68,Keri Hilson,Pretty Girl Rock
69,Lady Gaga,You And I
70,Far*East Movement Featuring Cataracs & Dev,Like A G6
71,David Guetta Featuring Usher,Without You
72,Taylor Swift,Back To December
73,Katy Perry,Teenage Dream
74,Eli Young Band,Crazy Girl
75,Rihanna,Cheers (Drink To That)
76,Selena Gomez & The Scene,Who Says
77,Jake Owen,Barefoot Blue Jean Night
78,Zac Brown Band Featuring Jimmy Buffett,Knee Deep
79,Luke Bryan,Country Girl (Shake It For Me)
80,Brad Paisley Duet With Carrie Underwood,Remind Me
81,Dev,In The Dark
82,New Boyz Featuring The Cataracs & Dev,Backseat
83,Drake,Headlines
84,Beyonce,Best Thing I Never Had
85,Jason Derulo,Don't Wanna Go Home
86,David Guetta Featuring Flo Rida & Nicki Minaj,Where Them Girls At
87,Chris Brown,She Ain't You
88,Rodney Atkins,Take A Back Road
89,Mike Posner,Please Don't Go
90,Miguel,Sure Thing
91,Jessie J Featuring B.o.B,Price Tag
92,Blake Shelton,God Gave Me You
93,Lil Wayne Featuring Drake,She Will
94,Thompson Square,Are You Gonna Kiss Me Or Not
95,Neon Trees,Animal
96,Kenny Chesney Featuring Grace Potter,You And Tequila
97,Zac Brown Band,Colder Weather
98,Big Sean Featuring Chris Brown,My Last
