title,artist
Y.M.C.A.,Village People
Yeah!,Usher
You And I,Eddie Rabbitt
You And Me,Lifehouse
You Are Not Alone,Michael Jackson
You Are The Sunshine Of My Life,Stevie Wonder
You Belong With Me,Taylor Swift
You Can't Hurry Love,Supremes
You Don't Bring Me Flowers,Barbra Streisand
You Gotta Be,Des'ree
You Make Me Feel Like Dancing,Leo Sayer
You Make Me Wanna...,Usher
You Mean The World To Me,Toni Braxton
You Sang To Me,Marc Anthony
You Sexy Thing,Hot Chocolate
You're Beautiful,James Blunt
You're So Vain,Carly Simon
You're Still The One,Shania Twain
You're The One That I Want,John Travolta
You've Got A Friend,James Taylor
