lyrics,tags,num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,sentiment,title,f_k_grade,artist,difficult_words,num_dupes
"I fall to pieces
Each time I see you again
I fall to pieces
How can I be just your friend?

You want me to act like we've never kissed
You want me to forget (to forget)
Pretend we've never met (never met)
And I've tried and I've tried, but I haven't yet
You walk by and I fall to pieces

I fall to pieces
Each time someone speaks your name (speaks your name)
I fall to pieces
Time only adds to the flame

You tell me to find someone else to love
Someone who'll love me too (love me too)
The way you used to do (used to do)
But each time I go out with someone new
You walk by and I fall to pieces
You walk by and I fall to pieces","['american', 'country', 'death by airplane', 'gospel', 'honky tonk', 'nashville sound', 'pop', 'rock', 'rock and indie', 'rock roll', 'traditional country']",160.2,2,1961,4.800000000000001,98.21,135,19,"{'neg': 0.031, 'neu': 0.854, 'pos': 0.115, 'compound': 0.9247000000000001}",I Fall To Pieces,1.3,Patsy Cline,9,7
"As I walk along, I wonder
A-what went wrong with our love
A love that was so strong

And as I still walk on, I think of
The things we've done together
While our hearts were young

I'm a-walkin' in the rain
Tears are fallin' and I feel the pain
Wishin' you were here by me
To end this misery

I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why
She ran away

And I wonder
Where she will stay
My little runaway
A-run, run, run, run, runaway

I'm a-walkin' in the rain
Tears are fallin' and I feel the pain
Wishin' you were here by me
To end this misery

And I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why
She ran away

And I wonder
Where she will stay
My little runaway
A-run, run, run, run, runaway
A-run, run, run, run, runaway
A-run, run, run, run, runaway","['classic pop and rock', 'country', 'death by gun', 'death by suicide', 'del shannon greatest hits', 'pop', 'pop rock', 'psychedelic pop', 'rock & roll', 'teen pop']",193.5,5,1961,4.0,91.78,150,29,"{'neg': 0.137, 'neu': 0.784, 'pos': 0.078, 'compound': -0.8229000000000001}",Runaway,1.7000000000000002,Del Shannon,14,21
"It's pony time, get up
(Boogety, boogety, boogety, boogety shoo)

Hey now everybody
(Boogety, boogety, boogety, boogety shoo)
In the union hall
(Boogety, boogety, boogety, boogety shoo)
It's pony time
(Boogety, boogety, boogety, boogety shoo)
When ya hear this call
(Boogety, boogety, boogety, boogety shoo)

So get with it
Don't quit it
Get up
(Boogety, boogety, boogety, boogety shoo)

Do the pony with your partner
(Boogety, boogety, boogety, boogety shoo)
With a big boss line
(Boogety, boogety, boogety, boogety shoo)
Well anyway ya do it
(Boogety, boogety, boogety, boogety shoo)
You're gonna look real fine
(Boogety, boogety, boogety, boogety shoo)

So get with it
Don't quit it
Get up
(Boogety, boogety, boogety, boogety shoo)

Now ya turn to the left when I say gee
You turn to the right when I say haw
Now gee, ya ya baby
Now haw
Oh baby, oh baby, pretty baby
Do it baby, oh baby, oh baby
(Boogety, boogety, boogety, boogety shoo)

Gonna see little Suzie
(Boogety, boogety, boogety, boogety shoo)
You know she lives next door
(Boogety, boogety, boogety, boogety shoo)
She's doin' the pony
(Boogety, boogety, boogety, boogety shoo)
She's takin' the floor
(Boogety, boogety, boogety, boogety shoo)

Eeea ah, so get with it
Don't quit it
Come on
(Boogety, boogety, boogety, boogety shoo)

Do the pony with your partner
(Boogety, boogety, boogety, boogety shoo)
Oh in a big boss line
(Boogety, boogety, boogety, boogety shoo)
But anyway you do it
(Boogety, boogety, boogety, boogety shoo)
You're gonna look just fine
(Boogety, boogety, boogety, boogety shoo)

So get with
Don't quit it
Get up.  Eeeaaah

Now you turn to the left when I say gee
You turn to the right when I say haw
Now gee, ya ya little baby
Now haw, ya
Oh baby, oh baby, pretty baby
Do it baby, oh baby, oh baby
(Boogety, boogety, boogety, boogety shoo)","['rhythm & blues', 'rock & roll']",480.6,7,1961,4.0,66.4,309,58,"{'neg': 0.0, 'neu': 0.961, 'pos': 0.039, 'compound': 0.8779}",Pony Time,5.2,Chubby Checker,12,39
"Just runnin' scared each place we go
So afraid that he might show
Yeah, runnin' scared, what would I do?
If he came back and wanted you

Just runnin' scared, feelin' low
Runnin' scared, you love him so
Just runnin' scared, afraid to lose
If he came back which one would you choose

Then all at once he was standing there
So sure of himself, his head in the air
My heart was breaking, which one would it be
You turned around and walked away with me","['american', 'baroque pop', 'classic pop and rock', 'country pop', 'death by heart attack', 'pop', 'pop rock', 'rock', 'rock & roll', 'rockabilly']",106.2,13,1961,4.800000000000001,98.21,87,12,"{'neg': 0.185, 'neu': 0.729, 'pos': 0.08600000000000001, 'compound': -0.8522000000000001}",Running Scared,1.3,Roy Orbison,11,1
"This is dedicated to the one I love...

While I'm far away from you, my baby,
I know it's hard for you, my baby,
Because it's hard for me, my baby,
And the darkest hour is just before dawn---

Each night before you go to bed, my baby,
Whisper a little prayer for me my baby.
And tell all the stars above
This is dedicated to the one I love...

""Life"" can never be exactly like we want it to be.
I could be satisfied knowing you love me.
But there's one thing I want you to do especially for me---
And it's something that everybody needs.

Each night before you go to bed, my baby,
Whisper a little prayer for me, my baby,
And tell all the stars above---
This is dedicated to the one I love.
This is dedicated to the one I love
This is dedicated to the one I love...","['pop', 'rnb', 'soul']",201.6,14,1961,5.2,88.74,154,19,"{'neg': 0.049, 'neu': 0.779, 'pos': 0.17300000000000001, 'compound': 0.967}",Dedicated To The One I Love,2.9,Shirelles,14,6
"Where the boys are, someone waits for me
A smilin' face, a warm embrace, two arms to hold me tenderly

Where the boys are, my true love will be
He's walkin' down some street in town and I know he's lookin' there for me

In the crowd of a million people I'll find my valentine
And then I'll climb to the highest steeple and tell the world he's mine

'Til he holds me I'll wait impatiently
Where the boys are, where the boys are
Where the boys are, someone waits for me

'Til he holds me I'll wait impatiently
Where the boys are, where the boys are
Where the boys are, someone waits for me","['american', 'pop']",144.9,18,1961,5.6,87.72,115,12,"{'neg': 0.044, 'neu': 0.843, 'pos': 0.113, 'compound': 0.8225}",Where The Boys Are,3.3,Connie Francis,8,7
"Hit the road Jack
And don't you come back no more, no more, no more, no more.
Hit the road Jack
And don't you come back no more.

What you say?
Hit the road Jack
And don't you come back no more, no more, no more, no more.
Hit the road Jack
And don't you come back no more.

Woah Woman, oh woman, don't treat me so mean
You're the meanest old woman that I've ever seen
I guess if you said so
I'd have to pack my things and go
That's right!

Hit the road Jack
And don't you come back no more, no more, no more, no more.
Hit the road Jack
And don't you come back no more.

What you say?
Hit the road Jack
And don't you come back no more, no more, no more, no more.
Hit the road Jack
And don't you come back no more.

Now baby, listen baby, don't ya treat me this-a way
'Cause I'll be back on my feet some day
Don't care if you do 'cause it's understood
You ain't got no money, you just ain't no good
Well, I guess if you say so
I'd have to pack my things and go
That's right!

Hit the road Jack
And don't you come back no more, no more, no more, no more.
Hit the road Jack
And don't you come back no more.

What you say?
Hit the road Jack
And don't you come back no more, no more, no more, no more.
Hit the road Jack
And don't you come back no more.

Well
don't you come back no more.
Uh, what you say?
don't you come back no more.
I didn't understand you
don't you come back no more.
You can't mean that
And don't you come back no more.
Oh, now baby, please
don't you come back no more.
What you tryin' to do to me?
don't you come back no more.
Oh, don't treat me like that
don't you come back no more.","['american', 'blues', 'classic pop and rock', 'country', 'country blues', 'country soul', 'death by lung cancer', 'gospel', 'jazz', 'live in concert', 'piano blues', 'pop', 'rhythm & blues', 'rnb', 'soul', 'soul blues', 'soul jazz', 'the way i feel', 'vocal jazz']",376.2,19,1961,4.4,107.69,338,50,"{'neg': 0.266, 'neu': 0.728, 'pos': 0.006, 'compound': -0.9977}",Hit The Road Jack,-0.30000000000000004,Ray Charles,7,38
"I'm a travelin' man
Made a lot of stops all over the world 
And in every port I own the heart 
Of at least one lovely girl 

I've a pretty Seniorita waiting for me 
Down in old Mexico 
If you're ever in Alaska stop and see 
My cute little Eskimo 

Oh, my sweet Fraulien down in Berlin town 
Makes my heart start to yearn 
And my China doll down in old Hong Kong 
Waits for my return 

Pretty Polynesian baby over the sea 
I remember the night 
When we walked in the sands of the Waikiki 
And I held you oh so tight 

Oh, my sweet Fraulien down in Berlin town 
Makes my heart start to yearn 
And my China doll down in old Hong Kong 
Waits for my return 

Pretty Polynesian baby over the sea 
I remember the night 
When we walked in the sands of the Waikiki 
And I held you oh so tight 

Oh, I'm a travelin' man
Yes, I'm a travelin' man
Yes, I'm a travelin' man
Oh, I'm a travelin' man","['all-time greatest hits', 'death by airplane']",216.9,23,1961,4.4,99.23,176,28,"{'neg': 0.021, 'neu': 0.8290000000000001, 'pos': 0.151, 'compound': 0.975}",Travelin' Man,0.9,Ricky Nelson,15,15
"Let me tell ya a story about a boll weevil
Now, some of you may not know
But a boll weevil is an insect
And he's found mostly where cotton grows
Now, where he comes from, hm, nobody really knows
But this is the way the story goes

The farmer said to the boll weevil
""I see you're on the square""
Boll weevil said to the farmer
""Say yep, my whole darn family's here""

The farmer said to the boll weevil
""Say, why do you pick my farm""
The weevil just laughed at the farmer 'n' said
""We ain't gonna do ya much harm""
Ho-o-o-o-o,-o-o-o, -o-o-o, o-o-ome""

And the boll weevil spotted a lightning bug.
He said ""Hey, I'd like to make a trade with you
But, ya see if I was a lightning bug
I'd search the whole night through""

And the boll weevil called the farmer, 'n' he said
""Ya better sell your old machines
'Cause when I'm through with your cotton
Heh, you can't even buy gasoline
""Stake me a home, gotta have a home

And the boll weevil said to the farmer, said "" Farmer
I'd like to wish you well""
Farmer said to the boll weevil
""Yeah, an' I wish that you were in ****"" home
Lookin' for a home
(Ahh, you have a home all right, you have a home
A real hot home, ahhh)",['classic pop and rock'],268.2,25,1961,4.800000000000001,98.21,229,31,"{'neg': 0.007, 'neu': 0.912, 'pos': 0.081, 'compound': 0.9423}",The Boll Weevil Song,1.3,Brook Benton,18,5
"Don't worry 'bout me, it's all over now
Though I may be blue, I'll manage somehow.
Love can't be explained, can't be controlled
One day it's warm, next day it's cold.

Don't pity me, 'cause I'm feeling blue
Don't be ashamed it might happen to you.
Oh, oh, oh, oh, oh, love, kiss me 
One time then go love, I'll understand
Don't worry 'bout me.

Sweet, sweet, sweet, love will I want you to be
As happy as I when you love me
I'll never forget you your sweet memory it's all over now Don't worry bout me.

When one heart tells one heart, one heart goodbye
One heart is free, one heart will cry
Oh, oh, oh, oh, oh sweet, sweet baby, sweet baby, sweet
It's all right don't worry 'bout me...","['american', 'death by heart surgery']",157.5,28,1961,5.2,97.2,133,16,"{'neg': 0.017, 'neu': 0.5680000000000001, 'pos': 0.41500000000000004, 'compound': 0.9966}",Don't Worry,1.7000000000000002,Marty Robbins,9,2
"Don't you know that I danced, I danced till a quarter to three
With the help, last night, of Daddy G.
He was swingin on the sax like a nobody could
And I was dancin' all over the room.
Oh, don't you know the people were dancin' like they were mad,
it was the swingin'est band they had, ever had.
It was the swingin'est song that could ever be,
It was a night with Daddy G.
Let me tell you now,
I never had it so good
Yeah and I know you never could
Until you get hip with that jive
And take a band like the Church Street Five.
Oh don't you know that I danced,
I danced till a quarter to three
With the help last night of Daddy G.
Everybody was as happy as they could be
And they were swingin with Daddy G.
Blow Daddy!
Let me tell you now,
I never had it so good
Yeah and I know you never could
Until you get hip with that jive
And take a band like the Church Street Five.
Oh don't you know that I danced,
I danced till a quarter to three
With the help last night of Daddy G.
He was swingin on the sax like a nobody could,
and I was dancin all over the room
Oh don't you know the
Dance, do bee wa dah
Dance, do bee wah dah
You can dance, do bee wah dah,
You can dance, dance, dance",['classic pop and rock'],278.1,31,1961,4.800000000000001,106.67,250,33,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.9873000000000001}",Quarter To Three,0.1,"Gary ""U.S."" Bonds",11,8
"I love, I love, I love my calendar girl
Yeah, sweet calendar girl
I love, I love, I love my calendar girl
Each and every day of the year

(January)
You start the year all fine
(February)
You're my little Valentine
(March)
I'm gonna march you down the aisle
(April)
You're the Easter bunny
When you smile

Yeah, yeah
My heart's in a whirl
I love, I love, I love my little calendar girl
Every day (every day)
Every day (every day)
Of the year (every day of the year)

(May)
Maybe if I ask your dad and mom
(June)
They'd let me take you to the junior prom
(July)
Like a firecracker
I'm aglow
(August)
When you're on the beach you steal the show

Yeah, yeah
My heart's in a whirl
I love, I love, I love my little calendar girl
Every day (every day)
Every day (every day)
Of the year (every day of the year)

Whoo!

Yeah, yeah
My heart's in a whirl
I love, I love, I love my little calendar girl
Every day (every day)
Every day (every day)
Of the year (every day of the year)

(September)
I light the candles at your sweet sixteen
(October)
Romeo and Juliet on Halloween
(November)
I'll give thanks that you belong to me
(December)
You're the present 'neath my Christmas tree

Yeah, yeah
My heart's in a whirl
I love, I love, I love my little calendar girl
Every day (every day)
Every day (every day)
Of the year (every day of the year)

I love, I love, I love my calendar girl
Yeah, sweet calendar girl
I love, I love, I love my calendar girl
Yeah, sweet calendar girl",['classic pop and rock'],380.7,33,1961,4.4,90.77,283,41,"{'neg': 0.009000000000000001, 'neu': 0.578, 'pos': 0.41300000000000003, 'compound': 0.9993000000000001}",Calendar Girl,2.1,Neil Sedaka,24,32
"You made me happy, you made me sing
But now without you, I've lost everything
And I know, know it's true that I-I must go throu-ou-gh
All my life (all my life) all my life (all my life)
Wi-ithout yo-ou-ou (wi-ithout you)

No one to talk to when I'm alone
No one to call me, call me her own
And I know, know it's true that I-I must go throu-ou-gh
All my life (all my life) all my life (all my life)
Wi-ithout yo-ou-ou (wi-ithout you)

(dum-dum-dum-dum)
SPOKEN: Maybe tomorrow
(dum-dum-dum-dum)
SPOKEN: Maybe in time
(dum-dum-dum-dum)
SPOKEN: I'll find an angel
(dum-dum-dum-dum)
SPOKEN: Who wants to be mine
(dum-dum-dum-dum)
SPOKEN: Someone who needs me
(dum-dum-dum-dum)
SPOKEN: Like I'm needing you
(dum-dum-dum-dum)
SPOKEN: Someone to love me and to always be true

But, oh my darling (oh-oh oh yes)
I love you still (he loves you still)
I dream about you (oh-oh oh yes)
And I always will (he always will)
And I know, know it's true that I-I must go throu-ou-gh
All my life (all my life) all my life (all my life)
Wi-ithout you (wi-ithout you)",['classic pop and rock'],241.2,37,1961,4.800000000000001,89.75,187,24,"{'neg': 0.031, 'neu': 0.792, 'pos': 0.178, 'compound': 0.9847}",Without You,2.5,Johnny Tillotson,13,13
"On the wings of a snow white dove,
He sends his pure sweet love.
A sign from above,
On the wings of a dove.

When troubles surround us, when evils come.
The body grows weak, the spirit grows numb.
When these things beset us,he doesn't forget us,
He sends down his love,
On the wings of a dove.

On the wings of a snow white dove,
He sends his pure sweet love.
A sign from above,
On the wings of a dove.

When Noah had drifted on the flood many days,
He searched for land in various ways.
Troubles, he had some,but he wasn't forgotten,
He sent him his love,
On the wings of a dove.

On the wings of a snow white dove,
He sends his pure sweet love.
A sign from above,
On the wings of a dove.

When Jesus went down to, the river that day,
He was baptised in the usual way,
And when it was done, God blessed his son,
He sent him his love,
On the wings of a dove.

On the wings of a snow white dove,
He sends his pure sweet love.
A sign from above,
On the wings of a dove.
On the wings of a dove.
On the wings of a dove.
On the wings of a dove.",['death by heart failure'],252.0,38,1961,4.4,99.23,218,34,"{'neg': 0.057, 'neu': 0.847, 'pos': 0.096, 'compound': 0.7761}",Wings Of A Dove,0.9,Ferlin Husky,15,24
"Little sister, don't you
Little sister, don't you
Little sister, don't you kiss me once or twice
Then say it's very nice
And then you run
Little sister dont you do what your big sister does

Well, I dated your big sister
And took her to a show
I went for some candy
Along came Jim Dandy
And they snuck right out of the door

Little sister, don't you
Little sister, don't you
Little sister, don't you kiss me once or twice
Then say it's very nice
And then you run
Little sister dont you do what your big sister does

Ev'ry time I see your sister
Well she's got somebody new
She's mean and she's evil
Like that old Boll Weevil
Guess I'll try my luck with you

Little sister, don't you
Little sister, don't you
Little sister, don't you kiss me once or twice
Then say it's very nice
And then you run
Little sister dont you do what your big sister does

Well, I used to pull your pigtails
And pinch your turned-up nose
But you been a growin'
And baby, it's been showin'
From your head down to your toes

Little sister, don't you
Little sister, don't you
Little sister, don't you kiss me once or twice
Then say it's very nice
And then you run
Little sister, don't you
Do what your big sister done","['american', 'blue-eyed soul', 'blues', 'christmas music', 'classic pop and rock', 'country', 'flaming', 'gospel', 'if you talk in your sleep', 'love', 'oldies', 'party', 'pop', 'pop rock', 'pop/rock', 'rock', 'rock & roll', 'rock and roll', 'rockabilly', 'singer']",275.4,39,1961,4.0,100.24,230,40,"{'neg': 0.055, 'neu': 0.847, 'pos': 0.098, 'compound': 0.8571000000000001}",Little Sister,0.5,Elvis Presley,15,24
"Hello Mary Lou, goodbye heart
Sweet Mary Lou I'm so in love with you
I knew Mary Lou, we'd never part
So hello Mary Lou, goodbye heart

Passed me by one sunny day
Flashed those big brown eyes my way
I knew I wanted you forever more
Now I'm not one that gets around
Swear my feet stuck to the ground
And 'though I never did meet you before

I said hello Mary Lou, goodbye heart
Sweet Mary Lou I'm so in love with you
I knew Mary Lou, we'd never part
So hello Mary Lou, goodbye heart

I saw your lips, I heard your voice
Believe me I just had no choice
Wild horses couldn't make me stay away
I thought about a moonlit night
Arms around you good and tight
That's all I had to see for me to say

Hey hey
Hello Mary Lou, goodbye heart
Sweet Mary Lou I'm so in love with you
I knew Mary Lou, we'd never part
So hello Mary Lou, goodbye heart
Yes hello Mary Lou, goodbye heart
Hello Mary Lou, goodbye heart","['all-time greatest hits', 'death by airplane']",217.8,49,1961,4.800000000000001,98.21,182,26,"{'neg': 0.028, 'neu': 0.812, 'pos': 0.16, 'compound': 0.9807}",Hello Mary Lou,1.3,Ricky Nelson,12,11
